Data,FR0010468983
12/1991,10000
01/1992,10840.066666666666
02/1992,11517.5438749564
03/1992,11010.417398079782
04/1992,11470.097703932566
05/1992,12006.876684341512
06/1992,11027.344365316067
07/1992,9734.312329907985
08/1992,8930.150704044836
09/1992,9178.691007553576
10/1992,9294.86888707769
11/1992,9855.171487614543
12/1992,10202.095476390085
01/1993,10324.689611224458
02/1993,11983.931801507742
03/1993,12196.932782997821
04/1993,11602.692971817574
05/1993,11766.037558120977
06/1993,12761.97616261004
07/1993,14611.891305577938
08/1993,16607.930820258447
09/1993,15684.892727892959
10/1993,17431.390751690873
11/1993,16487.62833540931
12/1993,19189.29501235597
01/1994,19710.265101317214
02/1994,17985.12717031644
03/1994,17121.45099474496
04/1994,18662.00308115628
05/1994,17130.50730180978
06/1994,15367.994732468067
07/1994,17641.530006814413
08/1994,18176.318540113796
09/1994,15778.112880861723
10/1994,16380.700788112532
11/1994,16195.664255679694
12/1994,16068.084258274312
01/1995,15431.965923556867
02/1995,15790.74518615679
03/1995,15400.642553068783
04/1995,16537.884157784112
05/1995,17637.088019835977
06/1995,17393.24726122314
07/1995,19342.573626621223
08/1995,19228.06648073172
09/1995,18878.958805239865
10/1995,18475.99190764169
11/1995,19697.764149893526
12/1995,21061.81310654892
01/1996,24016.543835598855
02/1996,23521.634039668694
03/1996,23949.084198197066
04/1996,25775.509151805938
05/1996,26280.675647429354
06/1996,26219.730861139324
07/1996,23945.404845216413
08/1996,24233.812797822044
09/1996,27170.592314894242
10/1996,27301.295106966372
11/1996,31122.73327926883
12/1996,32102.523048817035
01/1997,37597.49315829275
02/1997,40251.04492317075
03/1997,42475.528306763015
04/1997,43371.157339297075
05/1997,46297.29201860851
06/1997,54432.11907368029
07/1997,67459.79629355812
08/1997,54315.83812422097
09/1997,62306.90803899073
10/1997,50089.892408581996
11/1997,53787.12378792894
12/1997,58344.920131207975
01/1998,64860.758488383064
02/1998,74770.80791838224
03/1998,89383.2700792569
04/1998,91152.69014855743
05/1998,101332.4093572768
06/1998,105359.34844469729
07/1998,109640.84896609269
08/1998,79339.05680902484
09/1998,62843.86859512835
10/1998,71945.75853350376
11/1998,86599.83794269155
12/1998,95050.64585571899
01/1999,105650.24308112473
02/1999,101340.73618651622
03/1999,105179.5412708442
04/1999,116730.22101441232
05/1999,109791.12485487011
06/1999,119649.43749548236
07/1999,109963.55442884394
08/1999,117628.37929264846
09/1999,110962.73008261582
10/1999,126169.84316164022
11/1999,151924.44753252473
12/1999,195320.21045271872
01/2000,176513.58974603572
02/2000,214472.67445062668
03/2000,218193.86400773184
04/2000,221361.37773955098
05/2000,212133.0642898103
06/2000,206926.90983079837
07/2000,204333.75104982607
08/2000,207816.94848443163
09/2000,186204.05789611794
10/2000,195369.63038441367
11/2000,173780.76380863797
12/2000,170898.3346571172
01/2001,170315.33265748984
02/2001,138085.75308347313
03/2001,128250.63197803247
04/2001,149139.98073198998
05/2001,143419.50208423752
06/2001,131461.0760462496
07/2001,121313.88370177917
08/2001,101041.2558837083
09/2001,76356.76923527171
10/2001,83822.50079675067
11/2001,91912.2669836761
12/2001,98717.92499581925
01/2002,91238.00683504013
02/2002,88387.73099156003
03/2002,95978.04117960398
04/2002,85585.3965451561
05/2002,79315.15226753207
06/2002,65753.01716877679
07/2002,46869.509617659976
08/2002,46737.29586635149
09/2002,30125.283519613822
10/2002,38359.305939281316
11/2002,42191.35705747978
12/2002,33733.27717573388
01/2003,29662.61615894345
02/2003,26556.032467113266
03/2003,23527.856335782195
04/2003,30640.26967702931
05/2003,31024.866417453977
06/2003,33498.4975416976
07/2003,36240.73983066582
08/2003,37260.53553181022
09/2003,32558.214305503057
10/2003,37472.58008474377
11/2003,38967.111787593356
12/2003,42792.60916130214
01/2004,45216.16049418506
02/2004,46836.872552496716
03/2004,43292.475675798116
04/2004,43507.26983215356
05/2004,42831.59597715062
06/2004,44919.69377095085
07/2004,42045.61509183913
08/2004,40491.8541554619
09/2004,42070.90514163324
10/2004,44601.32829847732
11/2004,46630.062848014495
12/2004,48955.140829869895
01/2005,50051.17385532605
02/2005,52557.845815292014
03/2005,52316.101536582544
04/2005,48616.646808981546
05/2005,54288.65996001456
06/2005,58211.79778723941
07/2005,63537.599746539774
08/2005,61162.66733609929
09/2005,67260.86677924967
10/2005,62908.34451995064
11/2005,67796.56474434095
12/2005,72876.25659431884
01/2006,77394.15682726965
02/2006,80691.93212643945
03/2006,83980.55116549072
04/2006,83518.73788661353
05/2006,75988.54837418355
06/2006,76608.25151362203
07/2006,78138.17363068742
08/2006,83069.6985716292
09/2006,86749.02189421306
10/2006,91284.58779535205
11/2006,90483.73880749113
12/2006,96216.50265383127
01/2007,98689.87524032977
02/2007,94032.3638074486
03/2007,97845.57752821594
04/2007,108477.40790953435
05/2007,116773.23008629077
06/2007,115552.21178590442
07/2007,106264.17644100402
08/2007,104549.95817133981
09/2007,108155.8111710207
10/2007,113166.91268947373
11/2007,108221.96720435494
12/2007,107909.81317626376
01/2008,78905.2615351156
02/2008,75424.72828948047
03/2008,70893.56696597286
04/2008,79239.61658738037
05/2008,79522.2419158498
06/2008,62341.360232437255
07/2008,62435.46858030913
08/2008,62058.77909819386
09/2008,49671.4197055038
10/2008,34110.616401267966
11/2008,29400.30708823673
12/2008,29279.393866560316
01/2009,24254.77486412125
02/2009,18760.494197831566
03/2009,20253.030449025933
04/2009,26748.797024436662
05/2009,29288.64242397407
06/2009,28049.885020436795
07/2009,33693.91931399241
08/2009,37224.85923154776
09/2009,39814.539576558265
10/2009,36145.674768755314
11/2009,37613.72566006896
12/2009,42239.72430691662
01/2010,36969.48905340374
02/2010,35577.23530905019
03/2010,41007.3104326197
04/2010,37881.822579763975
05/2010,33006.38014867607
06/2010,32022.72247033461
07/2010,36222.346063462945
08/2010,33092.63037773014
09/2010,36241.71871981752
10/2010,38805.37117782667
11/2010,33785.20762065957
12/2010,37422.710113481466
01/2011,41875.96059440366
02/2011,43501.522363450356
03/2011,40445.767335170036
04/2011,43511.428812920145
05/2011,40521.38269756078
06/2011,40104.0986485167
07/2011,35155.93297271785
08/2011,25709.687990884533
09/2011,22692.143342303203
10/2011,26865.936229008126
11/2011,25466.666084958077
12/2011,25063.40528105275
01/2012,27325.23597105138
02/2012,29480.715530390746
03/2012,28596.872161129304
04/2012,24984.04417232337
05/2012,21639.053928417794
06/2012,24753.472224930374
07/2012,26032.02749026944
08/2012,28543.942028673515
09/2012,28884.58054120649
10/2012,30022.32631199457
11/2012,31717.97188480311
12/2012,33255.263328394794
01/2013,35085.54374901064
02/2013,33156.7865294756
03/2013,32879.498079835
04/2013,35433.024483458845
05/2013,37685.97444321489
06/2013,33260.49468782222
07/2013,37616.25436881253
08/2013,36281.85818408406
09/2013,41041.73372191695
10/2013,46122.08686668023
11/2013,46782.78366340542
12/2013,47406.03041651253
01/2014,44597.431405025774
02/2014,48623.26294413622
03/2014,48908.588640285816
04/2014,50283.55087269719
05/2014,52940.136152096464
06/2014,52538.23523584474
07/2014,48887.02438211019
08/2014,50588.66907087594
09/2014,52313.39603957749
10/2014,48516.166692515915
11/2014,52864.82961960308
12/2014,49356.06119081084
01/2015,55816.94462321655
02/2015,64278.93514216983
03/2015,67777.64059949174
04/2015,65064.45675207511
05/2015,64662.53999355776
06/2015,59335.59741957407
07/2015,65336.7865261128
08/2015,53347.426136340466
09/2015,47676.72841900606
10/2015,57847.075457344574
11/2015,60860.28055521965
12/2015,52616.120337120614
01/2016,45516.87398286493
02/2016,42243.127942432846
03/2016,43878.082610514866
04/2016,44842.97772927106
05/2016,46941.56006933319
06/2016,40679.84340188119
07/2016,44317.17112472273
08/2016,45238.562758041226
09/2016,44581.97176526848
10/2016,46200.91337315969
11/2016,46137.89091469458
12/2016,53640.50000226842
01/2017,51753.02616385225
02/2017,54724.481912163596
03/2017,61014.246458353795
04/2017,63302.55798255723
05/2017,64491.43714686428
06/2017,60636.75936696546
07/2017,60918.2490403952
08/2017,59957.75039762057
09/2017,66255.99354540066
10/2017,69260.7168330262
11/2017,65432.03458981453
12/2017,63094.062450441306
01/2018,66994.75221234272
02/2018,60781.98299444989
03/2018,58039.86678653556
04/2018,64894.08874461493
05/2018,61600.45929258718
06/2018,61238.57126346135
07/2018,66083.66334503
08/2018,61186.5735250093
09/2018,61458.384102251126
10/2018,54331.13632803037
11/2018,53498.28479717896
12/2018,47836.20925001982
01/2019,53139.018301138094
