Data,DE000ETFL078
12/1998,10000
01/1999,10098.6
02/1999,10267.133003126888
03/1999,10879.762610466689
04/1999,11790.376342303814
05/1999,11595.313258871363
06/1999,11671.817965974518
07/1999,11697.35836188642
08/1999,11964.770841419542
09/1999,11871.35671296966
10/1999,11773.498641862003
11/1999,12354.716318222454
12/1999,14460.329714784002
01/2000,13452.642781102935
02/2000,13788.399258370773
03/2000,14374.230654149076
04/2000,14580.367154896738
05/2000,14666.470386295456
06/2000,14817.558752405002
07/2000,15151.76200503137
08/2000,16064.302114103888
09/2000,16314.440951537148
10/2000,16585.446674106126
11/2000,17049.27629191375
12/2000,17445.356842364054
01/2001,17856.15284401118
02/2001,17867.293160770285
03/2001,17043.454548990318
04/2001,18026.13593499442
05/2001,18224.632243134332
06/2001,17632.367291380895
07/2001,17123.885150536044
08/2001,17027.508801009782
09/2001,14686.52222708604
10/2001,15627.309359986257
11/2001,16408.184190703705
12/2001,16737.2920601568
01/2002,17397.87754188322
02/2002,17511.744813724858
03/2002,18549.45666682237
04/2002,18586.318741176627
05/2002,18782.186244573648
06/2002,17486.994359106688
07/2002,15795.70904376003
08/2002,16011.804570005064
09/2002,13859.83077623592
10/2002,14968.45909186784
11/2002,15691.078204732057
12/2002,14583.986151130392
01/2003,14512.25671708623
02/2003,14019.519170222862
03/2003,13717.251738457948
04/2003,14998.913780336254
05/2003,15465.943903136887
06/2003,16018.605850105108
07/2003,16452.691277143982
08/2003,16990.04010328291
09/2003,16627.009211382985
10/2003,17453.029628874872
11/2003,17927.62959801886
12/2003,18588.349402315493
01/2004,19539.194332666237
02/2004,20057.351007661862
03/2004,20032.148836564807
04/2004,20271.598584587842
05/2004,20306.492564716897
06/2004,20902.66265032319
07/2004,20818.4379866505
08/2004,21364.317198075492
09/2004,21797.533182615804
10/2004,22478.660529235443
11/2004,22926.71641819473
12/2004,23786.746381923746
01/2005,24651.16631358152
02/2005,25378.744014149604
03/2005,25283.73558697287
04/2005,24492.59873643335
05/2005,26031.756765818605
06/2005,27328.607639517046
07/2005,28444.2374037351
08/2005,28235.792695963337
09/2005,29635.06727128088
10/2005,28525.227767900564
11/2005,29492.456073780173
12/2005,30832.769843760885
01/2006,32897.53107406928
02/2006,34974.70628217012
03/2006,35449.20417217254
04/2006,35616.71678393046
05/2006,34662.7486985545
06/2006,34673.257266425855
07/2006,35613.77083682847
08/2006,36679.26951905597
09/2006,38116.78867463958
10/2006,40185.34240207032
11/2006,40097.91039706991
12/2006,42274.94875978315
01/2007,43219.60760446367
02/2007,43953.87576346954
03/2007,44271.258719073085
04/2007,46474.98449213069
05/2007,48314.489580658716
06/2007,46990.26575431493
07/2007,43907.78354420589
08/2007,44613.95487642404
09/2007,44227.84342241615
10/2007,44547.01999938107
11/2007,43123.309564945164
12/2007,42677.179773466916
01/2008,38350.91610221402
02/2008,37583.033845187754
03/2008,36070.96291924833
04/2008,37651.98630323672
05/2008,37499.004883094545
06/2008,31342.43720552473
07/2008,29824.073501573348
08/2008,30795.996652133326
09/2008,26287.372698498748
10/2008,20458.762683506742
11/2008,18968.40575686049
12/2008,18927.258575509804
01/2009,17339.448035107056
02/2009,15338.344785805017
03/2009,15550.145653169344
04/2009,18643.932238838377
05/2009,19365.679632406434
06/2009,19181.8970489171
07/2009,21318.523653064058
08/2009,23695.96767416415
09/2009,24585.57447896568
10/2009,23213.164703499926
11/2009,23821.959094766713
12/2009,25041.60763505415
01/2010,24486.656994782723
02/2010,24110.577857467644
03/2010,25886.646495161513
04/2010,25481.387632251048
05/2010,23638.683745589788
06/2010,23553.908875227422
07/2010,25152.65991054062
08/2010,24461.369301297433
09/2010,25341.15334701399
10/2010,26223.593425915536
11/2010,25025.85361110504
12/2010,26156.426329821967
01/2011,27189.188898847136
02/2011,27361.034014611836
03/2011,26849.06875463304
04/2011,27721.134968737937
05/2011,26940.60416880124
06/2011,26505.925291652653
07/2011,25143.15526557153
08/2011,22378.29669008048
09/2011,21600.014098517255
10/2011,22934.267006901537
11/2011,22799.478926655753
12/2011,22854.68209092266
01/2012,23240.26663356348
02/2012,23711.726896580698
03/2012,23573.507387892918
04/2012,22295.01216719421
05/2012,20744.077811121515
06/2012,22368.76028918875
07/2012,22643.90612541657
08/2012,23623.226211099347
09/2012,23575.94536747754
10/2012,23373.11329892902
11/2012,23276.981514071835
12/2012,23919.81015026341
01/2013,24183.123342602295
02/2013,23866.815031836613
03/2013,24112.65712072029
04/2013,24956.453068175157
05/2013,25211.576193070545
06/2013,23908.842699687855
07/2013,25315.58805017545
08/2013,25026.36009900808
09/2013,26782.05680913072
10/2013,28228.114153150076
11/2013,28588.51203826644
12/2013,28380.610544318337
01/2014,28344.734138443353
02/2014,29827.493732094732
03/2014,30450.52631424441
04/2014,31559.400812776035
05/2014,32482.69554959774
06/2014,32509.910804234503
07/2014,31322.717356144858
08/2014,31691.64318811851
09/2014,31552.12187700947
10/2014,30936.01833349436
11/2014,32188.281005789617
12/2014,31630.870032110055
01/2015,33630.047302217616
02/2015,35584.40921589531
03/2015,35815.54847954678
04/2015,35462.206990409715
05/2015,34868.83985998435
06/2015,33617.05136555158
07/2015,35436.54957994001
08/2015,32908.805752370885
09/2015,32077.00210074046
10/2015,34713.14964853444
11/2015,35611.42849849505
12/2015,33990.23330697857
01/2016,33279.21586092254
02/2016,32218.66808737336
03/2016,33249.0794705409
04/2016,33553.62775284016
05/2016,34421.10789541264
06/2016,32361.111443622412
07/2016,33807.09164097754
08/2016,34111.28368576209
09/2016,34328.71431714502
10/2016,35403.837417941424
11/2016,35368.62809199493
12/2016,37900.64654968961
01/2017,37385.96084629004
02/2017,37875.25426792299
03/2017,39765.60557897864
04/2017,40264.00573652625
05/2017,40956.90254739656
06/2017,39532.2805240824
07/2017,40091.48636232117
08/2017,40069.44877852476
09/2017,41712.79095203107
10/2017,42505.53557706552
11/2017,41900.192816783296
12/2017,41125.222292893544
01/2018,42105.15886125374
02/2018,40868.97031810077
03/2018,39598.46397685097
04/2018,42175.62120601946
05/2018,40228.236955412416
06/2018,39748.700105670396
07/2018,41461.38868566795
08/2018,39691.269522723174
09/2018,39980.17387403404
10/2018,38444.55406918701
11/2018,38501.38833001215
12/2018,36326.372010579464
01/2019,38024.01166542819
02/2019,39418.88529122701
03/2019,39894.11771008367
04/2019,41794.07961965514
05/2019,38859.55786446748
06/2019,40147.3568662656
07/2019,39800.11010915474
08/2019,39162.45890550205
09/2019,41517.39597495662
10/2019,42385.179941126116
11/2019,43400.15658676132
12/2019,43770.53791371569
01/2020,42057.346644177676
02/2020,37745.462614338096
03/2020,27914.129241997533
04/2020,28312.070507576598
05/2020,29086.86271199935
06/2020,30457.051110306602
07/2020,30025.77626588997
08/2020,31018.74778908228
09/2020,30446.11099487902
10/2020,29262.734446791146
11/2020,34860.39601886838
12/2020,35500.5391609164
01/2021,35338.01000712774
02/2021,37187.25767340383
03/2021,40870.78129164694
04/2021,40597.54576641597
05/2021,41873.81085336635
06/2021,41519.744789025506
07/2021,42099.61593756674
08/2021,42977.09898988402
09/2021,42128.000090211564
10/2021,42722.3197198399
11/2021,41723.88357290394
12/2021,43701.15796874683
01/2022,43917.09406328381
02/2022,40683.99096928325
03/2022,39787.74637141361
04/2022,39323.58821196557
05/2022,39594.5714731133
06/2022,35423.66895148578
07/2022,36930.83834778343
08/2022,35877.02534987224
09/2022,34119.493419178645
10/2022,36794.12675259804
11/2022,38145.14903801452
12/2022,37396.68827423712
01/2023,39899.89811907793
