Data,IE00B0M63730
12/1987,10000
01/1988,10625.881588265049
02/1988,11034.22734859807
03/1988,11488.637065518316
04/1988,11931.460450449638
05/1988,11974.153018147843
06/1988,13509.362062514803
07/1988,14463.722346098732
08/1988,13553.011203418167
09/1988,13544.209082658159
10/1988,13894.73419249268
11/1988,13505.347202661927
12/1988,13788.855933476325
01/1989,16044.732581426724
02/1989,16134.148546285582
03/1989,16572.31280422029
04/1989,17758.025951054526
05/1989,17694.136397717823
06/1989,16712.61377109606
07/1989,17401.087017152335
08/1989,17381.27954565509
09/1989,18815.671606149386
10/1989,17808.493355324765
11/1989,18281.871780738504
12/1989,18358.4643215927
01/1990,17794.88162495017
02/1990,18249.78461889494
03/1990,18669.94847121981
04/1990,17667.286476410976
05/1990,19081.856132739093
06/1990,19653.094593487727
07/1990,20206.524772555324
08/1990,16549.464762904005
09/1990,14047.378227035828
10/1990,14494.051935989368
11/1990,13684.739942202796
12/1990,14508.997789509893
01/1991,15326.95961739061
02/1991,16923.47229474971
03/1991,19278.281675550024
04/1991,20098.20273538292
05/1991,20641.537476836238
06/1991,20811.473550888433
07/1991,21534.3992030762
08/1991,20577.43961298266
09/1991,19438.419240444495
10/1991,19702.330076694983
11/1991,19560.641782864728
12/1991,19867.909709340354
01/1992,21399.968799054408
02/1992,22636.699612199827
03/1992,23059.716184916273
04/1992,23690.622829134125
05/1992,24813.54448040218
06/1992,24540.800876786634
07/1992,22744.76310532025
08/1992,21440.60992229768
09/1992,22378.3878856101
10/1992,25389.134460913912
11/1992,26060.942290651266
12/1992,25256.859825457694
01/1993,26550.642537971955
02/1993,28812.13835303795
03/1993,28956.68592745961
04/1993,30440.807421291585
05/1993,32284.40555575775
06/1993,32339.411760352497
07/1993,33911.56969460565
08/1993,37009.78559580454
09/1993,36887.55125923135
10/1993,44171.917055016165
11/1993,45025.772939284085
12/1993,55918.97184825558
01/1994,52771.22963675505
02/1994,49516.596132020655
03/1994,43187.47889813212
04/1994,45326.53354238721
05/1994,46215.43922521667
06/1994,43415.38645916441
07/1994,44400.54532007185
08/1994,48044.50821434505
09/1994,46734.80991901511
10/1994,46703.88092635893
11/1994,42855.30220871065
12/1994,42625.074593240686
01/1995,37249.377466631035
02/1995,40542.107132502264
03/1995,39128.68659404601
04/1995,37992.7024286568
05/1995,43256.86704506549
06/1995,42224.25463024699
07/1995,42366.5205275671
08/1995,41546.34073175848
09/1995,42783.93207739485
10/1995,41452.13599972365
11/1995,41079.80540473955
12/1995,43781.565128442395
01/1996,48347.42945103917
02/1996,48428.43695138961
03/1996,48757.2459412649
04/1996,50518.96609747721
05/1996,50603.021666201836
06/1996,49167.67822101002
07/1996,44901.796642003326
08/1996,46073.56598708373
09/1996,47618.179609549785
10/1996,46834.60442865867
11/1996,48851.68267655606
12/1996,49584.83751934195
01/1997,51643.0874237202
02/1997,54061.58655591336
03/1997,51666.67350706966
04/1997,50590.15957230868
05/1997,52965.118548483035
06/1997,54959.403600866426
07/1997,56729.78782658039
08/1997,47569.95032755267
09/1997,45944.903164456664
10/1997,34077.80374136475
11/1997,31232.56902470511
12/1997,30620.474902380298
01/1998,28667.943698256942
02/1998,35149.971592340065
03/1998,34396.71973253198
04/1998,30624.623387522755
05/1998,25468.56338349705
06/1998,22845.452189082698
07/1998,22250.063347215753
08/1998,18721.525535605888
09/1998,19759.617322481463
10/1998,24213.89848701704
11/1998,27168.794891251837
