Data,LU0908500753
12/1986,10000
01/1987,10053.794045676997
02/1987,10360.421940815619
03/1987,10686.044461089456
04/1987,10966.775878712822
05/1987,11127.871969870403
06/1987,11506.396791195753
07/1987,12087.364633568493
08/1987,11852.929720887434
09/1987,12129.436243706072
10/1987,9245.490907984153
11/1987,8391.730678024458
12/1987,8630.345029485645
01/1988,8746.66981125605
02/1988,9168.618714693013
03/1988,9263.1658504574
04/1988,9577.736126287107
05/1988,9664.099590651529
06/1988,10079.108430870654
07/1988,10350.121356790754
08/1988,9951.644920947547
09/1988,10475.192521232842
10/1988,10797.730634901347
11/1988,10607.02377886325
12/1988,10815.477307913021
01/1989,11801.773981680171
02/1989,11420.996205680029
03/1989,11892.698257532771
04/1989,12175.681067340267
05/1989,12332.409120895605
06/1989,12537.976314095931
07/1989,13400.341905384346
08/1989,13897.577988826471
09/1989,13690.515407077688
10/1989,12655.804728248493
11/1989,13140.784536085133
12/1989,13829.210489219065
01/1990,13577.432239216816
02/1990,13267.353125669053
03/1990,13520.233734565178
04/1990,13103.041386877205
05/1990,14141.18913288511
06/1990,14364.138681794599
07/1990,14391.779522979532
08/1990,12778.594214057091
09/1990,11321.544659187617
10/1990,11808.998736025516
11/1990,11809.66567555421
12/1990,11705.942156493105
01/1991,11847.601397467983
02/1991,13214.67113521772
03/1991,13773.717612342822
04/1991,13884.058097874555
05/1991,14249.188812059325
06/1991,13782.14865452334
07/1991,14227.197882414084
08/1991,14475.706414805845
09/1991,14331.229603206624
10/1991,14071.599547098962
11/1991,13475.994166802211
12/1991,13547.011393858125
01/1992,14237.11873261358
02/1992,14500.440294235848
03/1992,14098.648117881572
04/1992,14998.546322967824
05/1992,15324.080082484388
06/1992,14432.046567183237
07/1992,13569.913375971442
08/1992,12977.359284439057
09/1992,13275.850644295457
10/1992,13310.279903178029
11/1992,13848.359273404596
12/1992,14315.97772173997
01/1993,14317.850136556648
02/1993,14958.658207891529
03/1993,15434.253603314532
04/1993,15380.565769396275
05/1993,15678.780241236125
06/1993,16362.670376154983
07/1993,17415.93143770927
08/1993,18209.255193995865
09/1993,17760.302412336052
10/1993,18736.17774177035
11/1993,18572.72623878131
12/1993,20127.48746659501
01/1994,21076.00392651137
02/1994,20011.504975218693
03/1994,19166.26712880765
04/1994,19802.221207897102
05/1994,18882.70611656432
06/1994,18221.616043159363
07/1994,19201.00967124117
08/1994,19717.812473396243
09/1994,18588.9256332692
10/1994,18897.47642402361
11/1994,18919.358767462334
12/1994,18822.265823316677
01/1995,18362.879549679572
02/1995,18379.38180883672
03/1995,18349.923488778706
04/1995,19011.158800610374
05/1995,19776.389005878224
06/1995,19683.333896655786
07/1995,20516.007673633103
08/1995,20771.565053402635
09/1995,20970.33982347291
10/1995,20875.885017063556
11/1995,21415.108264600538
12/1995,22042.085997339273
01/1996,22900.003855367697
02/1996,22982.422165216303
03/1996,23298.51829416113
04/1996,24114.34302562465
05/1996,24225.03955216052
06/1996,24343.82648730201
