Data,IE00B14X4T88
03/2016,16351.803545954883
04/2016,16987.63505351984
05/2016,16838.081816669997
06/2016,17302.65297868344
07/2016,18857.383887182605
08/2016,18886.468377199693
09/2016,18998.818969537144
10/2016,19138.339360959122
11/2016,19656.616528648377
12/2016,19841.527163447612
01/2017,20216.634607509965
02/2017,21070.37648388355
03/2017,21190.569573003184
04/2017,20545.100833131884
05/2017,19776.040607158626
06/2017,19897.07126206294
07/2017,19879.896049634546
08/2017,19639.534413360565
09/2017,19662.36560269768
10/2017,19924.589048313286
11/2017,19908.89193132225
12/2017,20255.498233217924
01/2018,19903.175963460923
02/2018,19139.739592222875
03/2018,18235.83834416807
04/2018,18938.687716459073
05/2018,19482.966409638386
06/2018,19018.237850594996
07/2018,19442.66559502554
08/2018,18897.39789667783
09/2018,19192.86788935048
10/2018,18528.925162631323
11/2018,18976.927425669677
12/2018,17965.701455691546
01/2019,19329.298595956185
02/2019,19701.359025978923
03/2019,19780.691301797957
04/2019,20155.93677142088
05/2019,20047.207314693576
06/2019,20202.028330281893
07/2019,20410.598335486757
08/2019,19929.327570159465
09/2019,20995.609066837336
10/2019,20934.856860413576
11/2019,21171.841941120874
12/2019,20920.95830172423
01/2020,20714.107907503105
02/2020,18795.416880013578
03/2020,14041.97396655398
04/2020,16145.872626617387
05/2020,15964.759234778061
06/2020,16233.535478348402
07/2020,15099.223270475653
08/2020,15900.114285325002
09/2020,15452.573733703666
10/2020,15354.376941561519
11/2020,17261.289957901943
12/2020,17205.625555248025
01/2021,17673.342547931406
02/2021,19119.764792919435
03/2021,19664.631841066504
04/2021,19216.58619219257
05/2021,19310.80121973717
06/2021,19503.686092946402
07/2021,19148.10761951187
08/2021,19198.318399192995
09/2021,19006.445382205802
10/2021,18914.74984619838
11/2021,18502.82444192727
12/2021,19350.023858781733
01/2022,20153.451442992693
02/2022,20235.26084670267
03/2022,20535.951192704346
04/2022,20598.920990181257
05/2022,20543.251506415727
06/2022,19448.30829798135
07/2022,20795.16709808467
08/2022,20691.08734430846
09/2022,18666.109361422783
10/2022,17867.958058215412
11/2022,19533.682982379705
12/2022,20047.015547569015
01/2023,21001.249917165613
02/2023,20465.95020941113
03/2023,19830.87574677996
04/2023,19697.001008930263
05/2023,19052.311065215028
06/2023,19617.368880687307
07/2023,20322.23173571522
08/2023,19985.35084409809
09/2023,20211.425798741966
10/2023,19280.105311264746
11/2023,20149.015017625516
12/2023,21995.892576712486
01/2024,22493.098696042234
02/2024,22665.231394559625
03/2024,22816.678482202125
04/2024,23281.26499714095
