Data,LU1812092168
12/1998,10000
01/1999,10889.300000000001
02/1999,11378.164814866688
03/1999,12230.919086113088
04/1999,13288.317366324254
05/1999,12923.432207229524
06/1999,13534.171251934073
07/1999,13784.225763036377
08/1999,14479.70972598404
09/1999,14131.44887265388
10/1999,13445.097045482988
11/1999,14120.085798001091
12/1999,14772.20456404724
01/2000,13993.5670378281
02/2000,13783.424790324108
03/2000,14707.696991586577
04/2000,15440.62046200321
05/2000,15509.376815069818
06/2000,16121.44095978466
07/2000,16164.005798306962
08/2000,16747.1369320386
09/2000,16940.98213125533
10/2000,17971.432193245742
11/2000,18178.204123654665
12/2000,17918.096321284655
01/2001,18093.658700717802
02/2001,18479.14608964402
03/2001,18182.48725168043
04/2001,18822.469725201077
05/2001,20491.86128950443
06/2001,20526.85341601029
07/2001,20158.98909869406
08/2001,19843.80953075113
09/2001,18301.9378456581
10/2001,18982.58523183067
11/2001,19669.244132853008
12/2001,20675.40582149636
01/2002,21043.725869806545
02/2002,21506.896066339727
03/2002,22631.24514107417
04/2002,22981.867123965516
05/2002,22745.889062398113
06/2002,21520.525482367593
07/2002,20170.984713313286
08/2002,20486.333069195767
09/2002,19024.473285995216
10/2002,19462.673458990215
11/2002,19716.852655228708
12/2002,18955.83744307838
01/2003,18452.936806760503
02/2003,17696.086086965435
03/2003,17384.484647503257
04/2003,18937.65516249679
05/2003,19525.950340946627
06/2003,20302.864876525564
07/2003,21088.475398511273
08/2003,21536.014527792395
09/2003,20960.760577506186
10/2003,22407.536627274294
11/2003,22662.57804987497
12/2003,23325.902397937163
01/2004,24144.774298112206
02/2004,24662.106208450947
03/2004,24812.92254155969
04/2004,24877.60943698842
05/2004,25034.39667887827
06/2004,25605.309888826916
07/2004,25554.143173564207
08/2004,25997.460344427996
09/2004,26315.963651479382
10/2004,27057.34526779259
11/2004,28117.99386573732
12/2004,29644.682056751495
01/2005,30598.073232908355
02/2005,31113.826154335784
03/2005,31037.90132697612
04/2005,30365.438465267616
05/2005,31717.043460340705
06/2005,33204.5680005406
07/2005,33576.19663979084
08/2005,33575.452267397755
09/2005,35284.66793604255
10/2005,34796.99490142037
11/2005,36300.14325597495
12/2005,37958.92429130429
01/2006,39169.73559893921
02/2006,41092.973176583735
03/2006,41697.157947304964
04/2006,41182.25063661675
05/2006,39724.64615152732
06/2006,39901.18260620618
07/2006,40291.33805514961
08/2006,41373.114161955134
09/2006,42888.01544621121
10/2006,45351.186647856535
11/2006,44914.60239000728
12/2006,47561.567955351245
01/2007,48413.330615871455
02/2007,48379.74622274
03/2007,49196.41760283929
04/2007,50250.70987826958
05/2007,51756.416685984805
06/2007,50393.74447825487
07/2007,48159.34296370401
08/2007,48919.65686731804
09/2007,47706.295768091
10/2007,48727.293599219905
11/2007,46409.13553030565
12/2007,45183.87907392219
01/2008,40571.69250680501
02/2008,39529.99328021656
03/2008,37501.02909680741
04/2008,37339.87586673569
05/2008,34911.16532810615
06/2008,27738.729308314876
07/2008,26489.612524216067
08/2008,27990.167951625263
09/2008,25882.48192966493
10/2008,22217.79921963816
11/2008,19722.257883151775
12/2008,18317.9838526325
01/2009,17805.218512673582
02/2009,16342.485850950201
03/2009,16104.61783177125
04/2009,18917.574733994094
05/2009,19353.526281973685
06/2009,19332.887362550213
07/2009,20982.81904980549
08/2009,22591.94192264264
09/2009,23612.3065722541
10/2009,23007.813283514763
11/2009,23364.357079640147
12/2009,24837.735912861994
01/2010,24186.249721642882
02/2010,23742.51827981251
03/2010,24999.974403902525
04/2010,24874.39694440017
05/2010,23985.434917312636
06/2010,24763.853044751526
07/2010,25641.12258565239
08/2010,25187.63057478211
09/2010,25188.190781728284
10/2010,26065.274884963128
11/2010,25592.22124828891
12/2010,26831.343141052388
01/2011,27417.33676239981
02/2011,28165.864135486845
03/2011,26829.34257778906
04/2011,27819.146243276664
05/2011,27813.637283140844
06/2011,26902.11188484856
07/2011,26813.305161195127
08/2011,24515.454121169438
09/2011,24039.337956939744
10/2011,24797.475905733696
11/2011,24762.5004547274
12/2011,24837.613185150276
01/2012,25006.66745203727
02/2012,25692.447908323247
03/2012,25868.414224056483
04/2012,25027.993761944595
05/2012,24015.503689491325
06/2012,25641.187793655827
07/2012,26199.64472456531
08/2012,26764.737742163918
09/2012,26807.391858882896
10/2012,26510.83471452703
11/2012,26150.711298182003
12/2012,26677.544449690668
01/2013,26615.728824844802
02/2013,26545.8883410509
03/2013,26833.920738709356
04/2013,27330.53634806583
05/2013,27112.919009940502
06/2013,26219.72704811573
07/2013,27373.42855504972
08/2013,27180.372049505233
09/2013,28908.511692665248
10/2013,29747.68847961306
11/2013,30031.661077946817
12/2013,30172.978164388496
01/2014,30263.638810825607
02/2014,31626.187255996694
03/2014,31764.31992347559
04/2014,32657.048394766047
05/2014,33923.423895442334
06/2014,34352.93082092197
07/2014,33505.152769338565
08/2014,34181.014862924414
09/2014,33671.82296696965
10/2014,33586.98179054622
11/2014,34028.71090403066
12/2014,34472.221150794074
01/2015,37310.800952795886
02/2015,39210.85901969034
03/2015,38990.83749296902
04/2015,38594.48347242781
05/2015,38670.74683773009
06/2015,37398.62129089748
07/2015,38722.23034601824
08/2015,35723.11068947134
09/2015,34998.374194523174
10/2015,37676.51683462933
11/2015,38583.31627785305
12/2015,37077.50098407479
01/2016,35204.39958263894
02/2016,34925.809302311776
03/2016,35350.683912953056
04/2016,36389.595445976585
05/2016,37135.70847207941
06/2016,35773.492589127796
07/2016,36305.63853651861
08/2016,36358.33416644182
09/2016,36185.79349066222
10/2016,36250.438049204204
11/2016,36988.91076623667
12/2016,39151.38339260768
01/2017,38087.076967164154
02/2017,39269.1857118084
03/2017,40018.011591639595
04/2017,40350.63386165851
05/2017,41736.27640082367
06/2017,40238.44547105374
07/2017,39808.79772361841
08/2017,39173.12273839138
09/2017,40957.16739425567
10/2017,41642.78899398052
11/2017,40943.02237071186
12/2017,40950.36582625698
01/2018,41813.388826197704
02/2018,40943.01929902971
03/2018,40340.35496933628
04/2018,42809.75661071129
05/2018,42075.800948640725
06/2018,41786.132138439614
07/2018,42759.82094139374
08/2018,41737.034079273646
09/2018,42010.442469694775
10/2018,40920.75713397396
11/2018,41197.99638987134
12/2018,39055.86274549779
01/2019,41401.859100121364
02/2019,42294.429785934626
03/2019,42842.40607026957
04/2019,44281.47705290063
05/2019,41800.321586360595
06/2019,42676.08606490755
07/2019,43004.14450790379
08/2019,42971.95200927103
09/2019,45723.738390803395
10/2019,46898.34860403144
11/2019,47420.01471117589
12/2019,49032.73898305422
01/2020,49356.73964465701
02/2020,44918.71765414343
03/2020,35165.58618488335
04/2020,35501.49839236234
05/2020,35883.87217746346
06/2020,37504.984337420225
07/2020,36600.2051811851
08/2020,37951.62897336414
09/2020,36087.64375636734
10/2020,35026.75119832348
11/2020,43210.82340564827
12/2020,44079.43895541507
01/2021,43911.19452670132
02/2021,46066.35690429754
03/2021,49916.14302988851
04/2021,49926.77687196948
05/2021,51509.99495028618
06/2021,51176.689296986806
07/2021,52102.870623132076
08/2021,53116.556333416425
09/2021,51475.50256315371
10/2021,52686.16214390522
11/2021,52153.80744194022
12/2021,54538.05051382911
01/2022,55262.381887724914
02/2022,52630.852411047716
03/2022,52252.16572869886
04/2022,51764.23057472607
05/2022,52032.13022286939
06/2022,45851.86078352663
07/2022,48406.51799510599
08/2022,46598.82779203985
09/2022,43726.21925666618
10/2022,46586.66260750383
11/2022,49242.04412394467
12/2022,48607.12727597115
01/2023,51936.576451047236
02/2023,52726.155765231066
03/2023,48995.42632557241
04/2023,50068.368191320085
05/2023,48650.75798760363
06/2023,49216.85017222178
07/2023,51048.92774362676
08/2023,49506.86089553615
09/2023,49690.86993559386
10/2023,47604.74369398067
11/2023,50760.71060612396
12/2023,53465.855638332476
01/2024,52451.29207213799
02/2024,50341.74941149055
03/2024,53740.18141252405
04/2024,54725.06049322282
