Data,DE000A0H08Q4
11/2010,23626.002315430353
12/2010,25573.493425773497
01/2011,27104.93602962213
02/2011,27722.00364026417
03/2011,26945.757020001998
04/2011,27651.971228387425
05/2011,26778.8262477297
06/2011,25885.976287694368
07/2011,24272.795149145382
08/2011,22659.116724521642
09/2011,21833.527177838587
10/2011,23994.44363664128
11/2011,23405.0845109823
12/2011,22602.240384738943
01/2012,23658.427412969548
02/2012,25347.19635553996
03/2012,26098.672908896155
04/2012,24347.93301288116
05/2012,22965.64233740557
06/2012,23047.685340936307
07/2012,25092.255358702132
08/2012,25213.077608938547
09/2012,25075.66445645698
10/2012,25324.092004824986
11/2012,27345.34738745484
12/2012,27915.688525537033
01/2013,29383.772133649567
02/2013,30048.755459460546
03/2013,30235.89453092686
04/2013,30375.45286605338
05/2013,30938.273133033337
06/2013,29863.96673281736
07/2013,31076.041865693627
08/2013,31265.927559920463
09/2013,33959.63035363993
10/2013,34118.46226205723
11/2013,35280.643160969936
12/2013,35645.57698696115
01/2014,33947.85749863314
02/2014,35433.52213256913
03/2014,35573.952418231114
04/2014,34098.62412412536
05/2014,35435.61262145622
06/2014,34847.75719943696
07/2014,35550.86455658048
08/2014,36536.40607099868
09/2014,36775.591945531276
10/2014,35440.16362276628
11/2014,37519.4531905504
12/2014,38649.23833189492
01/2015,40460.74858968446
02/2015,43663.44980430534
03/2015,44538.745199234494
04/2015,43404.43717887055
05/2015,45691.02640584835
06/2015,42345.22783304846
07/2015,43401.43394529958
08/2015,39389.65291352355
09/2015,39110.350945560385
10/2015,43300.98757720312
11/2015,45937.50793967389
12/2015,44396.316846915666
01/2016,42914.46278503039
02/2016,40965.33470447655
03/2016,41999.69102321661
04/2016,40014.273258988265
05/2016,41989.9874380026
06/2016,40411.424797775166
07/2016,45490.9748839571
08/2016,45382.66204576237
09/2016,46497.73394468487
10/2016,43413.26984443988
11/2016,43574.7072146147
12/2016,46383.71437270421
01/2017,46894.59219521293
02/2017,49878.98201468941
03/2017,52453.724175805895
04/2017,53151.52279600806
05/2017,54930.40929243803
06/2017,52571.870065193514
07/2017,53177.43972539467
08/2017,52753.84972299983
09/2017,55353.44964653041
10/2017,58113.80688227032
11/2017,56292.90037101745
12/2017,55739.68823981685
01/2018,57150.07978140599
02/2018,56588.34747677299
03/2018,54532.784640869395
04/2018,57060.293889659246
05/2018,59937.92891708279
06/2018,60076.31151382191
07/2018,60672.7318185423
08/2018,61330.43838819734
09/2018,59499.71314285646
10/2018,54299.92426132579
11/2018,52728.63739597666
12/2018,50207.241721166094
01/2019,53671.6376351808
02/2019,56607.24747677324
03/2019,58640.86761075194
04/2019,63231.09228792681
05/2019,59372.70593441749
06/2019,63001.41693694694
07/2019,63288.13567173716
08/2019,60539.68436102283
09/2019,62298.31138782555
10/2019,63857.692944604314
11/2019,67522.13304806
12/2019,68317.98536459258
01/2020,67691.91826511227
