Data,DE000ETFL292
05/1994,10000
06/1994,9688.221129787804
07/1994,9806.71713354623
08/1994,10042.656695074304
09/1994,9562.192021554529
10/1994,9612.935790328173
11/1994,9363.05349768863
12/1994,9642.95945220934
01/1995,9362.156731576053
02/1995,9368.76386059152
03/1995,9208.043070064963
04/1995,9343.878976138358
05/1995,9680.489991265944
06/1995,9715.134962917013
07/1995,10050.774399651786
08/1995,9934.25941966046
09/1995,10291.346992336683
10/1995,9956.06566889432
11/1995,9818.917068799277
12/1995,10265.248110217883
01/1996,10517.595607456758
02/1996,11008.27480656748
03/1996,11167.702115181868
04/1996,11467.743092682995
05/1996,11872.465316575017
06/1996,11897.320552459283
07/1996,11558.80621251305
08/1996,11698.543172272548
09/1996,11826.849443568692
10/1996,12099.25079594485
11/1996,12314.036237660956
12/1996,12982.38456577092
01/1997,13326.952074454437
02/1997,14045.859447439627
03/1997,14413.019580388496
04/1997,14160.17468688786
05/1997,14753.872743585533
06/1997,15481.458994499677
07/1997,16044.146475962503
08/1997,16151.568672434112
09/1997,16846.0804903817
10/1997,16187.424835084177
11/1997,15809.674069993951
12/1997,16489.97685897057
01/1998,17423.7688810165
02/1998,18729.212183039686
03/1998,20546.38791519074
04/1998,21135.854583914792
05/1998,21540.53113461879
06/1998,21125.187301068156
07/1998,21619.41648434995
08/1998,18904.669231834305
09/1998,17063.096724803665
10/1998,17597.553537207692
11/1998,18738.069371150646
12/1998,19242.391903614425
01/1999,19980.476534867572
02/1999,20055.86738650443
03/1999,20469.600676254366
04/1999,21280.445239135093
05/1999,21141.93714564423
06/1999,21639.12832637208
07/1999,21506.163967415374
08/1999,21938.585567478
09/1999,21529.320727853436
10/1999,21768.432408385273
11/1999,23347.140372159094
12/1999,25987.98650162752
01/2000,25311.51154596579
02/2000,28115.193533179026
03/2000,27993.763601493778
04/2000,27294.646746876686
05/2000,26235.836997184015
06/2000,26395.395035787864
07/2000,27235.25712630076
08/2000,28211.509124934535
09/2000,27283.713738327784
10/2000,27223.46405095715
11/2000,25265.57589508788
12/2000,25331.362746712894
01/2001,25676.069874684305
02/2001,24591.870003293065
03/2001,23286.715227841185
04/2001,24371.66886686564
05/2001,24893.97334789409
06/2001,23858.39377651545
07/2001,23057.96694986007
08/2001,21871.35485621725
09/2001,18778.355224578674
10/2001,19950.645277021897
11/2001,21330.111141429163
12/2001,21842.153501674762
01/2002,21771.643154521702
02/2002,21730.62932035436
03/2002,22914.14494470149
04/2002,22353.363115028777
05/2002,21786.058610604345
06/2002,19796.497241280285
07/2002,18052.922035803145
08/2002,17915.91676479829
09/2002,15822.207194740598
10/2002,16905.304574276703
11/2002,17676.151864358126
12/2002,16002.035456895388
01/2003,14755.189535805494
02/2003,14110.40686316561
03/2003,13837.132968466147
04/2003,15451.90148494112
05/2003,15712.598016901198
06/2003,16401.60835987839
07/2003,17149.12817580418
08/2003,17932.360348050424
09/2003,17150.11382492968
10/2003,18623.982488334204
11/2003,18746.948870828262
12/2003,18902.600524653564
01/2004,19977.54942849863
02/2004,20661.194582287237
03/2004,20446.02313595886
04/2004,20696.05685069064
05/2004,20737.488891300443
06/2004,21281.123033939184
07/2004,20759.57520962699
08/2004,20653.184156615316
09/2004,20951.845949460832
10/2004,21213.244664090766
11/2004,22089.322805481203
12/2004,22591.295582233524
01/2005,23452.42542777702
02/2005,24183.229842292796
03/2005,23999.53025257004
04/2005,23332.31270065028
05/2005,24834.00661519046
06/2005,25728.24895841531
07/2005,26664.345863266957
08/2005,27023.252439233795
09/2005,27925.89085994859
10/2005,26891.9327154526
11/2005,28418.019318447183
12/2005,29598.806707614705
01/2006,31198.33311528176
02/2006,32205.75389796786
03/2006,33033.211575718386
04/2006,33493.942019757626
05/2006,31654.39966324778
06/2006,32086.40726822014
07/2006,32364.248094804327
08/2006,33539.81106399274
09/2006,34677.86270238409
10/2006,36264.22726698207
11/2006,36594.41183725424
12/2006,38338.156360669316
01/2007,39221.16893527952
02/2007,38560.43452935157
03/2007,40018.3051772646
04/2007,41299.435941920645
05/2007,42743.34649617294
06/2007,41869.618492534006
07/2007,40492.8921905609
08/2007,39546.21167701929
09/2007,38963.62789477267
10/2007,40160.84709170064
11/2007,36571.79456548983
12/2007,35683.04789568122
01/2008,31921.750851887125
02/2008,32082.254830613034
03/2008,31131.26383187136
04/2008,32750.692132421762
05/2008,33392.69769326057
06/2008,29583.75115125502
07/2008,28124.29709999373
08/2008,29374.800251574252
09/2008,24925.592923948214
10/2008,20605.693916615102
11/2008,19446.498014186967
12/2008,18547.434610027874
01/2009,18554.170741697184
02/2009,17082.445129144475
03/2009,17245.96863037831
04/2009,20362.11400181036
05/2009,21442.02166980947
06/2009,20847.80885813117
07/2009,22958.071699692155
08/2009,24344.00015393089
09/2009,25156.493162996256
10/2009,24239.19595418962
11/2009,24558.814408588092
12/2009,26033.62141540326
01/2010,25765.20097194367
02/2010,25863.783759325583
03/2010,28086.13721619105
04/2010,28194.23307231655
05/2010,26629.901074646023
06/2010,26619.551900805454
07/2010,28100.46048065457
08/2010,27527.764455654604
09/2010,28989.470902162444
10/2010,29658.64687341024
11/2010,29534.417902004472
12/2010,31394.797619341996
01/2011,31629.45716474223
02/2011,32390.631352062814
03/2011,31633.77519865239
04/2011,32435.642115262483
05/2011,32553.494715236124
06/2011,31419.092066406844
07/2011,30430.574417025255
08/2011,27205.464463618195
09/2011,25299.36391443174
10/2011,27103.60667555561
11/2011,26775.20721882045
12/2011,27182.62984485126
01/2012,28378.019842535417
02/2012,29815.666003026778
03/2012,30233.300835641603
04/2012,29811.89551061382
05/2012,27697.036419370565
06/2012,29128.328125376847
07/2012,30149.870904622414
08/2012,30670.960008251055
09/2012,31071.64712270354
10/2012,31269.498241760477
11/2012,32250.88638743263
12/2012,32729.721574527244
01/2013,33393.315605235926
02/2013,34054.833460891365
03/2013,34891.57804266157
04/2013,35553.7827751445
05/2013,36101.73411869688
06/2013,34471.5470207203
07/2013,37026.31377843198
08/2013,36811.65850658632
09/2013,38508.29011847941
10/2013,39660.970477144314
11/2013,40038.90984353284
12/2013,40720.053147544786
01/2014,40664.29083678768
02/2014,43028.299270440366
03/2014,42530.727817623614
04/2014,42986.59699488956
05/2014,44126.84271834126
06/2014,43612.07801781747
07/2014,42497.772413148625
08/2014,43130.97257805074
09/2014,42746.92830647383
10/2014,42315.47801433522
11/2014,43913.673920714384
12/2014,44230.59090128508
01/2015,47715.34812628155
02/2015,51157.17063490776
03/2015,51980.24775068857
04/2015,52281.31762089845
05/2015,53621.33633005808
06/2015,51292.65514241052
07/2015,53751.54136751523
08/2015,49631.18834068623
09/2015,47738.058939213675
10/2015,51744.988424582014
11/2015,53336.797026491826
12/2015,51008.522605580154
01/2016,47163.62191206937
02/2016,46835.41207842128
03/2016,48410.081692640066
04/2016,49226.73383803563
05/2016,50052.153829170275
06/2016,46799.14862861335
07/2016,49533.04243753918
08/2016,49703.82060356793
09/2016,50191.44268153495
10/2016,48743.68243841838
11/2016,49259.60776356373
12/2016,51636.32906806248
01/2017,52368.55320844979
02/2017,53769.668119809976
03/2017,55231.36574023965
04/2017,56773.435109081074
05/2017,57788.593350355455
06/2017,56138.333687514656
07/2017,56806.09015601098
08/2017,56659.166338470706
09/2017,58517.57850612015
10/2017,59991.35358328384
11/2017,58762.48025671909
12/2017,59199.69152426696
01/2018,60054.74030208259
02/2018,58322.950971296355
03/2018,57005.96521603701
04/2018,59423.36044504438
05/2018,60543.66412993018
06/2018,59914.50755947959
07/2018,61235.7598296058
08/2018,61137.38482492482
09/2018,60995.85175277
10/2018,56351.01391138131
11/2018,54572.58718991006
12/2018,51356.694890888306
01/2019,55377.4666358844
02/2019,57553.67786810744
03/2019,58274.63849922954
04/2019,60895.766736422476
05/2019,57632.401475041595
06/2019,60235.571583603276
07/2019,60395.06518629361
08/2019,59690.42354500169
09/2019,62033.146378575264
10/2019,63136.765516639476
11/2019,65744.07994486406
12/2019,66987.61872580262
01/2020,66569.73529242283
02/2020,61282.0944908327
03/2020,50224.26778560974
04/2020,55120.428534514744
05/2020,57426.80694737421
06/2020,58930.0503074537
07/2020,58837.25467478542
08/2020,62112.03749830972
09/2020,61616.495548707724
10/2020,59078.98660037504
11/2020,67327.52929990276
12/2020,69763.03243581625
01/2021,69871.71483216762
02/2021,71147.74838393055
03/2021,75142.79564515848
04/2021,76939.34344362927
05/2021,79127.84181485206
06/2021,80002.53293388765
07/2021,82400.94818803197
08/2021,83685.21299338112
09/2021,80423.90469360926
10/2021,82735.09073335561
11/2021,80780.88176108277
12/2021,85577.2923917592
01/2022,79976.85137130551
02/2022,77134.73092645126
03/2022,77234.31102725038
04/2022,75989.8872717086
05/2022,74229.52219089837
06/2022,67524.7409570737
07/2022,73032.35825593006
08/2022,68535.72213716159
09/2022,62512.18317165623
10/2022,66383.53555765246
11/2022,70347.94816205262
12/2022,69009.00271208838
01/2023,75098.51270608786
02/2023,76081.69479784733
03/2023,74463.46721233774
04/2023,76416.04707492508
05/2023,73338.0427066152
06/2023,74514.30055682718
07/2023,77491.18999807735
08/2023,75183.0103819428
09/2023,73056.20097044422
10/2023,69270.3998060788
11/2023,75025.48822950508
12/2023,78963.20531092392
01/2024,78938.38541216496
02/2024,79618.9074450912
03/2024,82662.35006973502
04/2024,81735.3767897474
