Data,IE00BCHWNQ94
09/2004,30570.407420129155
10/2004,30546.30187541436
11/2004,30771.81722942838
12/2004,31191.498780250033
01/2005,32047.55310010833
02/2005,33074.147230684895
03/2005,32955.179268685235
04/2005,32605.429328915074
05/2005,34367.275438577744
06/2005,35614.37614968562
07/2005,36446.07600744374
08/2005,36345.183745575574
09/2005,37566.84457960358
10/2005,36737.35908570268
11/2005,38259.094569561785
12/2005,38962.97405611438
01/2006,39533.161062939405
02/2006,40761.71881537023
03/2006,40631.99314478519
04/2006,41023.986823002655
05/2006,39067.6981711414
06/2006,39734.19794404518
07/2006,40638.664928279286
08/2006,41541.55418255523
09/2006,42695.45420725937
10/2006,44056.653566109
11/2006,43357.30103507303
12/2006,44859.059296571526
01/2007,45833.329034456496
02/2007,44606.16014321224
03/2007,45521.78146498166
04/2007,46932.720301352245
05/2007,48455.51656846938
06/2007,47831.476304877244
07/2007,45779.484353259075
08/2007,45797.80494319113
09/2007,46112.701709258465
10/2007,46820.4094980041
11/2007,43715.10446702392
12/2007,42953.363466503644
01/2008,39258.435846266875
02/2008,37492.655423026925
03/2008,36059.66419358284
04/2008,38264.75356634865
05/2008,38112.02788710185
06/2008,33541.90558666882
07/2008,33860.423997828155
08/2008,35039.99649506069
09/2008,32682.729662064663
10/2008,29694.126001472825
11/2008,27643.792431343147
12/2008,26093.64470151124
01/2009,24458.993239719868
02/2009,21925.771726964944
03/2009,22673.329502333832
04/2009,25987.56796144679
05/2009,27280.30022972487
06/2009,27007.03214386252
07/2009,29791.551548568492
08/2009,30919.297450647024
09/2009,31573.865890725818
10/2009,30961.815959297885
11/2009,31664.009950082087
12/2009,33620.41503049268
01/2010,32989.70396689885
02/2010,33925.37816944079
03/2010,36017.21177431846
04/2010,36261.78282561393
05/2010,35053.384629656975
06/2010,34636.22768567916
07/2010,35464.06224948204
08/2010,35936.75136770736
09/2010,36260.08413643827
10/2010,36926.34774478063
11/2010,37405.715590893225
12/2010,38752.04123278654
01/2011,38473.674212096674
02/2011,39444.0781130472
03/2011,38645.53086269753
04/2011,39157.32470910026
05/2011,39942.29449533342
06/2011,39240.56201213644
07/2011,39033.898711249254
08/2011,36999.965550270164
09/2011,37100.276783899455
10/2011,38634.1821320751
11/2011,39606.80687907574
12/2011,41833.397407603916
01/2012,41273.957980314095
02/2012,42171.403201153735
03/2012,42667.016000767115
04/2012,43007.929534332565
05/2012,42446.99046453968
06/2012,44631.553370299036
07/2012,46966.002637105485
08/2012,46384.046346242016
09/2012,46342.69936396819
10/2012,45947.47062984331
11/2012,46383.31279089874
12/2012,46348.07473910903
01/2013,47537.081565187895
02/2013,49217.15021992573
03/2013,51873.93848459776
04/2013,53116.780812597266
05/2013,51755.795680117124
06/2013,50226.51054605441
07/2013,51859.727632381764
08/2013,50771.40264820401
09/2013,52179.52381994765
