Data,FR0010377028
06/2003,10000
07/2003,10517.235817193347
08/2003,11962.487158032602
09/2003,12054.228790528205
10/2003,12543.2404433388
11/2003,11601.000237580405
12/2003,11770.121933503404
01/2004,12168.855972259826
02/2004,12149.75040734919
03/2004,14204.396235076496
04/2004,13753.519846395082
05/2004,13075.974788498504
06/2004,13737.113973239591
07/2004,12976.023205232506
08/2004,12972.761673333678
09/2004,12318.75648832253
10/2004,12311.02328649922
11/2004,12330.261458262841
12/2004,12616.14656019285
01/2005,13010.586336505621
02/2005,13065.829895312638
03/2005,13153.189299512285
04/2005,12769.969269679854
05/2005,13197.362746286799
06/2005,13536.982695557015
07/2005,13651.95979514577
08/2005,14384.108454611443
09/2005,16013.275514285478
10/2005,15977.603035821392
11/2005,16843.981642432977
12/2005,18340.58534650814
01/2006,18575.067369023687
02/2006,18546.204305492494
03/2006,18820.76478453261
04/2006,18572.650234664612
05/2006,16967.405075075203
06/2006,16874.94856801738
07/2006,16702.00103370628
08/2006,16814.668546657893
09/2006,16772.3402203055
10/2006,16807.67757115983
11/2006,16250.322722575316
12/2006,16648.489777234678
01/2007,17010.779678215527
02/2007,17402.29581727899
03/2007,17010.431662430037
04/2007,16308.588941146452
05/2007,16751.048164471027
06/2007,16622.866104465607
07/2007,16270.615813040331
08/2007,15750.866587472512
09/2007,15491.043793511317
10/2007,15247.330332366766
11/2007,14682.03953781505
12/2007,14017.532384494472
01/2008,13350.817415029525
02/2008,13122.420926052899
03/2008,12177.833725031349
04/2008,13195.663670837892
05/2008,13578.381473705333
06/2008,12525.299742593279
07/2008,12175.926640323909
08/2008,12360.657157836318
09/2008,11494.167047018163
10/2008,11031.90956183618
11/2008,10924.411773305688
12/2008,10833.917261506307
01/2009,10980.191501260977
02/2009,9763.79548707236
03/2009,9485.371656253104
04/2009,10333.660830363524
05/2009,10672.298003845644
06/2009,11013.150911032706
07/2009,11267.320237394855
08/2009,11641.082236068381
09/2009,11214.04589343797
10/2009,10729.2629151279
11/2009,10449.011840510535
12/2009,10995.305494220587
01/2010,11519.439016388424
02/2010,11924.141642474135
03/2010,12637.067141277956
04/2010,12750.88857439083
05/2010,12702.027711866956
06/2010,12574.293816401381
07/2010,12259.170205265997
08/2010,12213.31994514419
09/2010,11948.369216627532
10/2010,11865.250162575683
11/2010,12925.039152706422
12/2010,13545.136450657521
01/2011,13242.351349761237
02/2011,13747.4105431312
03/2011,12226.11226602219
04/2011,11671.496193948999
05/2011,11822.714269459619
06/2011,12080.344327597308
07/2011,12577.254933715574
08/2011,11522.893402589189
09/2011,12238.981372508893
10/2011,11670.58551952216
11/2011,11681.643186852481
12/2011,12135.588384013587
01/2012,12521.8721380657
02/2012,12924.40199417931
03/2012,13143.189222376444
04/2012,12801.6623249954
05/2012,12408.601225669172
06/2012,12966.047209956556
07/2012,12922.686275431226
08/2012,12460.700032158467
09/2012,12501.589744337845
10/2012,12166.994796659665
11/2012,12376.124618029875
12/2012,12877.700485537947
01/2013,12969.669941548442
02/2013,13708.202941575018
03/2013,14685.681183069803
04/2013,15690.124470772325
05/2013,14923.95564054861
06/2013,15041.92925563235
07/2013,14938.300578857967
08/2013,14597.162528714785
09/2013,15645.598670543144
10/2013,15384.178811231266
11/2013,15600.423309685124
12/2013,15540.863683275436
01/2014,15256.547650470673
02/2014,14873.681567760068
03/2014,14710.986019998421
04/2014,14246.00739887489
05/2014,15113.797402919323
06/2014,15895.034672138572
07/2014,16319.974859234273
08/2014,16238.309777232114
09/2014,16841.945340838094
10/2014,16679.420139339665
11/2014,16736.017881615135
12/2014,17000.95030945091
01/2015,18647.3279458228
02/2015,19933.5285295761
03/2015,21141.42123089999
04/2015,21108.540981022066
05/2015,21734.246885722354
06/2015,21035.43675179374
07/2015,21509.677856213613
08/2015,19958.760169466404
09/2015,18640.920930976157
10/2015,20857.134313523315
11/2015,21577.2368311551
12/2015,21016.380277977572
01/2016,19271.108936525095
02/2016,18755.979188366287
03/2016,18922.478571194737
04/2016,19678.006884644234
05/2016,20003.906545093363
06/2016,19629.6286437846
07/2016,20694.297602938426
08/2016,20767.512938539927
09/2016,21184.674336437998
10/2016,21937.504211815438
11/2016,22075.27088079182
12/2016,22292.816139887615
01/2017,22599.938257187492
02/2017,23401.898698026038
03/2017,23115.785687406937
04/2017,22975.73201255787
05/2017,23017.73149820414
06/2017,23068.71201644374
07/2017,22809.53171707435
08/2017,22596.66972711205
09/2017,23213.20018135676
10/2017,24621.564468254932
11/2017,24774.541362055304
12/2017,24794.62139642756
01/2018,24939.165788279086
02/2018,24903.457618553264
03/2018,24305.30651248748
04/2018,24974.72673247011
05/2018,25471.89288278719
06/2018,24934.638985755406
07/2018,24902.389526616425
08/2018,24987.05575897816
09/2018,25926.03716788042
10/2018,24040.27178476864
11/2018,24185.54894092933
12/2018,22248.775543097825
01/2019,23529.917777100694
02/2019,23820.797907129763
03/2019,24214.30930398307
04/2019,24511.091554438048
05/2019,23594.165560087546
06/2019,23974.659937617016
07/2019,24495.706665537873
08/2019,24419.21935676807
09/2019,25816.323357765425
10/2019,26390.525366269903
11/2019,26960.9029936136
12/2019,27002.799895377102
01/2020,26764.49370696216
02/2020,24203.94240095291
03/2020,22832.606928120367
04/2020,24440.19375560357
05/2020,25348.319658686913
06/2020,25003.393649354086
07/2020,23283.03745360019
08/2020,24747.51823221479
09/2020,25608.9358730466
10/2020,25157.710025037446
11/2020,27406.35229004352
12/2020,27829.484901586482
