Data,IE00B3YLTY66
06/2017,49177.24080259535
07/2017,49178.65416274099
08/2017,48959.17145131857
09/2017,50100.88047283721
10/2017,51855.88206228469
11/2017,51946.999696712446
12/2017,52170.717091233964
01/2018,52938.4763101973
02/2018,51749.70897454667
03/2018,50364.9672057182
04/2018,51874.413054307064
05/2018,53806.86694819976
06/2018,53686.40467329392
07/2018,54816.206075139075
08/2018,55739.395260311416
09/2018,56204.8984051669
10/2018,52993.47279061098
11/2018,53564.496202132184
12/2018,49308.567860658644
01/2019,53151.95258768183
02/2019,54990.70583107056
03/2019,56480.43907048718
04/2019,58457.57097158565
05/2019,55326.377592223005
06/2019,57717.36717513755
07/2019,59091.97436661268
08/2019,58220.078189775784
09/2019,60262.788100543934
10/2019,60457.03330326182
11/2019,62950.257941280484
12/2019,63737.833624152256
01/2020,63936.660044317476
02/2020,59119.8668936634
03/2020,50735.949617713755
04/2020,56755.95153829992
05/2020,58004.31711929411
06/2020,59544.28822834023
07/2020,59214.818018729144
08/2020,62329.016613142856
09/2020,61609.04576836789
10/2020,60332.41172020826
11/2020,66384.26173315442
12/2020,68046.56911928962
01/2021,68688.15907502014
02/2021,70612.69677103785
03/2021,74918.33797376072
04/2021,75878.80125344555
05/2021,76287.97775633253
06/2021,79283.75352730013
07/2021,79647.85162681887
08/2021,82026.2001942052
09/2021,80514.64164783766
10/2021,83961.69687062735
11/2021,83749.6602663674
12/2021,87375.31119205654
01/2022,84107.2683785814
02/2022,81879.75512759559
03/2022,84325.23016829102
04/2022,81782.76693542876
05/2022,80552.28938472306
06/2022,75937.14640737012
07/2022,82886.47166786097
08/2022,81547.67315943376
09/2022,75605.03769120885
10/2022,78920.59911184486
11/2022,81168.40017703176
12/2022,75949.21323622762
01/2023,80293.85485228631
02/2023,79652.4045212802
03/2023,79733.16960477296
04/2023,79994.62012509111
05/2023,81280.82485842961
06/2023,84597.39308015034
07/2023,86594.19137122949
08/2023,85329.78248072752
09/2023,83871.85823706022
10/2023,80893.39183169785
11/2023,85873.67262779658
12/2023,89423.41789156501
01/2024,91393.3711216034
02/2024,95328.99945748926
03/2024,98519.78546376026
04/2024,96029.52037333793
