Data,IE00B466KX20
11/2008,28856.714021539312
12/2008,29337.306027326606
01/2009,29829.671698023867
02/2009,28290.432682071805
03/2009,31146.55528966122
04/2009,36422.171521582815
05/2009,39472.22246366507
06/2009,39245.888604151376
07/2009,44237.05263261204
08/2009,42604.26602501871
09/2009,45323.44000358744
10/2009,44393.41035241671
11/2009,45059.75760306059
12/2009,49112.399273754614
01/2010,47625.096962711425
02/2010,49024.45940369137
03/2010,53150.443557125924
04/2010,55052.53940705284
05/2010,54431.55961692869
06/2010,55315.872056972235
07/2010,55052.588235876625
08/2010,55738.313883019786
09/2010,57594.621473503525
10/2010,58188.519166603306
11/2010,60822.307072678144
12/2010,62857.86689044506
01/2011,60457.9842200663
02/2011,57515.074658007274
03/2011,59979.605926014774
04/2011,59501.23442089063
05/2011,60500.21610719807
06/2011,58915.014796454074
07/2011,60179.30688236344
08/2011,53181.998390233166
09/2011,49689.91577535782
10/2011,53679.32306664481
11/2011,51246.22491851978
12/2011,53477.13020399343
01/2012,58085.586795047464
02/2012,60191.64385850801
03/2012,58648.57983076472
04/2012,59172.54713151101
05/2012,57045.54884210969
06/2012,57628.01983684066
07/2012,60287.00602902924
08/2012,58310.736636930225
09/2012,61002.14514690143
10/2012,60427.115487605464
11/2012,62119.176703169076
12/2012,63239.620052613514
01/2013,62218.41810396526
02/2013,64165.03039234643
03/2013,64229.85642004857
04/2013,63826.01120084046
05/2013,63574.95720299303
06/2013,59520.79452707887
07/2013,59430.66384021807
08/2013,58892.06794093604
09/2013,60726.1925439266
10/2013,62990.745551567714
11/2013,63201.82368246214
12/2013,61557.06550322993
01/2014,59794.5186296779
02/2014,60409.92458804068
03/2014,61338.96853010253
04/2014,61148.69858151315
05/2014,64781.16329512171
06/2014,66336.600329777
07/2014,70038.64735431853
08/2014,71820.57451203301
09/2014,70895.37588570717
10/2014,72242.01058922765
11/2014,72576.30322264454
12/2014,73211.54433911678
01/2015,80480.18829942403
02/2015,82865.40828164357
03/2015,86847.98741959568
04/2015,89082.73258806377
05/2015,88538.6346180414
06/2015,83361.21324197004
07/2015,78956.70630078166
08/2015,70099.06507835914
09/2015,69092.70287494802
10/2015,75685.4142848666
11/2015,76196.50797900982
12/2015,73507.7167570958
01/2016,67905.0139253808
02/2016,67187.18438075193
03/2016,71578.36248490645
04/2016,70527.66167160255
05/2016,71207.95087633889
06/2016,73623.81148972872
07/2016,77111.76801506996
08/2016,80074.00539965174
09/2016,80917.20204955059
10/2016,81287.38172153504
11/2016,80841.84216432055
12/2016,80434.75573913436
01/2017,83422.19790320085
02/2017,87711.0534525025
03/2017,89815.57700972713
04/2017,89701.65122501574
05/2017,91302.82837214379
06/2017,91368.49102074948
07/2017,93911.19456895173
08/2017,94418.49612578505
09/2017,94519.7026955769
10/2017,100920.06832646094
11/2017,99192.7794869288
12/2017,100737.7648327031
01/2018,104716.00633140864
02/2018,101045.83462176926
03/2018,98773.15076442526
04/2018,100806.72628493684
05/2018,102658.20082225603
06/2018,98248.33760682335
07/2018,98320.79182795576
08/2018,98206.0000739866
09/2018,97146.08573542595
10/2018,88466.11380607812
11/2018,92653.60631651552
12/2018,89024.59510144002
01/2019,95188.86885455443
02/2019,97354.1534610646
03/2019,100692.28795023976
04/2019,102629.37011548513
05/2019,94145.16273789937
06/2019,98146.1661436667
07/2019,98611.3038402128
08/2019,95871.06451541798
09/2019,99081.31416887151
10/2019,101025.49294017591
11/2019,103106.25528475891
12/2019,107980.87754215568
01/2020,104785.29616680075
02/2020,102439.13377499185
03/2020,90586.43328024505
04/2020,99587.53802850557
05/2020,96944.2427839214
06/2020,104368.7586466752
07/2020,108222.31738835777
08/2020,110818.21949652249
09/2020,111721.54703011578
10/2020,115459.82912537348
11/2020,121133.36503671185
12/2020,126604.0310232121
01/2021,133541.6844998192
02/2021,134898.3261364131
03/2021,135260.0637617166
04/2021,134373.24181363004
05/2021,134670.7806240253
06/2021,138375.13769172592
07/2021,127097.48359670163
08/2021,131068.92932232599
09/2021,128386.66104620374
10/2021,129229.11943939654
11/2021,127571.38027192
12/2021,129865.54223152428
01/2022,127193.58329324427
02/2022,123687.63617263123
03/2022,120869.81376911193
04/2022,120784.59115373927
05/2022,119276.38701249588
06/2022,117127.10083145043
07/2022,117839.00434292863
08/2022,120595.74655749412
09/2022,107347.39699347137
10/2022,99327.64824376133
11/2022,112621.46868452414
12/2022,108668.85513843001
01/2023,116184.05023299434
02/2023,110340.32209542744
03/2023,111607.94159328258
04/2023,107887.49803275042
05/2023,109701.54751418733
06/2023,110834.04995040938
07/2023,116107.11437498289
08/2023,110477.82020626562
09/2023,110389.64012573898
10/2023,105732.05572255148
11/2023,110477.74001012913
12/2023,112840.04918680781
01/2024,109008.44024476792
02/2024,115478.82429182371
03/2024,119127.34830748341
04/2024,121233.87977721279
