Data,GB00B5840F36
02/1998,15860.402223539197
03/1998,16108.249665137488
04/1998,16511.392824350383
05/1998,15361.575632506383
06/1998,15612.227394158002
07/1998,15252.436338927839
08/1998,14374.565338945114
09/1998,14726.004679287158
10/1998,14104.128688348144
11/1998,14628.461983528709
12/1998,14174.505781629357
01/1999,14530.348084655108
02/1999,15096.791087386748
03/1999,15071.560039275568
04/1999,15665.543074244377
05/1999,14876.383648222314
06/1999,14631.512804323107
07/1999,13835.343597624093
08/1999,13946.997611803721
09/1999,16222.287082142475
10/1999,16553.45139470844
11/1999,16689.603950265773
12/1999,16707.522232005205
01/2000,16728.69884664879
02/2000,17473.82306592913
03/2000,16742.08171821412
04/2000,17492.896931007737
05/2000,16905.432073199758
06/2000,17415.50495833601
07/2000,17289.28908418651
08/2000,17956.11707901425
09/2000,18020.578855285006
10/2000,18134.41932009167
11/2000,17878.761266411122
12/2000,16901.956143384963
01/2001,16414.377967361524
02/2001,16628.02154628127
03/2001,16820.205873699808
04/2001,17087.281534311183
05/2001,18177.31713593948
06/2001,18384.183215884117
07/2001,17493.61292190327
08/2001,17166.712842170666
09/2001,18481.557906172548
10/2001,17745.86839057875
11/2001,17819.10914433482
12/2001,18052.562319680703
01/2002,18803.06242684079
02/2002,19736.274611827088
03/2002,19866.99377751721
04/2002,19670.592872791756
05/2002,19999.243739996346
06/2002,18349.411546396637
07/2002,17892.126389685425
08/2002,18273.635320694033
09/2002,18854.818345498403
10/2002,18447.319809844143
11/2002,18450.76496794501
12/2002,18759.050955878254
01/2003,19497.920343912996
02/2003,18488.224526436155
03/2003,17629.11090715388
04/2003,17349.574848563712
05/2003,17527.624424453374
06/2003,17357.14853145015
07/2003,17963.86611632805
08/2003,19696.507443518174
09/2003,19076.663795693243
10/2003,19035.668544663902
11/2003,19019.134186929667
12/2003,18914.37480588184
01/2004,18477.10452688234
02/2004,18242.894660655897
03/2004,19832.463385364514
04/2004,18602.32584613671
05/2004,18438.4290943694
06/2004,18619.801831474113
07/2004,18586.34538535304
08/2004,19220.16889865967
09/2004,19141.5133608683
10/2004,19088.77232591342
11/2004,19480.454104596683
12/2004,18364.328528595914
01/2005,18491.657814976537
02/2005,18750.977436513116
03/2005,18820.789451554185
04/2005,19188.23834632462
05/2005,19174.99760605548
