Data,IE00B6R52259
12/1987,10000
01/1988,10360.545472938797
02/1988,11278.568677793148
03/1988,11470.9387172007
04/1988,11549.554385858994
05/1988,11434.628316374698
06/1988,11849.08578645948
07/1988,12678.407404582857
08/1988,12252.13356578822
09/1988,12687.393656519082
10/1988,13184.737505938627
11/1988,13088.17597007774
12/1988,13221.19223193068
01/1989,14241.442350093204
02/1989,14331.086843108178
03/1989,14345.453892864238
04/1989,14786.161170901498
05/1989,15055.454521382779
06/1989,15112.003482696871
07/1989,16084.338902663283
08/1989,15946.974219887023
09/1989,16679.447458470895
10/1989,15532.785083808434
11/1989,15910.586015767765
12/1989,15754.966683318815
01/1990,14588.792444940394
02/1990,13789.269615246942
03/1990,13162.734893485569
04/1990,12829.236248476444
05/1990,13936.54855506954
06/1990,13934.48359861227
07/1990,13648.923392899058
08/1990,11819.626394735871
09/1990,10600.348871217411
10/1990,11234.904953557598
11/1990,10826.305922636417
12/1990,11188.901164173112
01/1991,11629.743840234785
02/1991,12509.946429084343
03/1991,13234.416805245763
04/1991,14055.171965224583
05/1991,14581.591358514406
06/1991,14200.811347753037
07/1991,14894.326856316007
08/1991,14534.798040081832
09/1991,14491.33886986729
10/1991,14721.682473784304
11/1991,13558.809354331344
12/1991,14100.936488190122
01/1992,13985.651118149166
02/1992,14076.17119412642
03/1992,13806.784311826026
04/1992,13863.445843710118
05/1992,14117.348061107868
06/1992,13222.020667131786
07/1992,12631.071519787969
08/1992,12586.539789347884
09/1992,12765.48440682874
10/1992,12969.149397596402
11/1992,14046.628523549138
12/1992,14167.986824455047
01/1993,14493.43619041592
02/1993,15201.481911884373
03/1993,16151.634254316854
04/1993,16308.016879179419
05/1993,16729.55605707672
06/1993,17103.268022305158
07/1993,18195.533940631907
08/1993,19200.939606571857
09/1993,18125.19527045874
10/1993,18878.02320735
11/1993,18374.181489690447
12/1993,19356.32257621823
01/1994,20916.63065656328
02/1994,20531.50943744778
03/1994,19200.174517423995
04/1994,19776.301823117887
05/1994,19462.053039140115
06/1994,19049.79596952713
07/1994,18868.156221288493
08/1994,19559.546319019064
09/1994,18892.313702736872
10/1994,19003.049051655293
11/1994,18444.914759717918
12/1994,18884.74374646499
01/1995,18119.20955446279
02/1995,18109.259732232054
03/1995,18199.80599107124
04/1995,18497.86348593227
05/1995,18987.952892381476
06/1995,18830.5245886718
07/1995,19509.0702104593
08/1995,19656.426572327055
09/1995,20453.05584971793
10/1995,19794.93150833569
11/1995,20458.441995679776
12/1995,21404.836447838232
01/1996,22142.741944207683
02/1996,22359.011565628633
03/1996,22685.00091317766
04/1996,23433.279047172877
05/1996,23738.15493261691
06/1996,23679.286307132395
07/1996,22444.573493017277
08/1996,22511.654665768227
09/1996,23541.51863884575
10/1996,23705.26143328206
11/1996,24648.100105201494
12/1996,24824.617349302043
01/1997,25923.480395941715
02/1997,27417.441541049826
03/1997,27176.300648251166
04/1997,28197.23619341545
05/1997,29783.50512435743
06/1997,31654.33835469362
07/1997,34000.91589113818
08/1997,32511.4564712443
09/1997,33341.74714484401
10/1997,30781.76601714906
11/1997,30604.375036151643
12/1997,31837.663082833657
01/1998,33281.673634033905
02/1998,35474.5790519071
03/1998,37118.629225594435
04/1998,37206.607504345004
05/1998,35938.53335900425
06/1998,36845.717999555425
07/1998,36938.81264540765
08/1998,31627.91983781651
09/1998,30746.945774159416
10/1998,32310.306346759033
11/1998,35258.168142279355
12/1998,36654.34277925765
01/1999,38619.60354574253
02/1999,38893.17922960494
03/1999,41680.34123340236
04/1999,44069.094864753606
05/1999,43077.78047091282
06/1999,45775.773179952295
07/1999,44020.80955881088
08/1999,44463.80341322603
09/1999,43597.59604495359
10/1999,46727.36834308711
11/1999,49870.18967138502
12/1999,54290.73726542511
01/2000,52690.74641647553
02/2000,53279.98042908898
03/2000,57730.62381204753
04/2000,57971.96507012846
05/2000,55134.63778544979
06/2000,55485.06858108365
07/2000,55669.89894116021
08/2000,59563.265925221334
09/2000,57187.44734578628
10/2000,58377.20858239881
11/2000,53067.21994633479
12/2000,50344.04562298001
01/2001,51675.159371609065
02/2001,47548.9447902874
03/2001,46429.10664009471
04/2001,49556.254634175
05/2001,51283.91098622332
06/2001,49704.16398989726
07/2001,47375.888814226266
08/2001,43201.78197960823
09/2001,39364.40933044274
10/2001,40590.02316789099
11/2001,43776.82656671501
12/2001,44606.019338112754
01/2002,44260.42336480305
02/2002,43856.82614641805
03/2002,45446.47419102571
04/2002,42612.094369315164
05/2002,40942.31021037545
06/2002,36170.78292079983
07/2002,33781.7069865267
08/2002,33691.18238431316
09/2002,29908.085103317328
10/2002,32092.44879915538
11/2002,33627.767150600404
12/2002,30308.83299966567
01/2003,28524.186047171024
02/2003,28107.919417350688
03/2003,27706.566842858254
04/2003,29536.317029231628
05/2003,29423.336041875402
06/2003,31020.15287702075
07/2003,32008.732572765937
08/2003,33935.77073351936
09/2003,32021.865345442824
10/2003,34046.773278179826
11/2003,33490.553002946006
12/2003,33815.17465591634
01/2004,35072.257448125674
02/2004,35615.830974542245
03/2004,35982.46844854367
04/2004,35965.64472803332
05/2004,35516.72930883849
06/2004,36356.79122007407
07/2004,35536.612481202086
08/2004,35548.80370534799
09/2004,35420.16658568755
10/2004,35353.70067051483
11/2004,35724.46988093563
12/2004,36222.65624696194
01/2005,37050.23574936134
02/2005,37702.652289072874
03/2005,37714.40526990638
04/2005,36921.37246564035
05/2005,39543.05383065136
06/2005,40743.502793220956
07/2005,42250.658536546034
08/2005,42217.51087799933
09/2005,44056.00977366666
10/2005,42938.01431742757
11/2005,45477.35824114913
12/2005,46488.86993747944
01/2006,47487.57763937232
02/2006,48399.907113403446
03/2006,48495.400297632565
04/2006,48394.520899416006
05/2006,45322.627418776356
06/2006,45866.50670314527
07/2006,45987.86795083397
08/2006,46887.146408183275
09/2006,48154.37050294567
10/2006,49820.20757226368
11/2006,49287.96310529937
12/2006,50506.895105636715
01/2007,51862.607985711504
02/2007,50597.17152477174
03/2007,51209.99059510006
04/2007,52374.34272370646
05/2007,54581.29637828204
06/2007,54221.67180020615
07/2007,52610.12067038618
08/2007,52485.76694292262
09/2007,53461.819462646374
10/2007,54518.756008132405
11/2007,51012.556813153395
12/2007,50589.92908782048
01/2008,45984.11574776504
02/2008,45224.61483326548
03/2008,42755.162932704305
04/2008,45955.15650203781
05/2008,46814.34340701746
06/2008,42279.9511872725
07/2008,41591.998044280765
08/2008,43127.253185844376
09/2008,38887.46800099809
10/2008,34964.954876408636
11/2008,32761.281015080072
12/2008,31055.133318486227
01/2009,30846.98061216921
02/2009,28219.408358022683
03/2009,29029.91179110517
04/2009,32559.262877830657
05/2009,33744.30135076104
06/2009,33477.548735252836
07/2009,36420.35249921882
08/2009,37377.73184019468
09/2009,38107.54257272014
10/2009,37121.933955917964
11/2009,38085.129619167565
12/2009,40544.08009423623
01/2010,40015.44976718665
02/2010,41716.398837534274
03/2010,44713.60692120967
04/2010,45356.62611765399
05/2010,44454.89305780623
06/2010,43220.00452241308
07/2010,44026.81896553615
08/2010,43664.44922139906
09/2010,44455.47774088119
10/2010,45368.921828460916
11/2010,47303.43444288854
12/2010,49390.18576884625
01/2011,48958.927295975605
02/2011,49879.135397316866
03/2011,48532.93902872737
04/2011,48317.24525885244
05/2011,48878.406352482816
06/2011,47892.634526759655
07/2011,47758.18031380594
08/2011,43698.78843253291
09/2011,42358.19506312697
10/2011,45232.334538219155
11/2011,45800.78877367768
12/2011,47409.05980351033
01/2012,49268.45735008893
02/2012,50735.64049790879
03/2012,51421.82716669288
04/2012,51405.1200028703
05/2012,49896.570907195266
06/2012,51599.30533555022
07/2012,53617.4716017329
08/2012,53380.02846058092
09/2012,53715.78597307551
10/2012,53103.81856932242
11/2012,53828.72033658214
12/2012,54196.85818016416
01/2013,55210.226771004425
02/2013,56988.38152458445
03/2013,59517.074764882775
04/2013,59996.23118773065
05/2013,60175.97517486579
06/2013,58100.946477539306
07/2013,59996.715572316236
08/2013,58939.56419159514
09/2013,60757.200462020606
10/2013,62572.401478539054
11/2013,63614.51740856042
12/2013,63878.42168887484
01/2014,62574.82508950865
02/2014,64207.41467343806
03/2014,64633.38124115907
04/2014,64979.81858398409
05/2014,67593.55751677987
06/2014,68627.01602669584
07/2014,69218.19268819812
08/2014,71789.11744992221
09/2014,72817.92317135463
10/2014,73680.62323957511
11/2014,75178.48535429928
12/2014,75824.31435458326
01/2015,80163.9345113773
02/2015,85139.67024779512
03/2015,87606.70152517965
04/2015,86509.84925720798
05/2015,88380.86152887373
06/2015,84634.71218931925
07/2015,87115.1222729372
08/2015,79368.95884060714
09/2015,76597.44209111747
10/2015,84011.74878509712
11/2015,86792.50721782575
12/2015,82837.16746038035
01/2016,77611.60027036868
02/2016,77334.61744068403
03/2016,79477.73191779626
04/2016,80557.19130750725
05/2016,82515.71530065098
06/2016,82430.23531454618
07/2016,85908.6147702441
08/2016,86077.89040684632
09/2016,86403.2979317164
10/2016,86611.79359672328
11/2016,89851.33844616398
12/2016,92631.86821238615
01/2017,93275.1682298046
02/2017,97348.14779949028
03/2017,97720.79014606406
04/2017,97101.5136064505
05/2017,96739.42385096186
06/2017,95576.17364072158
07/2017,95626.09379489733
08/2017,95227.38892647211
09/2017,97243.12340886396
10/2017,100701.84390235298
11/2017,100851.71682223279
12/2017,101263.9591858113
01/2018,102995.6078186651
02/2018,100656.60066862835
03/2018,97689.4583064186
04/2018,100638.19371707883
05/2018,104109.63309659484
06/2018,103934.28313531591
07/2018,106373.26011484375
08/2018,108021.42941202917
09/2018,109221.00868317245
10/2018,103345.59716885058
11/2018,104510.19208756293
12/2018,96401.52457732364
01/2019,103682.79977826173
02/2019,107157.49342925126
03/2019,110303.03087654627
04/2019,114240.36104060801
05/2019,108186.10131496779
06/2019,112981.96455961585
07/2019,115660.89510375063
08/2019,114127.92455014025
09/2019,118136.57936125973
10/2019,118496.29769166833
11/2019,123321.87568189719
12/2019,124830.52735571141
01/2020,125495.67649487402
02/2020,116175.6075154639
03/2020,100735.24132311194
04/2020,112381.41120042889
05/2020,114578.77539651467
06/2020,117615.6865051787
07/2020,117067.11311142126
08/2020,123299.33415786829
09/2020,121714.2336184341
10/2020,118866.43304905825
11/2020,130398.51033706946
12/2020,133242.0120102565
01/2021,134121.77197348254
02/2021,137415.9719855021
03/2021,145903.88866160993
04/2021,147817.6677352659
05/2021,148707.98469181923
06/2021,154712.04906259305
07/2021,155705.3799689759
08/2021,160394.1103496575
09/2021,157198.13443391517
10/2021,164299.53667870245
11/2021,164346.21032680038
12/2021,171503.96729704106
01/2022,165570.00160786015
02/2022,160696.290139024
03/2022,165695.09563591803
04/2022,160583.543606014
05/2022,158260.79256697642
06/2022,149509.24574776203
07/2022,162943.08168122798
08/2022,160089.50550054305
09/2022,148548.8452056251
10/2022,154888.53457381757
11/2022,159512.8235634751
12/2022,149104.606392813
01/2023,157340.66741408288
02/2023,155941.35683355536
03/2023,157045.11224683505
04/2023,157812.2641679833
05/2023,160566.36596846033
06/2023,167070.77310083958
07/2023,170741.38957874582
08/2023,168377.6500798077
