Data,IE00B52SF786
04/1995,47093.44922431421
05/1995,49813.05131708839
06/1995,50245.721594197144
07/1995,50544.92366155147
08/1995,52114.70681708035
09/1995,52543.306377925364
10/1995,51293.84515648802
11/1995,53323.23711688269
12/1995,54683.91485065844
01/1996,58225.456696912006
02/1996,58043.94040188463
03/1996,59148.08174602493
04/1996,62115.6492926782
05/1996,63867.60764258623
06/1996,61639.16391753884
07/1996,58849.883184470855
08/1996,60925.76538682088
09/1996,63894.553442133045
10/1996,69113.70113050212
11/1996,73194.34522969624
12/1996,72232.37071189824
01/1997,77844.24195778066
02/1997,80590.69392091686
03/1997,77430.68422753568
04/1997,79677.17079442285
05/1997,86071.71269508457
06/1997,88569.70055328657
07/1997,96953.60118594424
08/1997,94459.34433981901
09/1997,97344.15667123538
10/1997,91055.03226702256
11/1997,86470.2001495251
12/1997,91048.5551630478
01/1998,91476.03271949026
02/1998,99013.94636566138
03/1998,106862.29768977009
04/1998,106640.32307726903
05/1998,103733.34352621502
06/1998,100266.78978820235
07/1998,93350.38646385558
08/1998,72696.47550427093
09/1998,71095.70469929943
10/1998,75401.86585210865
11/1998,80433.50310389606
12/1998,80814.06422594434
01/1999,90371.16950976958
02/1999,88048.87516504547
03/1999,94030.96534886399
04/1999,105009.46193161333
05/1999,103490.29681820355
06/1999,109132.12533327875
07/1999,106149.36724584704
08/1999,105618.15296904191
09/1999,107723.5161877514
10/1999,117292.76755026099
11/1999,126312.17394742399
12/1999,145344.93057588174
01/2000,149570.54111777665
02/2000,159731.04003839815
03/2000,176910.00540591634
04/2000,179163.37287301393
05/2000,171647.14368376278
06/2000,188059.54944265075
07/2000,200283.80935345564
08/2000,226083.34402907809
09/2000,206466.27499409422
10/2000,196168.511621833
11/2000,173052.08131026203
12/2000,164988.95768540094
01/2001,173233.86970291226
02/2001,146286.32475802017
03/2001,139150.24913831832
04/2001,148286.8580329998
05/2001,158061.34728268845
06/2001,152022.5873744789
07/2001,146531.0732878642
08/2001,132443.74089646686
09/2001,120437.36456622029
10/2001,121744.36851865242
11/2001,135059.2006853936
12/2001,138502.92517294144
01/2002,140251.30918059705
02/2002,138528.69681129113
03/2002,142281.20651786219
04/2002,136674.99306891373
05/2002,133980.60659195925
06/2002,118923.79463241235
07/2002,107594.94410471947
08/2002,108357.62368048534
09/2002,99353.57814735112
10/2002,102299.2483259557
11/2002,107577.53959844803
12/2002,101017.48696018424
01/2003,100667.70374051893
02/2003,104511.19841348138
03/2003,102076.04535251723
04/2003,106235.67590993822
05/2003,108573.09723701581
06/2003,115298.57940317712
07/2003,116754.14217615414
08/2003,127233.6393308943
09/2003,121353.48409570749
10/2003,129841.77176345546
11/2003,129536.61991990215
12/2003,129696.81806870004
01/2004,133645.3054622006
02/2004,136152.36279976883
03/2004,137637.200129286
04/2004,129067.19904660386
05/2004,129774.96522083276
06/2004,135761.73564419232
07/2004,137164.80782816847
08/2004,136380.71524093833
09/2004,143174.92933977
10/2004,148245.7550310446
11/2004,147808.9220715371
12/2004,146953.12087352056
01/2005,147415.6553149166
02/2005,154231.0684054352
03/2005,159908.95846460125
04/2005,151281.79773168324
05/2005,162435.64812416077
06/2005,175715.49113032396
07/2005,185282.35781332545
08/2005,194522.79072807898
09/2005,208855.8970333784
10/2005,194033.04426608485
11/2005,208901.8663950131
12/2005,217630.1895926516
01/2006,230399.91883318318
02/2006,230782.60983162842
03/2006,229857.88435301793
04/2006,232662.73801937385
05/2006,220616.8936305292
06/2006,219742.97593827618
07/2006,219402.56266828798
08/2006,226719.78718147564
09/2006,223201.93468776083
10/2006,233175.61238773644
11/2006,230674.27391180315
12/2006,229614.41903259789
01/2007,232737.92740883573
02/2007,229806.26978140578
03/2007,234231.1160513524
04/2007,243129.17021995006
05/2007,266895.74542883545
06/2007,265449.7284613593
07/2007,260826.75017044655
08/2007,260904.59230538778
09/2007,276879.83316458034
10/2007,297158.47019214544
11/2007,258481.20994346225
12/2007,266271.2497259663
01/2008,246752.73643560393
02/2008,256832.65843615626
03/2008,232786.98587876876
04/2008,253573.27210894477
05/2008,273358.0670664639
06/2008,259223.0606728498
07/2008,243471.6033696941
08/2008,252861.41579700218
09/2008,223445.05979765835
10/2008,182935.6872538562
11/2008,172940.2839457578
12/2008,153705.0414864416
01/2009,161020.75341157
02/2009,149196.79306195793
03/2009,155074.22886198433
04/2009,177104.48496342823
05/2009,202154.27591307685
06/2009,190678.47392559808
07/2009,213475.09291094463
08/2009,208379.09013079957
09/2009,217803.33226922946
10/2009,204366.38848173726
11/2009,216249.78088022512
12/2009,232579.50573592616
01/2010,222136.21351050786
02/2010,241746.94789465927
03/2010,263554.822063375
04/2010,270635.9657955481
05/2010,272663.3118320745
06/2010,259247.51846060858
07/2010,261656.7412654093
08/2010,263599.18792166596
09/2010,263950.3921024567
10/2010,268095.08052617434
11/2010,288754.67190209747
12/2010,302517.44436570344
01/2011,296424.69103530515
02/2011,314680.0346230901
03/2011,306351.6825058112
04/2011,296339.7205094426
05/2011,296766.76200732857
06/2011,287012.3852208638
07/2011,284654.3461947421
08/2011,270900.3714573122
09/2011,249017.50012981883
10/2011,265226.4800486007
11/2011,269270.1341977274
12/2011,273099.0716477082
01/2012,284118.63919544575
02/2012,288336.9833592068
03/2012,281607.03267096065
04/2012,286076.03731408465
05/2012,272058.55655877804
06/2012,275789.9630226546
07/2012,288859.2484581847
08/2012,293354.73624118837
09/2012,296742.07833332266
10/2012,294249.6248612584
11/2012,293019.72029197414
12/2012,292926.5739349519
01/2013,290435.52510521584
02/2013,295467.76828807965
03/2013,304670.9635433015
04/2013,294143.75708645646
05/2013,294107.5644022485
06/2013,276223.8049796935
07/2013,287855.1591632269
08/2013,286003.6753039769
09/2013,291345.87630042306
10/2013,297971.74857866694
11/2013,295937.9812986683
12/2013,296857.0071917184
01/2014,290452.3209273455
02/2014,296788.67423756013
03/2014,301770.24626115506
04/2014,309200.07238136826
05/2014,317176.88215255574
06/2014,334929.18472881697
07/2014,341693.83284541534
08/2014,354406.66571214685
09/2014,347434.9977272592
10/2014,339133.0852263068
11/2014,340259.4521704175
12/2014,343053.25736893364
01/2015,337814.49100178736
02/2015,359928.7654907735
03/2015,363926.66625494993
04/2015,373441.0313800259
05/2015,364475.26845898695
06/2015,346902.3955797639
07/2015,341032.9104727427
08/2015,311963.7061219446
09/2015,297657.4614769025
10/2015,315466.8108738318
11/2015,321963.1385603598
12/2015,290894.6655481977
01/2016,282811.1713618024
02/2016,294443.34031811357
03/2016,309764.5700365846
04/2016,330109.1601253617
05/2016,325846.66400699544
06/2016,328730.79335588356
07/2016,339558.97115149646
08/2016,340057.46255440346
09/2016,343052.6748992311
10/2016,346733.87350656145
11/2016,365391.23758521077
12/2016,375264.9552196499
01/2017,381560.2003945207
02/2017,381105.8008333546
03/2017,379475.7580632496
04/2017,363355.27251620975
05/2017,353128.80183974904
06/2017,357981.00988325925
07/2017,362158.0193949816
08/2017,359661.5088433917
09/2017,373633.256309808
10/2017,378289.73227456055
11/2017,373886.9512522469
12/2017,383743.77791181527
01/2018,372904.0520774445
