Data,DE0006289390
02/1990,9999.999999999998
03/1990,10491.522368451431
04/1990,10178.142516077449
05/1990,10907.143598988405
06/1990,11000.212147890385
07/1990,10771.786588628418
08/1990,9321.915480675021
09/1990,8765.040788767852
10/1990,8479.568918437839
11/1990,8775.087387374955
12/1990,9146.321470957231
01/1991,9538.94929413714
02/1991,9935.240415771903
03/1991,10940.883559295145
04/1991,11440.337570192976
05/1991,12208.60255991984
06/1991,12170.350734561032
07/1991,12688.568281512073
08/1991,12549.66149699312
09/1991,12107.406234402937
10/1991,12308.082092646124
11/1991,11226.579784614098
12/1991,11915.350131250798
01/1992,12213.585050324185
02/1992,12704.083658982814
03/1992,12932.307746244971
04/1992,13317.17208020179
05/1992,13260.773304908866
06/1992,12596.360249754922
07/1992,12276.316753262665
08/1992,11540.121951540668
09/1992,11873.183323044268
10/1992,12203.20128910737
11/1992,13385.301372712562
12/1992,13376.050589792554
01/1993,13677.492974841092
02/1993,14338.348180311052
03/1993,14704.478821158724
04/1993,14173.559155664976
05/1993,14687.774338983327
06/1993,15087.488057446511
07/1993,15836.249403426396
08/1993,16530.554544351588
09/1993,15473.939186604355
10/1993,16209.635753066685
11/1993,16730.024665330726
12/1993,17060.974056231003
01/1994,18334.271912301527
02/1994,17653.543903777074
03/1994,16424.633539619375
04/1994,16684.00013362374
05/1994,16731.455584039744
06/1994,15896.67006175087
07/1994,16005.33936897742
08/1994,16723.810681820953
09/1994,16270.666844038351
10/1994,16238.145457656083
11/1994,15829.409278435258
12/1994,16591.441126355592
01/1995,16300.302662513788
02/1995,16885.512454991953
03/1995,16848.559846664743
04/1995,17179.624207506295
05/1995,18092.525926794486
06/1995,18331.291603735543
07/1995,18728.40962727123
08/1995,18957.276990037768
09/1995,19972.425620156424
10/1995,19527.905873632983
11/1995,20954.550020132217
12/1995,21493.060097752583
01/1996,22944.267308641425
02/1996,23528.431421991394
03/1996,23977.939743778818
04/1996,24107.529533400062
05/1996,24800.21778291402
06/1996,24680.786290577074
07/1996,23778.804366479664
08/1996,23995.89664428909
09/1996,25377.137034496613
10/1996,26102.702113535477
11/1996,27936.36913849235
12/1996,28257.08128706369
01/1997,30669.168334177706
02/1997,32389.724160077778
03/1997,31400.913987715874
04/1997,33622.21528415932
05/1997,35133.95838323333
06/1997,37211.437578555524
07/1997,40996.28981143615
08/1997,39165.68800409336
09/1997,39788.5614424739
10/1997,36593.66179536709
11/1997,37762.19574585814
12/1997,39243.63788334996
01/1998,40133.72701157183
02/1998,43378.52842396534
03/1998,44871.93840536662
04/1998,45904.150095803634
05/1998,44476.72115349284
06/1998,45098.3689216699
07/1998,44860.22872361799
08/1998,37997.46057365559
09/1998,37725.19043557879
10/1998,39808.10660327452
11/1998,43555.04199615325
12/1998,43624.350911540016
01/1999,45922.009808085146
02/1999,47278.31172750632
03/1999,51043.178222471244
04/1999,57041.92741317694
05/1999,56687.242965945385
06/1999,59670.716619936
07/1999,55974.0522536658
08/1999,57650.52162297712
09/1999,54599.849876013075
10/1999,57830.08197198918
11/1999,60784.60549477323
12/1999,64619.22759112985
01/2000,63088.7750306138
02/2000,58953.2841358655
03/2000,64692.57310362346
04/2000,66866.6545499514
05/2000,64109.969175711296
06/2000,62014.68826381692
07/2000,64582.78834468674
08/2000,71576.30769867811
09/2000,69124.31215465617
10/2000,74160.63562806942
11/2000,68308.17724883575
12/2000,66044.71039511169
01/2001,66778.97976853755
02/2001,64805.75836568775
03/2001,63902.7477909345
04/2001,69131.1150773535
05/2001,73703.76871735754
06/2001,70950.38783001219
07/2001,68901.9179153315
08/2001,62420.97012248692
09/2001,55689.36002810232
10/2001,57728.3524845027
11/2001,63834.98029523429
12/2001,65603.8535979465
01/2002,66307.1326971337
02/2002,67567.13729006822
03/2002,69009.60824155771
04/2002,63925.32324979736
05/2002,61362.662825146355
06/2002,53813.360624942754
07/2002,51904.14709852363
08/2002,51312.99906283225
09/2002,44881.582269448016
10/2002,49709.24917490458
11/2002,52458.04834794224
12/2002,46610.14794040669
01/2003,43668.58678765322
02/2003,43029.54580569862
03/2003,43174.66235325607
04/2003,44884.05655530658
05/2003,44235.075344466175
06/2003,46510.272994596344
07/2003,48309.749594992965
08/2003,51127.54375045673
09/2003,47272.79132770778
10/2003,50158.655515873856
11/2003,48621.08577123304
12/2003,49395.08254973025
01/2004,50586.82120071479
02/2004,51001.64421451053
03/2004,50751.657989295745
04/2004,51312.85519755427
05/2004,50165.35996516587
06/2004,51607.150635183985
07/2004,50682.42415769655
08/2004,50654.678737731054
09/2004,49022.09807572086
10/2004,47566.016569496314
11/2004,47504.90777069355
12/2004,47988.15329559456
01/2005,48824.28957101071
02/2005,49388.68937920015
03/2005,49318.8909145534
04/2005,47938.149819299746
05/2005,51846.429107058444
06/2005,51953.21097180042
07/2005,53858.67920051199
08/2005,52734.43842759623
09/2005,53894.733441962824
10/2005,53370.377563013004
11/2005,56635.50148697543
12/2005,56079.04183916214
01/2006,55390.75904182544
02/2006,57337.0687660899
03/2006,56904.98827036649
04/2006,56280.39429601711
05/2006,54006.20415375067
06/2006,54617.15209598889
07/2006,54608.691877019846
08/2006,55359.95789780441
09/2006,57708.899658151466
10/2006,59573.70256416618
11/2006,58159.42421763723
12/2006,59497.61792029347
01/2007,61313.79492884196
02/2007,58578.138489683726
03/2007,58569.302030868304
04/2007,60671.43676592129
05/2007,64168.420151987055
06/2007,62942.79449782913
07/2007,61151.59706005987
08/2007,61992.88699995755
09/2007,62383.795351322704
10/2007,61430.072756534406
11/2007,57913.065983158216
12/2007,57662.47374105441
01/2008,53755.59743257003
02/2008,51939.94169474768
03/2008,49856.60038619754
04/2008,53092.918127336525
05/2008,52592.10343733124
06/2008,46521.16646036031
07/2008,47159.48581586369
08/2008,50848.48622025844
09/2008,49307.54078523754
10/2008,47585.168286916334
11/2008,45361.1553186286
12/2008,41300.64282983378
01/2009,40953.68449458757
02/2009,36826.76238986087
