Data,IE00B44Z5B48
01/2007,49932.00913853067
02/2007,48705.35687198731
03/2007,49287.145242402126
04/2007,50399.563466005304
05/2007,52514.90380920388
06/2007,52160.14176924802
07/2007,50601.16911235014
08/2007,50473.13038438659
09/2007,51403.34268334021
10/2007,52411.016058705834
11/2007,49031.634239141
12/2007,48617.24607918629
01/2008,44182.927066849894
02/2008,43445.81183114866
03/2008,41066.24899767169
04/2008,44132.99208445215
05/2008,44950.75593608523
06/2008,40589.37721146627
07/2008,39922.16714348489
08/2008,41389.13133825171
09/2008,37313.320504009505
10/2008,33543.370088241994
11/2008,31423.701354699362
12/2008,29781.975080978507
01/2009,29577.39228790145
02/2009,27053.035090272788
03/2009,27825.5297069319
04/2009,31203.81881220916
05/2009,32334.323425996427
06/2009,32073.327795594458
07/2009,34887.349647644165
08/2009,35798.61648814989
09/2009,36491.6281129716
10/2009,35541.73136347153
11/2009,36458.00219282389
12/2009,38805.82153201735
01/2010,38293.38769533899
02/2010,39914.75431055972
03/2010,42775.86674999406
04/2010,43383.89030527187
05/2010,42514.14646969436
06/2010,41326.08319760644
07/2010,42090.65496438206
08/2010,41737.206017202174
09/2010,42486.36424960725
10/2010,43352.26713145762
11/2010,45193.56502129066
12/2010,47179.70896692027
01/2011,46759.88834840715
02/2011,47630.97107228292
03/2011,46337.512293339474
04/2011,46123.85268681565
05/2011,46651.85220118672
06/2011,45703.2098522215
07/2011,45567.28504815042
08/2011,41686.522265154934
09/2011,40400.7135327572
10/2011,43135.298151617324
11/2011,43670.20881098667
12/2011,45196.38725828994
01/2012,46961.47039270974
02/2012,48352.12603275374
03/2012,48998.017585296104
04/2012,48973.9315909434
05/2012,47528.56651160058
06/2012,49142.57070034406
07/2012,51056.458055228075
08/2012,50821.846865394116
09/2012,51133.043245219145
10/2012,50541.97805993941
11/2012,51223.485369946444
12/2012,51565.2686079348
01/2013,52520.83773253366
02/2013,54203.621910083915
03/2013,56599.715626436206
04/2013,57045.95186694791
05/2013,57207.349390770636
06/2013,55225.15229838165
07/2013,57017.883243861805
08/2013,56003.716367605244
09/2013,57721.48012156337
10/2013,59436.36476639308
11/2013,60416.3453182591
12/2013,60656.91261817778
01/2014,59408.949364183456
02/2014,60949.03913165413
03/2014,61343.23072300361
04/2014,61661.80886410644
05/2014,64131.80768014951
06/2014,65101.64980672434
07/2014,65651.60747911155
08/2014,68079.11903139681
09/2014,69043.41045861112
10/2014,69849.88528507542
11/2014,71258.23022675843
12/2014,71858.50547492858
01/2015,75959.175791454
02/2015,80661.26437272163
03/2015,82985.08454487693
04/2015,81932.26493738964
