Data,IE00B3XXRP09
05/2002,42435.67697433615
06/2002,37087.2368221696
07/2002,34865.07629378852
08/2002,34913.495204883984
09/2002,31031.86247557984
10/2002,33747.67507214321
11/2002,35505.28559571732
12/2002,31632.77071180316
01/2003,29865.27114422566
02/2003,29508.194274066518
03/2003,29483.943513109905
04/2003,31234.220726924974
05/2003,30956.201530197824
06/2003,32433.020625432473
07/2003,33320.82576452745
08/2003,35184.291119520974
09/2003,32642.640967501993
10/2003,34576.359628127706
11/2003,33796.71212024434
12/2003,33776.06351650359
01/2004,35077.30626559997
02/2004,35465.43993338717
03/2004,35482.6913187127
04/2004,35733.37638255495
05/2004,35476.27629671008
06/2004,36291.983440195036
07/2004,35426.82537301549
08/2004,35356.593547696066
09/2004,34879.18529743493
10/2004,34498.08748158694
11/2004,34385.429469467825
12/2004,34702.54110583667
01/2005,35376.698513341624
02/2005,35514.22941193329
03/2005,35671.7153041791
04/2005,35012.01070884175
05/2005,37957.981947486216
06/2005,38760.95436444048
07/2005,40196.83086096485
08/2005,39484.87158165534
09/2005,40318.0246724427
10/2005,39706.18895811232
11/2005,42095.00749067087
12/2005,42007.259392423184
01/2006,41974.84207242191
02/2006,42947.570319326034
03/2006,42657.0036735736
04/2006,41734.23335359629
05/2006,39488.01155936826
06/2006,40021.33825073478
07/2006,40095.55609283092
08/2006,40778.89167302249
09/2006,42458.47865055396
10/2006,43715.23611097263
11/2006,42843.10217128376
12/2006,43540.55250923391
01/2007,44933.492216983934
02/2007,43195.00298558027
03/2007,43324.69592392241
04/2007,44286.8236682857
05/2007,46347.47093927191
06/2007,45399.29516853498
07/2007,43340.74304479425
08/2007,43994.319985400696
09/2007,44111.35748648263
10/2007,43979.14481369007
11/2007,41241.54253119781
12/2007,41064.294790337364
01/2008,38212.01512378066
02/2008,36244.47904631852
03/2008,34613.765810475656
04/2008,36932.91312802775
05/2008,37486.33417321948
06/2008,33766.4655865122
07/2008,33808.80322161656
08/2008,36334.88858992826
