Data,IE00B51B7Z02
05/1997,88140.30221435508
06/1997,90707.87356150898
07/1997,99303.99774897366
08/1997,96760.03184299763
09/1997,99725.59009100786
10/1997,93293.41176719662
11/1997,88605.97883521828
12/1997,93307.01633180307
01/1998,93755.2057373893
02/1998,101491.08724356591
03/1998,109546.78427897899
04/1998,109331.10101300823
05/1998,106362.6159577185
06/1998,102819.71999118954
07/1998,95738.35434024484
08/1998,74566.47361409155
09/1998,72932.60362906459
10/1998,77357.92405163516
11/1998,82528.47134406051
12/1998,82927.88513232813
01/1999,92743.95562135694
02/1999,90370.73436057566
03/1999,96520.36312912003
04/1999,107799.96337208414
05/1999,106252.10658366764
06/1999,112056.00727032682
07/1999,109005.47414540168
08/1999,108471.77568327928
09/1999,110645.7733415258
10/1999,120486.60008261446
11/1999,129764.65382244691
12/1999,149331.68900167485
01/2000,153689.38409892906
02/2000,164146.33044475934
03/2000,181817.93982958863
04/2000,184153.51839664852
05/2000,176447.89349569601
06/2000,193338.44832015803
07/2000,205926.79258146894
08/2000,232475.5361948981
09/2000,212329.00666177584
10/2000,201761.8345332246
11/2000,178008.1464950032
12/2000,169733.38604782042
01/2001,178233.77683339466
02/2001,150527.77565474325
03/2001,143201.1026050858
04/2001,152619.20409412278
05/2001,162695.79838538493
06/2001,156497.60388465377
07/2001,150861.39262006164
08/2001,136374.09152155533
09/2001,124026.1923444466
10/2001,125385.57895336553
11/2001,139112.2232924442
12/2001,142674.3617907989
01/2002,144490.86008684093
02/2002,142731.8293456641
03/2002,146613.65746733238
04/2002,140852.6184296033
05/2002,138091.13402382107
06/2002,122587.33867406486
07/2002,110922.77400358893
08/2002,111721.05931320065
09/2002,102449.63007556809
10/2002,105498.19181148583
11/2002,110952.96659579473
12/2002,104199.10113115807
01/2003,103849.58948803703
02/2003,107825.81898616301
03/2003,105325.11505982178
04/2003,109628.55643791742
05/2003,112052.50511535775
06/2003,119005.65571332308
07/2003,120520.90997431122
08/2003,131351.55719676788
09/2003,125295.32043724999
10/2003,134072.90059598847
11/2003,133772.3293922573
12/2003,133952.2578522081
01/2004,138044.8092658777
02/2004,140649.35191595758
03/2004,142198.46908953373
04/2004,133359.86473933412
05/2004,134105.61793556847
06/2004,140306.69786252634
07/2004,141771.94127451227
08/2004,140976.8709730239
09/2004,148015.3288399002
10/2004,153273.6219278197
11/2004,152838.57809049916
12/2004,151970.21312077582
01/2005,152465.00228248074
02/2005,159530.37699274858
03/2005,165420.6392008796
04/2005,156514.04136521195
05/2005,168070.61535400603
06/2005,181829.3498626416
07/2005,191748.78504321555
08/2005,201332.48548952627
09/2005,216189.16447685746
10/2005,200869.2779314621
11/2005,216283.72394899922
12/2005,225343.90614036948
01/2006,238590.6598045669
02/2006,239012.80282911166
03/2006,238080.9927496972
04/2006,241011.98146289232
05/2006,228559.97427472332
06/2006,227679.35275334716
07/2006,227351.31016481563
08/2006,234958.2605321558
09/2006,231338.03121650434
10/2006,241700.3283373472
11/2006,239133.72710750092
12/2006,238060.91062020892
01/2007,241325.10888695624
02/2007,238311.4273288203
03/2007,242925.8547600693
04/2007,252180.5246939501
05/2007,276859.21537558496
06/2007,275389.2103123121
07/2007,270622.9633630688
08/2007,270733.04660511704
09/2007,287339.415118667
10/2007,308415.23878032964
11/2007,268306.24275473657
12/2007,276421.453341962
01/2008,256188.84411843924
02/2008,266681.98769006913
03/2008,241743.07316287645
04/2008,263355.26558598096
05/2008,283931.8207238805
06/2008,269280.81793190696
07/2008,252947.3820981975
08/2008,262730.0434103339
09/2008,232194.09384214957
10/2008,190123.72343018668
11/2008,179756.1705245259
12/2008,159782.3062666339
01/2009,167404.58012224332
02/2009,155129.98268946007
03/2009,161257.9554084316
04/2009,184184.15770985404
05/2009,210255.25615699182
06/2009,198342.3590604148
07/2009,222076.72309377274
08/2009,216799.44351698094
09/2009,226627.99477691425
10/2009,212671.1823375923
11/2009,225060.51702648442
12/2009,242079.95080388902
01/2010,231236.29462552158
02/2010,251675.4572782037
03/2010,274406.24227333715
04/2010,281808.6673621323
05/2010,283950.2378744807
06/2010,270009.8576222375
07/2010,272548.34739131987
08/2010,274601.17553162534
09/2010,274996.78657958354
10/2010,279344.72264047014
11/2010,300901.48152331536
12/2010,315275.79908357497
01/2011,308960.2451743107
02/2011,328021.0627829525
03/2011,319375.16134405683
04/2011,308972.1744975679
05/2011,309450.89202759566
06/2011,299313.126551507
07/2011,296886.45256897056
08/2011,282573.60763644415
09/2011,259778.40428211514
10/2011,276715.972730513
