Data,IE00B0M62X26
03/2016,12960.6053887083
04/2016,12941.193663275419
05/2016,13061.320795741743
06/2016,13228.156057161792
07/2016,13370.437987089219
08/2016,13347.895133099028
09/2016,13414.759169184623
10/2016,13172.551092364718
11/2016,13024.336225178724
12/2016,13286.77955606366
01/2017,13059.914160876964
02/2017,13122.183396093387
03/2017,12926.337444438808
04/2017,13072.639817487447
05/2017,13103.862839467514
06/2017,13070.421932873682
07/2017,13170.507607061742
08/2017,13272.86638586603
09/2017,13227.57926998894
10/2017,13420.055678464432
11/2017,13544.872449274419
12/2017,13460.337783831746
01/2018,13386.65055292172
02/2018,13431.557047294194
03/2018,13601.183386130097
04/2018,13610.832591704768
05/2018,13366.747907006458
06/2018,13536.17780651481
07/2018,13480.011645689789
08/2018,13350.550290099685
09/2018,13340.148805419558
10/2018,13252.486025652845
11/2018,13231.316946070141
12/2018,13252.082325557749
01/2019,13363.963756773475
02/2019,13255.528450272046
03/2019,13423.674732785854
04/2019,13489.880985340227
05/2019,13481.383618855245
06/2019,13790.52753330209
07/2019,14184.502206384426
08/2019,14386.613446013784
09/2019,14315.242741576358
10/2019,14247.054874376552
11/2019,14147.340149403482
12/2019,14108.88911802041
01/2020,14395.493318717197
02/2020,14250.655618971372
03/2020,13358.797301948536
04/2020,13491.687703204057
05/2020,13582.755111503126
06/2020,13877.080915063318
07/2020,14136.768878234752
08/2020,14082.680225965034
09/2020,14101.928513147339
10/2020,14247.092827582823
11/2020,14455.846441912749
12/2020,14537.081150593036
01/2021,14583.749935427859
02/2021,14403.120119308587
03/2021,14721.15607612771
04/2021,14625.88620840863
05/2021,14734.148605000688
06/2021,14771.632490529042
07/2021,15184.346332295532
08/2021,15139.889440768244
09/2021,15194.735197292777
10/2021,15189.942108517773
11/2021,15425.352734741175
12/2021,15446.407179513095
01/2022,15388.478665188573
02/2022,15359.104011162259
03/2022,15687.44582035253
04/2022,15555.075788947235
05/2022,14959.756530614426
06/2022,14503.57231718664
07/2022,15289.888252947487
08/2022,14628.83443757084
09/2022,13762.661218509897
10/2022,14201.826131449427
11/2022,14680.495225847015
12/2022,13942.08318647917
01/2023,14182.20955740261
02/2023,14168.289717292046
03/2023,14386.25182416779
04/2023,14396.093665434257
05/2023,14509.864011804075
06/2023,14455.395906023256
07/2023,14544.676575473442
08/2023,14507.198094426556
09/2023,14017.03994979402
10/2023,14031.012850912995
11/2023,14373.23916899337
12/2023,14755.87398614077
01/2024,14622.285160355943
02/2024,14538.492995031562
03/2024,14688.335735426956
04/2024,14591.184970448983
