Data,IE00B3DWVS88
08/1999,63068.758912714
09/1999,60393.496921149155
10/1999,62915.77787172493
11/1999,70959.07217159779
12/1999,80372.56291589593
01/2000,82937.88183940177
02/2000,84679.30850762264
03/2000,86506.1974997518
04/2000,82318.94902011164
05/2000,77046.57540438262
06/2000,77630.21337843967
07/2000,76112.5958737163
08/2000,79362.66453723745
09/2000,73579.07041425878
10/2000,71048.14194600025
11/2000,62825.49514940081
12/2000,60033.02777917054
01/2001,68373.26404667352
02/2001,63309.68446430479
03/2001,59765.229364291314
04/2001,62392.98562541495
05/2001,66071.05678235862
06/2001,64698.85962458831
07/2001,58691.05432496242
08/2001,55540.713808859975
09/2001,47069.537823349325
10/2001,50471.30163674977
11/2001,56630.55237899464
12/2001,61701.47660560536
01/2002,65077.4244351404
02/2002,66023.78047476195
03/2002,69393.54717244413
04/2002,67625.1632517027
05/2002,63844.484115023326
06/2002,55558.19678501761
07/2002,52326.64499878509
08/2002,52850.11123375245
09/2002,47006.17263087
10/2002,50024.63962415244
11/2002,53116.5963741916
12/2002,48596.773555365544
01/2003,46901.668302230115
02/2003,45768.369930763925
03/2003,43998.32541087031
04/2003,46890.77060404869
05/2003,47307.36191609308
06/2003,51720.68338708517
07/2003,55476.619397965675
08/2003,61305.14441799256
09/2003,57897.317592041625
10/2003,62972.41808137198
11/2003,61753.92839051691
12/2003,62880.794429627065
01/2004,66392.25737835573
02/2004,69248.71782124173
03/2004,71234.90203753934
04/2004,66910.31685086426
05/2004,64226.63222399805
06/2004,64732.736845469415
07/2004,64185.16770862307
08/2004,66458.90510905405
09/2004,68593.11887420072
10/2004,68411.10774029142
11/2004,71593.960691919
12/2004,73227.30620247775
01/2005,76743.80029484365
02/2005,82066.0474722673
03/2005,78372.20862786302
04/2005,76305.60771368486
05/2005,82983.91134192141
06/2005,87525.18572350344
07/2005,93689.38725673263
08/2005,93696.38254615519
09/2005,103737.55574713588
10/2005,97087.98494542141
11/2005,107371.9750101387
12/2005,113436.56560215243
01/2006,122806.31548166183
02/2006,125169.66259565527
03/2006,123872.09439627304
