Data,JE00B1VS3770
12/1978,10000
01/1979,10482.104545863223
02/1979,11323.143408611259
03/1979,10812.410203291667
04/1979,11167.000712057064
05/1979,12636.192136960914
06/1979,12617.582436169656
07/1979,12993.228501162903
08/1979,13849.360915877593
09/1979,17268.21293456539
10/1979,16672.46015354979
11/1979,18064.305852569767
12/1979,22259.135216477676
01/1980,27460.77417960999
02/1980,27029.99951803607
03/1980,22090.159173821437
04/1980,23412.16209584871
05/1980,23149.573823549563
06/1980,27832.21484312215
07/1980,25830.132031498808
08/1980,27066.57319089485
09/1980,28515.31531726207
10/1980,27571.49403987589
11/1980,28112.229350644473
12/1980,27576.7731443836
01/1981,23758.60276617244
02/1981,24494.412441242344
03/1981,25745.407408774197
04/1981,24828.25171551881
05/1981,26147.841730408352
06/1981,24125.874554425984
07/1981,23687.853334887735
08/1981,25463.465072146446
09/1981,24515.65619313799
10/1981,23686.479585631925
11/1981,22740.4866397033
12/1981,22241.397262161598
01/1982,21842.03677943084
02/1982,21141.566828590097
03/1982,18993.12521111109
04/1982,21768.126850196084
05/1982,18924.383344085258
06/1982,19541.410161722313
07/1982,21552.996394981397
08/1982,26018.414792898493
09/1982,25330.435028694275
10/1982,27319.256796332673
11/1982,28606.99495919506
12/1982,28177.481443410557
01/1983,31188.41964618161
02/1983,25966.698194080425
03/1983,26490.35736884795
04/1983,27804.912338390815
05/1983,28509.03219689037
06/1983,27931.348329672986
07/1983,28711.45823905947
08/1983,29090.729598551494
09/1983,28451.72702015512
10/1983,26386.667912133682
11/1983,28716.455392770626
12/1983,27728.213504827814
01/1984,27767.160352334435
02/1984,28384.58486167169
03/1984,26966.610022366698
04/1984,26539.141500656
05/1984,28135.990336729203
06/1984,27303.396186282873
07/1984,25994.99365660362
08/1984,26734.137122347838
09/1984,27628.975682791155
10/1984,27285.657828515134
11/1984,26206.70412482672
12/1984,25522.342155117396
01/1985,25999.352014374595
02/1985,25300.464229655732
03/1985,29009.736013058926
04/1985,26348.486860809106
05/1985,25919.589927636396
06/1985,25766.205728749108
07/1985,25255.77432828782
08/1985,24811.47451740466
09/1985,24640.527577381654
10/1985,23074.697464668123
11/1985,22637.27230659445
12/1985,22213.92558724021
01/1986,23314.305216529832
02/1986,21602.788175048
03/1986,21365.94788001029
04/1986,21583.115552757135
05/1986,21046.39392208715
06/1986,21345.706984727793
07/1986,21358.41672908089
08/1986,22289.93016234696
09/1986,24325.145023691926
10/1986,22788.62302039021
11/1986,22357.713976898587
12/1986,22114.96154975396
01/1987,21294.42344094592
02/1987,21194.05293127833
03/1987,21945.311083730525
04/1987,23314.43253196266
05/1987,22913.374109837874
06/1987,23128.453945727208
07/1987,24255.8095663506
08/1987,23958.31268278143
09/1987,23642.991678669594
10/1987,23942.29298410149
11/1987,23628.077663857875
12/1987,22626.10270942669
01/1988,21519.532084777627
02/1988,20596.916579784676
03/1988,21781.621529834047
04/1988,21269.65814367828
05/1988,21784.94090479236
06/1988,21648.945662446193
07/1988,22747.46088560608
08/1988,22769.7628207785
09/1988,20957.42725303573
10/1988,21242.445234707295
11/1988,20899.916293949107
12/1988,20299.666174115006
01/1989,20267.46713559545
02/1989,20148.490620718607
03/1989,20077.974906344774
04/1989,19885.759309691282
05/1989,19868.703270561222
06/1989,20847.142959434834
07/1989,19680.580004403604
08/1989,19517.878993720413
09/1989,20180.27734413102
10/1989,19880.758672143987
11/1989,21305.313431860348
12/1989,20064.201433206865
01/1990,20152.621748102767
02/1990,19527.59175898609
03/1990,17953.25642389037
04/1990,17681.899961821084
05/1990,17165.58693871543
06/1990,16759.869291825096
07/1990,17176.342244796782
08/1990,17096.641100797104
09/1990,18031.626556883915
10/1990,16258.850675417754
11/1990,16156.774172393278
12/1990,16603.873181461575
01/1991,15575.527481780979
02/1991,15173.38986032031
03/1991,16189.55262839188
04/1991,17148.03213346077
05/1991,17500.62454523158
06/1991,18548.16142609423
07/1991,18288.98741246915
08/1991,17119.056819236033
09/1991,17000.57052938754
10/1991,17094.596003348288
11/1991,16857.082966279693
12/1991,15741.509736926013
01/1992,15878.709357209644
02/1992,16178.314505436061
03/1992,16069.259765410154
04/1992,15669.790071469904
05/1992,15417.739809354214
06/1992,15233.32427388104
07/1992,15114.232483459582
08/1992,13993.301641429236
09/1992,14690.989323983506
10/1992,14869.82312190137
11/1992,15603.30380804189
12/1992,15527.487473188654
01/1993,15709.189858619593
02/1993,15956.626110588715
03/1993,16529.254651065752
04/1993,16741.38705690007
05/1993,17873.80630790611
06/1993,18438.342486787107
07/1993,20397.704187036765
08/1993,19001.90022032827
09/1993,17452.054195922963
10/1993,18351.57452523446
11/1993,18904.759260702147
12/1993,19896.451473778005
01/1994,19501.589629131042
02/1994,19607.873097907548
03/1994,19581.12257277903
04/1994,18988.202811511648
05/1994,19124.249341476596
06/1994,18839.04167974319
07/1994,18052.43900956833
08/1994,18149.676426962596
09/1994,18372.85551222224
10/1994,17513.693244732414
11/1994,17733.699315951184
12/1994,18062.282057656088
01/1995,17335.70808245989
02/1995,17208.919605367937
03/1995,17220.148434251045
04/1995,16788.14227653531
05/1995,16803.690452061735
06/1995,16777.270288651194
07/1995,16418.346292450155
08/1995,16865.987928179722
09/1995,17150.60690303567
10/1995,16818.873934744122
11/1995,17076.603881928684
12/1995,17292.289779880826
01/1996,18349.774637510523
02/1996,18226.27008572439
03/1996,18013.227372702266
04/1996,17929.492571619397
05/1996,18106.37864269981
06/1996,17566.763350725807
07/1996,17443.577652871285
08/1996,17331.35967836734
09/1996,17138.932545558673
10/1996,17209.359113912033
11/1996,16615.813467865864
12/1996,16898.121309604005
01/1997,16222.616056598301
02/1997,17566.031775798798
03/1997,17246.38704357785
04/1997,16936.157120091546
05/1997,17149.322973129903
06/1997,16781.939231195644
07/1997,16820.63404480407
08/1997,17241.936043373087
09/1997,17132.460737528738
10/1997,15767.4285971702
11/1997,14713.771927791315
12/1997,14719.046674702347
01/1998,15867.657794434275
02/1998,15440.617001746934
03/1998,15680.103135462481
04/1998,16070.701673089789
05/1998,14949.698331523225
06/1998,15191.885442040953
07/1998,14840.008976331916
08/1998,13984.144359220929
09/1998,14324.406933234735
10/1998,13717.819147397982
11/1998,14226.190635958556
12/1998,13783.05815493639
01/1999,14127.465381127548
02/1999,14676.554424478523
03/1999,14650.313447127734
04/1999,15225.9855914032
05/1999,14457.192724468943
06/1999,14217.535247616437
07/1999,13442.233788129337
08/1999,13549.147066225943
09/1999,15757.951141370355
10/1999,16077.797999588447
11/1999,16208.162550864705
12/1999,16223.672995504407
01/2000,16242.343574308235
02/2000,16963.90977642296
03/2000,16251.542654636882
04/2000,16978.46314466505
05/2000,16406.293722476057
06/2000,16899.392473073498
07/2000,16774.945439524923
08/2000,17419.978714578712
09/2000,17480.48344369544
10/2000,17588.87260213608
11/2000,17338.85360116888
12/2000,16389.523437018812
01/2001,15914.815521990762
02/2001,16120.100249176423
03/2001,16304.533415529973
04/2001,16561.51889741721
05/2001,17616.082756692915
06/2001,17814.506526229696
07/2001,16949.454265717337
08/2001,16630.745347123477
09/2001,17902.598954408233
10/2001,17187.867237691196
11/2001,17256.799757731023
12/2001,17480.872665880714
01/2002,18205.56645434599
02/2002,19107.000416788196
03/2002,19231.322563904167
04/2002,19038.962116248415
05/2002,19354.83865787427
06/2002,17755.90842241463
07/2002,17311.342417314863
08/2002,17678.447793471532
09/2002,18238.63871736477
10/2002,17842.329482679208
11/2002,17843.58004975776
12/2002,18139.63909201784
01/2003,18851.99519422943
02/2003,17873.54907909104
03/2003,17040.913044260742
