Data,DE000A0H08N1
04/2002,31708.742423648713
05/2002,31496.86996121462
06/2002,28739.896455988102
07/2002,26223.291954991808
08/2002,26279.422345574196
09/2002,23596.017694448117
10/2002,24920.594996659256
11/2002,25365.611817982528
12/2002,23812.78375971393
01/2003,21978.920544436285
02/2003,21659.75632675278
03/2003,20879.061504793342
04/2003,22486.883692420506
05/2003,22987.618631116155
06/2003,23305.009612639136
07/2003,23952.711657448795
08/2003,25743.98909577691
09/2003,24679.471500330677
10/2003,26789.81974480368
11/2003,27099.10058663029
12/2003,27393.5680387205
01/2004,28256.609589828164
02/2004,29500.040661544448
03/2004,29575.797628517554
04/2004,29783.262065865467
05/2004,29549.212527758773
06/2004,30041.226545427027
07/2004,28976.52181788072
08/2004,28262.0746951426
09/2004,28069.110174514226
10/2004,28212.623736745543
11/2004,29345.84770682351
12/2004,30316.13134672844
01/2005,30729.73213252757
02/2005,31491.607586552975
03/2005,32029.665086717043
04/2005,31193.55370882804
05/2005,33147.05538740626
06/2005,34131.46300673443
07/2005,35290.348377713795
08/2005,35234.007832577845
09/2005,36661.01950543416
10/2005,36165.721052527784
11/2005,38116.17045720594
12/2005,40204.37256520294
01/2006,40740.312444423515
02/2006,42311.75090698492
03/2006,43002.49490509607
04/2006,43392.58384304292
05/2006,40662.91634028348
06/2006,41054.44087319919
07/2006,42653.98437505837
08/2006,44083.00384858963
09/2006,44831.479243092625
10/2006,45499.015958534015
11/2006,46067.106837556705
12/2006,48064.72377467052
01/2007,49689.09503607587
02/2007,48975.44882924186
03/2007,51130.85234422756
04/2007,52397.70472167939
05/2007,54056.655380056116
06/2007,53271.53282854336
07/2007,51510.96934167959
08/2007,51366.9414119091
09/2007,52130.91579634381
10/2007,52448.09187961886
11/2007,51158.488167137664
12/2007,51834.96867243795
01/2008,45238.91591017157
02/2008,45109.40914355307
03/2008,44196.106533824626
04/2008,44890.146769002
05/2008,45378.79730409335
06/2008,40116.875102202066
07/2008,41044.84241878413
08/2008,41562.05599670222
09/2008,39099.12642457306
10/2008,34340.843163634716
11/2008,32302.417172874353
12/2008,30862.49211408193
01/2009,31462.918043452893
02/2009,29750.936700495924
03/2009,29025.255080678486
04/2009,32270.02419903899
05/2009,33275.822892599965
06/2009,33494.96230359294
07/2009,37443.10150951929
08/2009,38438.224175085874
09/2009,39350.81868813354
10/2009,39598.91809209943
11/2009,39775.964037986996
12/2009,43620.826743256854
01/2010,44908.14365864479
02/2010,45319.361421364956
03/2010,48322.0697880614
04/2010,47803.108107247
05/2010,47162.29112002978
06/2010,49033.4699844553
07/2010,49578.53695962991
08/2010,49444.48048176052
09/2010,52874.53653130582
10/2010,53190.01037803921
11/2010,54411.326127725086
12/2010,56698.34918068471
01/2011,53983.13034856406
02/2011,55837.53503258945
03/2011,54555.55537581226
04/2011,56704.74974937845
05/2011,58698.30823103689
06/2011,57434.86912909171
07/2011,58662.25264358519
08/2011,54475.988948421946
09/2011,51969.304336016976
10/2011,56884.55886949489
11/2011,57105.089605703026
12/2011,58269.88452254723
01/2012,60348.14170179549
02/2012,64175.303315866826
03/2012,65572.65746125409
04/2012,66316.0530500447
05/2012,64156.76059708623
06/2012,65054.135124168206
07/2012,69076.21960692621
08/2012,69817.88543283886
09/2012,67130.67792280065
10/2012,68203.09491609756
11/2012,72890.13538202616
12/2012,72021.73828784532
01/2013,73256.91051762577
02/2013,75169.36418366325
03/2013,79161.09271511069
04/2013,79806.18758684576
05/2013,81904.14500968215
06/2013,78158.83966798893
07/2013,80726.99309857514
08/2013,78683.34442905778
09/2013,81960.07047831052
10/2013,83793.54479922853
11/2013,83885.9225549943
12/2013,83721.37562076544
01/2014,80011.66006393352
02/2014,85035.35058642513
03/2014,83926.86856547726
04/2014,86178.24930929428
05/2014,89856.5212046022
06/2014,88892.64952260672
07/2014,86333.93849473327
08/2014,87799.66263826328
09/2014,87489.77209322032
10/2014,88645.89218530974
11/2014,94561.62172011223
12/2014,93261.82032947648
01/2015,103303.86848858012
02/2015,109726.25545300622
03/2015,108637.43050565691
04/2015,110350.81635594432
05/2015,113302.08561763584
06/2015,108515.46569707987
07/2015,117834.21312559691
08/2015,106525.98299519178
09/2015,108694.32275419099
10/2015,118271.24135883921
11/2015,118318.15202504113
12/2015,112924.72950757308
01/2016,111974.02452663904
02/2016,110865.33741884615
03/2016,112359.03587601655
04/2016,112426.6877303842
05/2016,116554.47563918639
06/2016,115970.37076496582
07/2016,117277.04095801478
08/2016,116726.99584473336
09/2016,117051.94477305398
10/2016,113480.08345063325
11/2016,112378.58223112677
12/2016,117396.74551776751
01/2017,118748.87335805036
02/2017,126326.92198696958
03/2017,131863.23781436792
04/2017,135832.8531454565
05/2017,138197.2885043807
06/2017,132327.93676394442
07/2017,128935.29006662167
08/2017,129554.61545500455
09/2017,131094.59022664386
10/2017,134953.0144296321
11/2017,129761.40071977102
12/2017,130827.34847680898
01/2018,130044.18855609829
02/2018,121650.89710312964
03/2018,124044.2071662244
04/2018,129285.27108645954
05/2018,130862.83966831975
06/2018,129060.65980507614
07/2018,133235.16347907172
08/2018,131446.2189210492
09/2018,129589.06137901357
10/2018,122516.80558365103
11/2018,117226.45886928964
12/2018,112751.37212263216
01/2019,119274.38373921225
02/2019,124713.72270125418
03/2019,133221.70516588812
04/2019,136227.66518617625
05/2019,131318.89089942176
06/2019,135949.50284783484
07/2019,138224.04105150542
08/2019,138157.95419874994
09/2019,139167.6922639583
10/2019,138682.5568384402
11/2019,144099.28451229096
12/2019,146438.50855915254
01/2020,147301.84035992145
02/2020,134373.8532888879
03/2020,121785.34131470774
04/2020,131280.01364970178
05/2020,135336.42930906048
06/2020,138032.04701984616
07/2020,134842.5509539294
08/2020,138136.40111834454
09/2020,142624.44371854007
10/2020,135945.31573168462
11/2020,149663.7571049159
12/2020,154423.11907933935
01/2021,148891.24734644016
02/2021,149384.27813147413
03/2021,161163.6284475163
04/2021,166163.22539489774
05/2021,175642.9420040136
06/2021,177461.07523078416
07/2021,177374.98943957547
08/2021,172409.95965224734
09/2021,166236.29729723468
10/2021,175652.3577150236
11/2021,178530.2028236293
12/2021,185813.80267609944
01/2022,178055.49777455028
02/2022,170423.05211543228
03/2022,163993.7921031872
04/2022,163379.63718746326
05/2022,160836.06311611907
06/2022,155389.0173570605
07/2022,171423.4756868824
08/2022,163401.47239347623
09/2022,152276.53529548828
10/2022,156717.26811973425
11/2022,173898.1445962418
12/2022,165419.3904031329
01/2023,181421.06085956612
02/2023,182313.93815489547
03/2023,189641.49513189192
04/2023,197105.93338010195
05/2023,184008.67807622746
06/2023,190930.9846831686
07/2023,191859.71599353498
08/2023,182750.22146051624
09/2023,172516.34553426533
10/2023,166125.6563383109
11/2023,174475.49551646766
12/2023,178364.81187639336
01/2024,182713.80117717278
02/2024,189944.6519921984
03/2024,189739.2655313691
04/2024,185800.6582884802
