Data,IE00B1FZS467
10/2006,10000
11/2006,10113.285371290038
12/2006,10427.350266595993
01/2007,10581.96848054657
02/2007,10560.313635433398
03/2007,10890.393306350741
04/2007,11082.169783315368
05/2007,11489.55042348779
06/2007,11126.709459963387
07/2007,10592.504448160054
08/2007,10775.022770075891
09/2007,10937.865953487371
10/2007,11389.444416818515
11/2007,11286.489685131448
12/2007,11268.167898349791
01/2008,10341.63524489959
02/2008,10092.328444080884
03/2008,9618.056367011723
04/2008,10146.799279136258
05/2008,10523.794162164762
06/2008,9946.50574580609
07/2008,9656.550222610436
08/2008,9877.005000593379
09/2008,8939.667455422572
10/2008,8594.41641982038
11/2008,8448.633763529058
12/2008,8091.028646789368
01/2009,8227.692414892415
02/2009,7363.361503658559
03/2009,7027.575847044258
04/2009,7429.544580904762
05/2009,7546.764598741786
06/2009,7573.359900823328
07/2009,7901.780386876088
08/2009,8125.685654186674
09/2009,8185.016049511069
10/2009,7749.9265867282875
11/2009,7986.243191948594
12/2009,8614.257022008691
01/2010,8430.998160340463
02/2010,8563.037022791155
03/2010,8881.855886966427
04/2010,8883.36814054674
05/2010,8812.65561517669
06/2010,8783.68716170339
07/2010,8948.297526313356
08/2010,9165.266315029
09/2010,8869.895861715588
10/2010,9095.78128010528
11/2010,9133.350857003887
12/2010,9323.353121544567
01/2011,9366.950439496262
02/2011,9504.914606577178
03/2011,9023.583213790012
04/2011,9029.98490010294
05/2011,9096.288308812682
06/2011,9037.647124222063
07/2011,8900.797507406036
08/2011,8504.460084555265
09/2011,8800.994608392712
10/2011,8871.990525560706
11/2011,9187.344397737153
12/2011,9559.270990000214
01/2012,9283.920816655756
02/2012,9347.716630508692
03/2012,9459.213842531433
04/2012,9519.647256066648
05/2012,9608.282092826621
06/2012,9985.11979908532
07/2012,10229.376559371945
08/2012,9945.00735014245
09/2012,9891.106851177492
10/2012,9913.472303456316
11/2012,9654.975596610208
12/2012,9648.023982182556
01/2013,9645.033408652747
02/2013,9919.022587619525
03/2013,10547.804644998621
04/2013,10963.108744717378
05/2013,10320.05541568143
06/2013,10125.16039702088
07/2013,10392.843141668558
08/2013,9996.268317822258
09/2013,10211.293680560562
10/2013,10410.671190069572
11/2013,10256.942927789469
12/2013,10235.401938715075
01/2014,10430.223929734293
02/2014,10675.610608868461
03/2014,10970.924955526594
04/2014,11191.329404474143
05/2014,11553.360507574316
06/2014,11967.789683802645
07/2014,11751.532905191096
08/2014,12234.866477974116
09/2014,12414.595183652333
10/2014,12837.754702959232
11/2014,12875.1025123611
12/2014,13223.606378085
01/2015,14162.838221145294
02/2015,13854.080769720067
03/2015,14211.407653455733
04/2015,13968.150890201407
05/2015,14198.26363911812
06/2015,13221.447994673537
07/2015,13861.572855321223
08/2015,12855.156222678203
09/2015,12600.61905944711
10/2015,13327.668357301816
11/2015,13278.405440289585
12/2015,12753.638693930798
01/2016,12914.542088584236
02/2016,12963.714991187391
03/2016,13366.248477510993
04/2016,13428.75259051231
05/2016,13709.806778669483
06/2016,14439.402815779646
07/2016,14558.366597427654
08/2016,13939.59323551008
09/2016,14156.270485485622
10/2016,14167.291773630786
11/2016,13851.349724785641
12/2016,14477.939381569555
01/2017,14317.598376821568
02/2017,14998.998058427078
03/2017,15117.577017380616
04/2017,14907.028973274344
05/2017,15042.516045595876
06/2017,14647.80799422076
07/2017,14480.038274265256
08/2017,14633.816808172673
09/2017,14524.699592297799
10/2017,14907.41661678674
11/2017,14944.463083564084
12/2017,14525.760507713247
01/2018,13912.79057752133
02/2018,13485.347055799808
03/2018,13554.668573791187
04/2018,14106.075677783805
05/2018,14617.525050900636
06/2018,14889.958064133261
07/2018,15186.665286228996
08/2018,15203.530619461195
09/2018,15310.94969221957
10/2018,15317.63711746491
11/2018,15777.585729823544
12/2018,14857.070148947076
01/2019,15979.425828987683
02/2019,16547.135412216892
03/2019,17246.897918511455
04/2019,17424.503092069106
05/2019,17356.14016879234
06/2019,17563.35980258186
07/2019,17888.09622061572
08/2019,18238.678129662007
09/2019,18809.519218363483
10/2019,18446.4930594462
11/2019,18564.089941084556
12/2019,18850.18343134926
01/2020,19734.465814137384
02/2020,18137.441333124276
03/2020,15814.348520539228
04/2020,17019.011695964404
05/2020,17341.06316076261
06/2020,16783.438065926362
07/2020,16426.02106242922
08/2020,16403.22096070989
09/2020,16572.888674386253
10/2020,16435.766231072605
11/2020,17106.949023729303
12/2020,16896.149122512903
01/2021,16835.374680396813
02/2021,16692.978365734827
03/2021,18578.952711128037
04/2021,18585.303844099562
05/2021,18485.867738526398
06/2021,18778.61236566182
07/2021,19024.76970001202
08/2021,19474.56723205356
09/2021,18976.333095911148
10/2021,19992.514011128675
11/2021,19809.365688313403
12/2021,21274.459214804105
01/2022,20866.705663977158
02/2022,20599.041062478624
03/2022,22406.13966873412
04/2022,22434.40713576885
05/2022,22442.664577594973
06/2022,21797.661376389922
07/2022,23511.348094516357
08/2022,23466.54311722744
09/2022,21208.939858597227
10/2022,21465.72763540363
11/2022,22083.110690526915
12/2022,20982.790833965064
01/2023,20934.655169844278
02/2023,20247.720208473675
03/2023,20289.995124430527
04/2023,20433.036065433444
05/2023,19898.267835503004
06/2023,20239.41118142128
07/2023,20360.411348034053
08/2023,19517.140757157984
09/2023,19041.05278928254
10/2023,18850.3358790663
11/2023,19697.93249689648
12/2023,20260.14795129232
01/2024,20173.990502376524
02/2024,20329.88049930171
03/2024,21002.39339971947
04/2024,20727.655382030433
