Data,IE00B02KXH56
04/1998,65963.04060000661
05/1998,61355.86651451263
06/1998,62639.33261042525
07/1998,61930.10775443525
08/1998,54613.85609630968
09/1998,50617.788923735956
10/1998,56898.10421764994
11/1998,61193.36699051681
12/1998,63125.835641493286
01/1999,65630.36516145429
02/1999,66290.1827064235
03/1999,77391.88835886797
04/1999,81687.75735249667
05/1999,78083.59287743538
06/1999,86495.72405479522
07/1999,91833.21192669877
08/1999,92190.27836176478
09/1999,96895.37154397288
10/1999,103050.98520492564
11/1999,111208.08407713028
12/1999,118654.7397689572
01/2000,116413.77993685528
02/2000,114237.31285936313
03/2000,125685.59561593189
04/2000,122160.41839984307
05/2000,113165.59016929493
06/2000,117687.83721976068
07/2000,107603.27449996829
08/2000,118852.18023952667
09/2000,114705.27358744502
10/2000,112464.39069539488
11/2000,104422.22006400173
12/2000,91475.12593608364
01/2001,90458.78857622502
02/2001,86765.98074647218
03/2001,88113.09859355664
04/2001,93589.6246611326
05/2001,97679.20255639791
06/2001,91813.25248958963
07/2001,82258.193942056
08/2001,76630.68642653294
09/2001,69638.98523452802
10/2001,70145.37411931912
11/2001,72019.4968914838
12/2001,67771.30619832833
01/2002,63705.66945727979
02/2002,66210.95480258348
03/2002,69389.70123029572
04/2002,71080.0673020221
05/2002,72427.22148124849
06/2002,64570.46066341811
07/2002,61232.48865958724
08/2002,60244.12829488618
09/2002,57364.40988758042
10/2002,53321.84279664232
11/2002,55099.890309413946
12/2002,50789.54887619312
01/2003,47223.59494159457
02/2003,47626.313166684035
03/2003,44976.07934007877
04/2003,43656.333372470275
05/2003,43076.26928899074
06/2003,47829.94673240871
07/2003,50226.90318521347
08/2003,57481.54098243442
09/2003,57072.95473713322
10/2003,59811.0858341654
11/2003,56137.43655800545
12/2003,56979.25538675939
01/2004,59134.46042403202
02/2004,58770.28130685229
03/2004,67690.5644929157
04/2004,65471.67221701018
05/2004,61840.67956838834
06/2004,65371.257124618416
07/2004,62056.42297049281
08/2004,62103.8268677847
09/2004,59160.02645711689
10/2004,59112.51078201886
11/2004,59335.573053693275
12/2004,60856.764275359696
01/2005,62085.943625082946
02/2005,62273.51402910591
03/2005,62332.662822679464
04/2005,60731.05774618976
05/2005,63202.89977630581
06/2005,64357.007938980576
07/2005,64961.06624897212
08/2005,68850.83436761198
09/2005,76914.80219243125
10/2005,76074.63739215647
11/2005,80996.4216986462
12/2005,87694.08642954561
01/2006,89632.48031067653
02/2006,90646.7693805138
03/2006,91130.24299401858
04/2006,90497.24334552335
05/2006,82641.45950352911
06/2006,82680.89127428424
07/2006,81834.8539788521
08/2006,82479.77247961769
09/2006,82310.79104602654
10/2006,83465.6311539809
11/2006,80806.78338229735
12/2006,82963.63810933668
01/2007,85019.71164729464
02/2007,86677.51197684507
03/2007,84801.99569924406
04/2007,81355.69134095334
05/2007,83577.54606024784
06/2007,82965.05466662234
07/2007,81568.60143880332
08/2007,79143.87418169626
09/2007,78223.94870526911
10/2007,76441.40011779995
11/2007,73406.44566203124
12/2007,70656.41770737636
01/2008,66716.82726274747
02/2008,65828.1366051654
03/2008,60549.38076939076
04/2008,66055.68326810845
05/2008,67825.53680045831
06/2008,62142.125181289375
07/2008,60581.985073589785
08/2008,61600.49053092857
09/2008,56316.770732239595
10/2008,53780.23462009513
11/2008,53208.95327925774
12/2008,52587.290437570875
01/2009,53197.81775632326
02/2009,47218.68225443116
03/2009,45781.45816370693
04/2009,50290.52058587793
05/2009,52208.21613475545
06/2009,52965.361301761346
07/2009,55188.91503437124
08/2009,56794.92791011337
09/2009,54374.67726542009
10/2009,52421.95736649555
11/2009,51088.51723722486
12/2009,53662.36792163688
01/2010,56377.33277173622
02/2010,58644.170573071184
03/2010,61959.80431735928
04/2010,62594.42740684068
05/2010,62213.975606509135
06/2010,61113.91930371049
07/2010,59581.966091370756
08/2010,59789.479798863744
09/2010,58062.06083443502
10/2010,58324.402001818904
11/2010,63457.20951990411
12/2010,66399.83948082139
01/2011,64848.96682514055
02/2011,67078.16638669596
03/2011,59283.37191128696
04/2011,56855.807994026465
05/2011,57748.84632605117
06/2011,58290.71359442943
07/2011,61143.33246385641
08/2011,55405.07175390277
09/2011,58288.16003375665
10/2011,56047.57700517027
11/2011,55872.98910579465
12/2011,58393.8159859867
01/2012,59907.15514420405
02/2012,61651.02012406005
03/2012,62852.71806503861
04/2012,61468.39713253832
05/2012,59611.479373825365
06/2012,61715.52603705065
07/2012,61712.04676203777
08/2012,59644.98953835517
09/2012,59497.16120524363
10/2012,58070.71016731327
11/2012,59453.13493685017
12/2012,61586.64055237757
01/2013,62140.07250368503
02/2013,65812.02766100224
03/2013,70739.79809400141
04/2013,75337.79572182057
05/2013,71394.02384376847
06/2013,72196.01901267975
07/2013,71528.92623835336
08/2013,70166.22406386623
09/2013,74472.85908533032
10/2013,73693.02946279076
11/2013,74917.57809380323
12/2013,74491.31149537508
01/2014,73037.88483197064
02/2014,71048.18050449013
03/2014,70225.50295552239
04/2014,68071.5140295902
05/2014,72055.54534293721
06/2014,75504.93282485766
07/2014,77488.6306085053
08/2014,76865.8887530584
09/2014,79950.93444702498
10/2014,79241.37980616943
11/2014,79706.72321913831
12/2014,80737.13296130569
01/2015,88692.99994376021
02/2015,94575.2013930127
03/2015,100271.3061778279
04/2015,99551.80602181157
05/2015,103052.4828233336
06/2015,99252.40522373999
07/2015,101689.34276674651
08/2015,93611.34757710218
09/2015,87292.42675328327
10/2015,97679.77877927541
11/2015,100660.01849880062
12/2015,98080.37770987935
01/2016,89692.48978533263
02/2016,87444.9570979036
03/2016,87540.79913657233
04/2016,91422.76773147247
05/2016,92448.04345910117
06/2016,90547.07885680758
07/2016,96276.14639565923
08/2016,96431.45058032272
09/2016,97673.65624817654
10/2016,100858.14523493606
11/2016,101254.25174658526
12/2016,103098.69369016771
01/2017,104756.099371419
02/2017,107455.25019419006
03/2017,106065.43598630249
04/2017,104782.51537912281
05/2017,105084.16828595402
06/2017,104369.71478355523
07/2017,103569.66823273104
08/2017,102607.4452835883
09/2017,104736.21373723377
10/2017,111094.64636039303
11/2017,112325.39197626489
12/2017,111695.05486829273
01/2018,112408.09172271327
02/2018,112862.60602187624
03/2018,109464.73502064032
04/2018,112349.03027215778
05/2018,114800.41278333956
06/2018,112245.91053194439
07/2018,111890.03351684383
08/2018,112900.7218124698
09/2018,117028.73281989928
10/2018,109518.29580189487
11/2018,109500.61135549692
12/2018,101319.4286455989
01/2019,107094.29603456469
02/2019,107681.82962143792
03/2019,109982.35134154439
04/2019,111622.59498720533
05/2019,107791.50062177682
06/2019,109522.29771290986
07/2019,111873.33026336326
08/2019,111838.67460391653
09/2019,117875.00517447258
10/2019,120600.70401550652
11/2019,123118.06445843294
12/2019,122805.38928736818
01/2020,123069.15660456392
02/2020,112518.08692761113
03/2020,104620.51130373518
04/2020,111018.78811655415
05/2020,114792.7232526588
06/2020,114084.6414262378
07/2020,106058.18666807855
08/2020,113199.76831513627
09/2020,116517.04806068417
10/2020,114695.13461704575
11/2020,125930.86407074498
12/2020,127955.98462715563
01/2021,128021.47230965245
02/2021,130058.04572182032
03/2021,135814.40007852804
04/2021,129727.74200576416
05/2021,130397.4623417165
06/2021,133422.99648917466
07/2021,131590.50622737178
08/2021,136218.83982078944
09/2021,142981.42132740165
10/2021,137318.3906310919
11/2021,137189.62513287732
12/2021,140177.36378632378
01/2022,135024.74415209223
02/2022,132936.1879747136
03/2022,133370.74961270098
04/2022,128036.46099639672
05/2022,127969.33153974493
06/2022,121504.6031399719
07/2022,130749.66432896201
08/2022,129868.76410640945
09/2022,119358.58341910996
10/2022,120779.91879460614
11/2022,126510.315849677
12/2022,123336.4211022088
01/2023,128920.90728377574
02/2023,126406.9607334928
03/2023,128262.68759047538
04/2023,127426.4078662944
05/2023,133355.17130098492
06/2023,136412.76681480836
07/2023,138462.0849171543
08/2023,136966.47394728803
09/2023,137490.37645553183
10/2023,130921.35427197379
11/2023,138000.77304334973
12/2023,142406.70851099576
01/2024,151841.34143259004
02/2024,156475.2987626745
03/2024,161345.61199198282
04/2024,154761.5432950971
