Data,IE00B60SX170
06/2001,417192.0079868757
07/2001,400301.9743508475
08/2001,357255.9220876074
09/2001,330904.66253139963
10/2001,339040.8328742504
11/2001,371066.64152743394
12/2001,377010.78937211056
01/2002,379252.68770555424
02/2002,371229.8657019846
03/2002,381834.90672388737
04/2002,345796.6596363122
05/2002,329352.4950647606
06/2002,286304.2425607574
07/2002,270925.4542529463
08/2002,270819.70339546
09/2002,239590.80564097912
10/2002,261238.6719627474
11/2002,275195.13083154865
12/2002,244756.88705893265
01/2003,231570.8030374924
02/2003,228755.72504905242
03/2003,228481.8582607796
04/2003,242312.58140165912
05/2003,240380.77432882972
06/2003,251762.52605352862
07/2003,258896.82092534384
08/2003,273181.8648332434
09/2003,253215.4884331166
10/2003,268350.11140471016
11/2003,262533.48663748446
12/2003,262257.3624071336
01/2004,272301.71458769834
02/2004,274839.735580651
03/2004,274755.73054881446
04/2004,276798.39542681945
05/2004,274697.33807773684
06/2004,280865.41945035115
07/2004,273904.73107800254
08/2004,273659.06727254787
09/2004,270008.50535576005
10/2004,267066.86636463983
11/2004,266368.1175459066
12/2004,269095.66104947106
01/2005,274220.4139959089
02/2005,275240.11279451224
03/2005,276954.12248704757
04/2005,272085.51503154787
05/2005,295233.2846746463
06/2005,301810.807224983
07/2005,313112.56356999406
08/2005,307521.8333709264
09/2005,314162.1539538534
10/2005,309483.47800746537
11/2005,328925.1302338359
12/2005,328315.04785108386
01/2006,328328.28583927575
02/2006,335373.2141880412
03/2006,333234.1745174909
04/2006,325952.35427781375
05/2006,308157.3178088726
06/2006,312251.4777920782
07/2006,311955.97071460786
08/2006,317390.4877757254
09/2006,330367.7788652374
10/2006,340675.0487607505
11/2006,334155.4523276322
12/2006,338970.34234877356
01/2007,350853.8559722449
02/2007,337721.66188718594
03/2007,338617.6036090339
04/2007,345669.2129050453
05/2007,361802.34416901873
06/2007,354368.0258467665
07/2007,338323.7722984224
08/2007,343497.23551267124
09/2007,344602.45033818315
10/2007,343895.1977967601
11/2007,322357.9504953583
12/2007,321374.85909374093
01/2008,298832.3357969891
02/2008,283859.673054073
03/2008,271265.62862140994
04/2008,289664.46030712087
05/2008,294881.5794123375
06/2008,266436.2511544269
07/2008,265959.3753134575
08/2008,285618.9419557675
09/2008,267243.85882106976
10/2008,248377.8995636947
11/2008,230583.29615049608
12/2008,213591.35777032937
01/2009,213036.29764871506
02/2009,193794.35706902485
03/2009,199894.4253854454
04/2009,219624.1072612783
05/2009,218172.03652416854
06/2009,218099.76266506952
07/2009,234463.98417718973
08/2009,240330.87175105631
09/2009,243317.84604651897
10/2009,236063.4943653135
11/2009,246385.32668693212
12/2009,262220.4006836164
01/2010,260982.25362629612
02/2010,276876.8332341873
03/2010,295427.40432381514
04/2010,303845.8522539447
05/2010,302214.8174304195
06/2010,286971.1246612095
07/2010,289175.46728916396
08/2010,283902.28503975767
09/2010,287735.096182861
10/2010,294543.55230139504
11/2010,314346.847767611
12/2010,326220.4178443018
01/2011,325977.4043778519
02/2011,333434.4972076515
03/2011,325052.8633887646
04/2011,320264.7899862966
05/2011,327240.55487538944
06/2011,320164.7690761559
07/2011,318164.2237879559
08/2011,296600.6311131541
09/2011,294560.8617848001
10/2011,315282.5166440622
11/2011,328066.0139431625
12/2011,343418.4091156134
01/2012,353108.85008690873
02/2012,361329.58010016964
03/2012,375314.3259015104
04/2012,377045.1009634539
05/2012,377003.5263520214
06/2012,386074.2222596071
07/2012,401039.69494052615
08/2012,399793.1401457122
09/2012,399855.99614122324
10/2012,390719.49625450844
11/2012,393460.14249389444
12/2012,390922.1664097243
01/2013,400778.04723955516
02/2013,418928.057440086
03/2013,445667.31947249616
04/2013,445179.92702105356
05/2013,456848.98574267497
06/2013,448188.78769091837
07/2013,464821.3472289517
08/2013,453344.9392047033
09/2013,458978.08006907126
10/2013,474557.3803668635
11/2013,489148.7071853913
12/2013,495709.2761676674
01/2014,488603.2006894277
02/2014,500557.3255840794
03/2014,504888.0356833967
04/2014,505627.1721201878
05/2014,526918.3492522957
06/2014,536175.7847266193
07/2014,539634.4474645768
08/2014,569399.9571922782
09/2014,587430.4780513517
10/2014,604416.497666509
11/2014,622457.937859269
12/2014,638013.5190241699
01/2015,665825.1497564719
02/2015,708825.2415862706
03/2015,729795.3233242057
04/2015,706493.5841116584
05/2015,731867.8173347134
06/2015,703922.344822902
07/2015,732494.4048684224
08/2015,672812.7078643951
09/2015,655668.1692117254
10/2015,721725.5420204228
11/2015,754198.6230986938
12/2015,720517.0154609486
01/2016,680128.7057809769
02/2016,680661.2418906385
03/2016,695501.1171623267
04/2016,697805.4480326398
05/2016,726403.6612759365
06/2016,731663.7425455096
07/2016,758648.6751000074
08/2016,758468.0720917287
09/2016,757283.896933667
10/2016,757493.3909450152
11/2016,807769.5158100716
12/2016,830145.5139009561
01/2017,830446.7041308123
02/2017,875931.8630122349
03/2017,869419.1297981141
04/2017,859564.527910922
05/2017,848655.8931392551
06/2017,839644.9507605634
07/2017,833702.7510575582
08/2017,829469.579903998
09/2017,847712.6808240244
10/2017,879606.4225784979
11/2017,890205.1016965759
12/2017,889013.41391656
01/2018,904984.6062129552
02/2018,889082.5355599578
03/2018,859817.8762283444
04/2018,880530.9432686009
05/2018,931263.558398461
06/2018,940846.2586965243
07/2018,968104.9301285396
08/2018,1007419.466714304
09/2018,1018540.9766458779
10/2018,969391.8615011536
11/2018,984670.8294418681
12/2018,888810.7511889647
01/2019,958686.133673826
02/2019,996989.0902690849
03/2019,1031739.3826825231
04/2019,1074694.6206920058
05/2019,1012750.9854756554
06/2019,1062029.7192124526
07/2019,1100539.4424277088
08/2019,1092623.209272125
09/2019,1127025.977297157
10/2019,1124155.400406009
11/2019,1184638.1749846907
12/2019,1191968.139112763
01/2020,1213919.1930684426
02/2020,1122497.2425359194
03/2020,981956.484793422
04/2020,1119254.3147099582
05/2020,1149936.8250724454
06/2020,1169616.6664814847
07/2020,1171022.544111025
08/2020,1249194.573410433
09/2020,1226369.562596621
10/2020,1195429.7317590315
11/2020,1302291.4907767328
12/2020,1323787.813697736
01/2021,1326042.3008286306
02/2021,1362301.6554047281
03/2021,1461236.4324368136
04/2021,1495177.004621853
05/2021,1487650.0653195889
06/2021,1569793.8145273437
07/2021,1605901.8932116206
08/2021,1661190.7665906968
09/2021,1617543.5062332752
10/2021,1720490.9364766686
11/2021,1745363.9779032809
12/2021,1820198.6011028776
01/2022,1743231.366370792
02/2022,1685590.1847152126
03/2022,1760185.9726353579
04/2022,1685734.8686003706
05/2022,1654809.8773854203
06/2022,1565401.34577659
07/2022,1743063.117321567
08/2022,1707873.5204075086
09/2022,1589464.8560177945
10/2022,1686849.6959323103
11/2022,1699360.551566276
12/2022,1555884.3942182458
01/2023,1632626.6243035365
02/2023,1625700.1986821687
03/2023,1643746.3679992664
04/2023,1648468.898421439
05/2023,1705406.317570425
06/2023,1788417.8106827198
07/2023,1823556.289308752
08/2023,1818311.9905801408
09/2023,1777799.4969385762
10/2023,1732726.280409389
11/2023,1841916.620041174
12/2023,1907850.7962036007
01/2024,1975572.6632379722
02/2024,2083612.30298106
03/2024,2152782.7359091523
04/2024,2081738.509359041
