Data,LU1681045297
12/1987,10000
01/1988,11943.58401618614
02/1988,12703.585368376544
03/1988,14840.339339643566
04/1988,15370.992448657893
05/1988,16551.01075263945
06/1988,16906.691944551312
07/1988,16517.846242880525
08/1988,17728.540223231146
09/1988,20067.288799792026
10/1988,18766.855730967716
11/1988,18003.9357659682
12/1988,19201.130352652297
01/1989,17950.193577909646
02/1989,21558.328107341757
03/1989,25979.038332597065
04/1989,33564.574204612974
05/1989,35381.080447796296
06/1989,27009.560740976565
07/1989,27700.849347164374
08/1989,28579.6040523708
09/1989,32462.969639169172
10/1989,32771.1928450147
11/1989,26856.21297096516
12/1989,30291.242056751842
01/1990,29938.5350203717
02/1990,31932.249862645644
03/1990,22479.93225760369
04/1990,27145.741733139203
05/1990,28287.922110053063
06/1990,27977.055012916906
07/1990,30924.617067516774
08/1990,26340.380973679734
09/1990,24313.106112620808
10/1990,22922.008917498853
11/1990,23211.020290939272
12/1990,23741.486190107033
01/1991,26930.804604896424
02/1991,29944.651565913908
03/1991,36464.40121177003
04/1991,41392.355427277485
05/1991,50574.234899330484
06/1991,51527.565065323746
07/1991,58029.4852380928
08/1991,60606.45907016585
09/1991,57955.90827389961
10/1991,61893.08654989817
11/1991,56140.05856371819
12/1991,62300.94323574446
01/1992,72389.11614087774
02/1992,80324.72178068456
03/1992,87330.42578204953
04/1992,86150.12131374
05/1992,85580.51893871266
06/1992,66998.90869741177
07/1992,65686.67453262843
08/1992,59386.198419766726
09/1992,59298.91833997987
10/1992,65660.54811913749
11/1992,69439.41660566158
12/1992,74130.84846767121
01/1993,74474.35347772161
02/1993,75953.27212346026
03/1993,81563.14533433563
04/1993,74855.16494743105
05/1993,76903.90791914992
06/1993,84122.04542270477
07/1993,90146.54703639811
08/1993,98631.88664548806
09/1993,96352.51560675671
10/1993,101330.47621881991
11/1993,110852.6852096534
12/1993,124832.70044494719
01/1994,147327.34392390196
02/1994,142488.40663112208
03/1994,130049.91405957499
04/1994,120451.8344301513
05/1994,124805.34677888417
06/1994,114894.01566098831
07/1994,121887.72258900612
08/1994,141855.23371756874
09/1994,146331.37694495008
10/1994,136419.36798667684
11/1994,134476.35937953682
12/1994,116703.34901100108
01/1995,101814.8152926547
02/1995,86095.69054698086
03/1995,79881.22437698921
04/1995,89647.93092220771
05/1995,93086.27201277207
06/1995,93732.67046338932
07/1995,95491.67735155913
08/1995,99493.52321970144
09/1995,99894.30877362068
10/1995,90411.55375366459
11/1995,92220.11276087545
12/1995,96512.50308276193
01/1996,107683.53397851194
02/1996,102047.70220224728
03/1996,103244.51433382247
04/1996,109872.91453336383
05/1996,114764.31732864454
06/1996,116776.96474359113
07/1996,110450.85281184783
08/1996,112511.4604204762
09/1996,116062.29650148659
10/1996,115268.70059429722
11/1996,114855.44034986534
12/1996,120844.33584276332
01/1997,136329.19500473552
02/1997,151659.3609726288
03/1997,151054.7808240965
04/1997,159447.4136324822
05/1997,170198.15678002132
06/1997,186835.94419006092
07/1997,202794.42068298775
08/1997,188556.27756811172
09/1997,201184.34022425555
10/1997,159975.93395644877
11/1997,162014.96143204463
12/1997,177414.93459620696
01/1998,161306.23750256948
02/1998,169378.29852693877
03/1998,182027.6308364204
04/1998,176622.2346581899
05/1998,151405.89220526486
06/1998,143467.45987413626
07/1998,150898.29179905707
08/1998,98127.32724410911
09/1998,103111.81614928257
10/1998,106964.09105356057
11/1998,118540.58752213551
12/1998,108661.9177597198
01/1999,98908.23569513662
02/1999,108698.63291315119
03/1999,134138.32276288973
04/1999,155538.93954201115
05/1999,152683.32449906817
06/1999,161912.0695291883
07/1999,144310.0740133026
08/1999,141539.19185767564
09/1999,142587.17161164113
10/1999,148735.41274681233
11/1999,173376.27445779715
12/1999,201655.5734555284
01/2000,198027.45186661655
02/2000,214883.17133886035
03/2000,220281.46925268733
04/2000,206597.2225641131
05/2000,191882.42563341922
06/2000,203838.4924674196
07/2000,206334.33440616739
08/2000,219274.12925460134
09/2000,209632.28944818652
10/2000,210606.57220143426
11/2000,185376.66616236983
12/2000,181271.24770316642
01/2001,207884.23366277295
02/2001,190255.83774905087
03/2001,186769.11535284307
04/2001,197761.37321044298
05/2001,213168.16883578917
06/2001,210953.5153658417
07/2001,192795.52751796125
08/2001,177875.27416585863
09/2001,149950.77042341436
10/2001,157405.88241828437
11/2001,169543.2944230089
12/2001,190270.43201482957
01/2002,193930.25257248952
02/2002,200228.3987378267
03/2002,207720.0758801306
04/2002,198393.69446094285
05/2002,175786.8013990086
06/2002,143106.32862424297
07/2002,123336.80892044066
08/2002,133904.2104703185
09/2002,109297.3847266987
10/2002,124360.55134930741
11/2002,127964.81235478954
12/2002,123736.79608091658
01/2003,115635.6623771638
02/2003,113536.69386658388
03/2003,119266.17156759776
04/2003,137042.4986580374
05/2003,133063.11317481595
06/2003,141024.8523888224
07/2003,149298.34890568245
08/2003,160999.75649383973
09/2003,155904.0458225494
10/2003,168285.50843340214
11/2003,169003.17426850874
12/2003,178070.11796830245
01/2004,183017.33922028716
02/2004,191194.36397908838
03/2004,196987.6698619297
04/2004,180366.51010530617
05/2004,175481.06050498204
06/2004,182070.34405170078
07/2004,190613.66325664168
08/2004,198050.3025738646
09/2004,208761.87117251285
10/2004,209748.58730243027
11/2004,218071.52705577336
12/2004,230079.48587084888
01/2005,236163.36869979237
02/2005,262531.9591866123
03/2005,247120.69853859808
04/2005,239843.06259657565
05/2005,270389.2648217927
06/2005,288808.74067990726
07/2005,307938.5079507186
08/2005,322292.46554650133
09/2005,377644.66345636087
10/2005,358279.2917096451
11/2005,395700.14177422685
12/2005,398826.2171076148
01/2006,455599.34377006494
02/2006,469146.8365601578
03/2006,449470.6312918502
04/2006,468489.9606187462
05/2006,392966.8215459671
06/2006,414611.97833749204
07/2006,424999.1381634429
08/2006,426321.70703355985
09/2006,436133.92161925515
10/2006,468900.47420806374
11/2006,477071.9606277676
12/2006,511588.31180392206
01/2007,529046.266949479
02/2007,504719.5481508038
03/2007,536357.20348731
04/2007,553485.1001112167
05/2007,619135.8462085888
06/2007,633435.4374979786
07/2007,633017.7401874632
08/2007,614593.7462565143
09/2007,668102.0746637436
10/2007,734153.2491828591
11/2007,677434.6105319286
12/2007,688274.0970810987
01/2008,638956.6885566097
02/2008,681582.4489104478
03/2008,631535.0761797267
04/2008,705839.4030455424
05/2008,773489.998583975
06/2008,702533.6626309126
07/2008,648328.4171906579
08/2008,629966.865971975
09/2008,521810.22450258804
10/2008,400129.4357922665
11/2008,375085.21988973377
12/2008,353928.36852052505
01/2009,383409.4534389512
02/2009,368239.1701457143
03/2009,388207.1772530153
04/2009,457030.12933196616
05/2009,519252.0177545456
06/2009,506367.55216687394
07/2009,551901.8902832497
08/2009,558331.956946481
09/2009,609556.417562374
10/2009,613064.61498024
11/2009,654852.49165273
12/2009,696850.4357457759
01/2010,654926.977207153
02/2010,702248.0271194933
03/2010,756829.4499517349
04/2010,763481.5565194853
