Data,IE00B4556L06
04/1990,10000
05/1990,10028.679407803018
06/1990,9667.585714330111
07/1990,9579.431672108887
08/1990,8764.242771496873
09/1990,7540.114896913089
10/1990,7375.120278213096
11/1990,6929.184641879993
12/1990,6178.479603482186
01/1991,6325.416142253733
02/1991,6375.625964116953
03/1991,7396.543095216286
04/1991,8515.336266339347
05/1991,8476.46288664246
06/1991,8679.075317597722
07/1991,7916.45806046487
08/1991,7091.017876669067
09/1991,7030.824228050169
10/1991,7374.220647610535
11/1991,6871.51093420253
12/1991,6334.393791011497
01/1992,6917.888236642343
02/1992,6856.952934696178
03/1992,7181.766581484685
04/1992,6845.588158407043
05/1992,6562.75463826711
06/1992,6484.72007736347
07/1992,6891.572651093043
08/1992,6356.5052508869985
09/1992,7197.736211726696
10/1992,7347.173100929957
11/1992,7935.721925738579
12/1992,8854.434001300211
01/1993,9544.16475143539
02/1993,8718.156274622615
03/1993,9839.99271384662
04/1993,10082.309739196886
05/1993,10372.247303477317
06/1993,12023.917248575246
07/1993,12895.178392462361
08/1993,11504.60550556542
09/1993,11001.366134965045
10/1993,11550.796437215151
11/1993,11266.039579978124
12/1993,11236.375546442945
01/1994,11502.368300104
02/1994,12491.580095819982
03/1994,12028.478107846657
04/1994,12355.024824583195
05/1994,11888.513169781352
06/1994,12280.431333862434
07/1994,12637.194818814682
08/1994,12809.862012653559
09/1994,12678.79894955411
10/1994,12998.928393992883
11/1994,12833.05923925541
12/1994,13275.498631704455
01/1995,13022.703867370315
02/1995,12652.379187534149
03/1995,13755.099826805848
04/1995,12600.487828954489
05/1995,12530.103486684255
06/1995,12372.881387814637
07/1995,11765.569834600965
08/1995,11525.632559399768
09/1995,11410.83186905082
10/1995,10777.347527941587
11/1995,10454.644953198997
12/1995,10244.775424222113
01/1996,10387.780742518438
02/1996,11243.10061417232
03/1996,11356.626735280546
04/1996,10606.975413322843
05/1996,10963.181444883774
06/1996,10946.649129178679
07/1996,10587.076605918961
08/1996,10126.178177580347
09/1996,9662.901535250405
10/1996,9507.694229383513
11/1996,9222.954407922512
12/1996,9590.21225039614
01/1997,10454.051552566198
02/1997,13453.181154273838
03/1997,13071.648783011015
04/1997,13992.847773137022
05/1997,16272.672270081239
06/1997,17356.931080535527
07/1997,19602.366858489455
08/1997,18247.18276830481
09/1997,18044.658669155866
10/1997,18901.35434172935
11/1997,18285.639901118444
12/1997,18730.03985473292
01/1998,22069.42977676846
02/1998,21829.715962852475
03/1998,25009.69104466401
04/1998,34081.233255540435
05/1998,26200.38348722038
06/1998,27497.473714174306
07/1998,28532.37673847374
08/1998,25176.924048648056
09/1998,24658.782798737335
10/1998,23319.671595492473
11/1998,23903.30764021127
12/1998,28514.325921911197
01/1999,29978.359729717384
02/1999,32448.559972888383
03/1999,34319.90459648974
04/1999,28344.84584287298
05/1999,32909.691071818015
06/1999,31636.337041936316
07/1999,32071.237406458273
08/1999,32817.94724975005
09/1999,35964.142597631224
10/1999,38439.49290318453
11/1999,39687.63955284464
12/1999,44944.57612793061
01/2000,50262.15255335985
02/2000,75563.7892310087
03/2000,60967.69440476341
04/2000,67119.00389104312
05/2000,62039.201080216444
06/2000,67829.5945450234
07/2000,90339.81661413368
08/2000,81652.70859209305
09/2000,82489.12462635121
10/2000,91435.57595179028
11/2000,94805.72463959928
12/2000,104063.77637598813
01/2001,114666.1581635412
02/2001,92050.44305542477
03/2001,84767.71001082993
04/2001,77933.02024618692
05/2001,77133.87727050767
06/2001,71978.76313959541
07/2001,52913.359818216835
08/2001,50133.3195676103
09/2001,39950.50148931548
10/2001,35854.43712231583
11/2001,39502.88499449743
12/2001,50566.64099672463
01/2002,43380.00903340152
02/2002,44121.95145044385
03/2002,44789.89299024602
04/2002,40448.494004460044
05/2002,37514.79896206459
06/2002,32558.090901139476
07/2002,33295.06346104204
08/2002,33943.21187992472
09/2002,32613.688046057792
10/2002,31877.406843293127
11/2002,26679.178473932137
12/2002,22454.730371062386
01/2003,23917.100412737258
02/2003,22863.885097891543
03/2003,16688.05193141672
04/2003,13972.060776663504
05/2003,15630.373810764277
06/2003,15814.610503345428
07/2003,15875.079489854132
08/2003,18611.35388284493
09/2003,18099.861358106333
10/2003,17622.61156303619
11/2003,15811.324059069597
12/2003,15411.827561092998
01/2004,18728.694952322916
02/2004,18593.08890758529
03/2004,23504.0110628772
04/2004,21260.43409728052
05/2004,20323.62703710756
06/2004,17987.786946638564
07/2004,18074.41590612089
08/2004,17776.7950760099
09/2004,17610.725074383714
10/2004,16838.0209335355
11/2004,15901.30998789043
12/2004,13596.468997856782
01/2005,14591.52334226679
02/2005,13813.36679354686
03/2005,15403.875408257081
04/2005,15215.52173778953
05/2005,15088.139109773849
06/2005,15217.504503253353
07/2005,15962.049853137945
08/2005,14997.788218516018
09/2005,16191.255382562678
10/2005,18972.679015963706
11/2005,22025.889086710427
12/2005,21544.094818671983
01/2006,24037.0678443235
02/2006,24186.60574429919
03/2006,27541.533547063835
04/2006,28988.45908544974
05/2006,27691.834138029684
06/2006,24629.726776598898
07/2006,24324.927743047672
08/2006,26621.41195280479
09/2006,24958.201091626375
10/2006,24962.279162981264
11/2006,24840.77596335002
12/2006,24664.804590289776
01/2007,25613.731323006366
02/2007,26249.34862272155
03/2007,26466.800171369978
04/2007,27321.94388780158
05/2007,27328.185300264024
06/2007,27070.051447560185
07/2007,26666.60854065575
08/2007,24108.610410346962
09/2007,24269.592642573218
10/2007,25634.26739631529
11/2007,23660.7274509088
12/2007,24808.755016751922
01/2008,26103.659119929656
02/2008,37460.955156461285
03/2008,28145.37724032697
04/2008,27024.44393064114
05/2008,27720.47032222645
06/2008,29612.197177379712
07/2008,24454.859887193245
08/2008,20478.72504084235
09/2008,13898.419329881215
10/2008,15502.124414848327
11/2008,14672.823014551126
12/2008,13164.606750048159
01/2009,15267.172485737789
02/2009,15393.358385015224
03/2009,16122.77606448151
04/2009,16385.69636570752
05/2009,16700.382688991893
06/2009,17572.65579873054
07/2009,18058.625907094523
08/2009,20192.07680000325
09/2009,20017.610961819722
10/2009,21822.87081224549
11/2009,23917.244854657245
12/2009,27808.844384090673
01/2010,29893.375305048998
02/2010,31568.43417426891
03/2010,35397.9185945067
04/2010,41289.131018340806
05/2010,38109.050372236634
06/2010,36185.7934686504
07/2010,37210.37314633212
08/2010,38774.9327238698
09/2010,41779.36103296038
10/2010,45953.76936725834
11/2010,53729.037339037124
12/2010,58882.66446315725
01/2011,58543.38005754786
02/2011,56782.477979397954
03/2011,53602.46236614232
04/2011,51973.973043677484
05/2011,53681.51768013037
06/2011,52319.79422621955
07/2011,57409.14760944664
08/2011,53825.75535200831
09/2011,45159.38897948402
10/2011,46311.99653945885
11/2011,45874.380623675504
12/2011,48792.67928586328
01/2012,52125.83481417168
02/2012,53296.75009725867
03/2012,48359.80516080955
04/2012,50973.7718625084
05/2012,48859.63944652212
06/2012,45526.076525018456
07/2012,47702.01379656722
08/2012,48973.03997272221
09/2012,49213.36062763205
10/2012,46220.28748080205
11/2012,52266.16374578767
12/2012,52484.863610102984
01/2013,54021.69449925957
02/2013,56122.19893608385
03/2013,59543.768334425586
04/2013,52939.3867008474
05/2013,56624.61845293339
06/2013,48651.372326717756
07/2013,54638.26052055118
08/2013,54345.69147304028
09/2013,53176.86359532753
10/2013,53798.08815923614
11/2013,52599.746727118356
12/2013,50972.305342539774
01/2014,51708.306947682395
02/2014,53378.921127372174
03/2014,55760.67381986208
04/2014,57285.540203031276
05/2014,60695.266529321256
06/2014,61037.15709516461
07/2014,64957.599777472635
08/2014,67235.46678436031
09/2014,60804.889280309166
10/2014,61790.652027725264
11/2014,63960.13971410627
12/2014,64857.00791845331
01/2015,67634.79978748217
02/2015,70911.24166157088
03/2015,66826.52238880539
04/2015,68495.30550340952
05/2015,70373.20274607131
06/2015,59643.645704510156
07/2015,54818.86413486787
08/2015,50345.954514677105
09/2015,58131.78721060685
10/2015,60534.41739082556
11/2015,50087.255464813425
12/2015,49476.09442175755
01/2016,45170.210939752345
02/2016,44662.462932940114
03/2016,49190.05955167137
04/2016,54196.71273467726
05/2016,47633.57725608532
06/2016,52191.29749445286
07/2016,62576.57018184488
08/2016,59543.49085069826
09/2016,63608.32088816206
10/2016,54965.738177500716
11/2016,71169.41867649484
12/2016,63026.52224434124
01/2017,69072.28130183942
02/2017,72408.82117590652
03/2017,73322.36502162502
04/2017,74043.558263781
05/2017,71235.72440211776
06/2017,72354.90512099143
07/2017,74836.65419602362
08/2017,77607.63306616672
09/2017,77719.59639630342
10/2017,82370.10603611839
11/2017,83622.23978789338
12/2017,86367.0586996761
01/2018,82741.94957671224
02/2018,83571.395411928
03/2018,77181.32828877572
04/2018,78146.6373811092
05/2018,82598.98069275897
06/2018,80101.51512422138
07/2018,77468.45959912852
08/2018,82309.20641704864
09/2018,92560.0045603469
10/2018,93616.10646494135
11/2018,103866.31324316624
12/2018,107983.15585526243
01/2019,117578.07370270611
02/2019,132361.20850720108
03/2019,121057.01952043973
04/2019,119126.93511130603
05/2019,120173.77675174273
06/2019,130972.23969059104
07/2019,134429.43494261996
08/2019,136605.2820537744
09/2019,150278.369564545
10/2019,157199.6690069474
11/2019,163017.4386090206
12/2019,166988.35589155683
01/2020,202862.4260855791
02/2020,241949.4615903132
03/2020,205640.9177774249
04/2020,178295.5615236812
05/2020,168316.16447134624
06/2020,166048.50573098884
07/2020,170092.36102227922
08/2020,177825.94868519952
09/2020,194571.21606419032
10/2020,185781.38283422356
11/2020,195381.85340475777
12/2020,188331.56081719344
01/2021,186940.16266342372
02/2021,189955.56234168055
03/2021,218204.66062506379
04/2021,240439.06296357082
05/2021,224955.15217256767
06/2021,221899.725100806
07/2021,217717.82276197858
08/2021,205067.58522047036
09/2021,159676.6846121396
10/2021,164848.46508224783
11/2021,151349.9221711159
12/2021,165654.41088918623
01/2022,213248.83438714122
02/2022,217955.0374784753
03/2022,197933.78338169958
04/2022,213327.01788151969
05/2022,184428.28424149033
06/2022,176705.97984524668
07/2022,199493.84429689895
08/2022,202146.9472137543
09/2022,220698.63910872024
10/2022,180211.1833838214
11/2022,178617.6244532148
12/2022,162803.0101732319
01/2023,145025.71728674258
02/2023,129179.18345232708
03/2023,132990.52314986908
04/2023,132303.35220744446
05/2023,126251.53462971219
06/2023,111959.59407495812
07/2023,112106.50631815188
08/2023,109313.40725092187
09/2023,117981.21426226036
10/2023,103712.78361075086
11/2023,90890.59897955449
12/2023,98142.19656641965
01/2024,86908.7345564735
02/2024,85192.49278146548
03/2024,91121.2814158028
04/2024,85118.58649339035
