Data,DE000ETF9603
05/2001,58750.564393377004
06/2001,56669.393918199086
07/2001,54562.436699403326
08/2001,51350.46653513179
09/2001,45977.46061368879
10/2001,47915.05057052186
11/2001,49943.25218722804
12/2001,51539.936369160416
01/2002,50573.661677500895
02/2002,50194.36224295294
03/2002,52613.29913769388
04/2002,50593.2176859674
05/2002,48766.608869465104
06/2002,44479.21514546553
07/2002,39892.226110350966
08/2002,39867.429606759164
09/2002,34257.21399263208
10/2002,37492.64034651924
11/2002,39190.01536371228
12/2002,35822.55542582777
01/2003,33333.30944659299
02/2003,32120.083282634896
03/2003,31301.480448913502
04/2003,34747.807897653845
05/2003,35201.00569665806
06/2003,36434.25456855436
07/2003,37949.10533317637
08/2003,38705.92591480241
09/2003,37316.643196488236
10/2003,39988.34513346198
11/2003,40353.37349951783
12/2003,41449.0389536699
01/2004,42645.7292177112
02/2004,43926.2859428038
03/2004,43000.717902975586
04/2004,43609.72805441954
05/2004,43508.09664688874
06/2004,44251.007262915926
07/2004,43464.06780819829
08/2004,43082.40506664581
09/2004,43865.78496899597
10/2004,44353.13154382241
11/2004,45568.50145920122
12/2004,46433.91391860809
01/2005,47521.118741544924
02/2005,48982.41242272407
03/2005,48739.52448052488
04/2005,47834.768983861846
05/2005,50201.40280247463
06/2005,51930.51337891724
07/2005,53673.52480180273
08/2005,53783.15760082449
09/2005,56185.44815431844
10/2005,54863.078349309246
11/2005,56702.92767003705
12/2005,58712.72976719642
01/2006,60824.20568956167
02/2006,62182.31006159957
03/2006,63648.81254775708
04/2006,64240.45678646694
05/2006,61270.64465885191
06/2006,61758.94028585244
07/2006,62836.72083132193
08/2006,64681.88493150937
09/2006,66005.12869473336
10/2006,68335.11808701744
11/2006,68167.15796886246
12/2006,70790.6672677806
01/2007,72265.28253695909
02/2007,70833.69180351814
03/2007,72858.78479485693
04/2007,75648.7045557687
05/2007,78068.82033243109
06/2007,77619.56077311528
07/2007,74973.21770682142
08/2007,74341.51743618793
09/2007,74754.667433999
10/2007,76903.70327741961
11/2007,73447.47270674315
12/2007,72326.3492914413
01/2008,63934.271027800096
02/2008,63384.612876084444
03/2008,61016.93636163002
04/2008,64812.83488092531
05/2008,65208.66503279514
06/2008,58680.998828635216
07/2008,57584.36984323224
08/2008,58625.87145865802
09/2008,52145.52048306954
10/2008,45257.67720178664
11/2008,42182.459615070955
12/2008,40588.54227058626
01/2009,39169.875460991665
02/2009,35526.07597941759
03/2009,36348.228575288136
04/2009,41531.167427845685
05/2009,43562.7712654668
06/2009,43166.26762215203
07/2009,47212.391578575654
08/2009,49649.878595091934
09/2009,51045.998507106175
10/2009,49899.798808315056
11/2009,50492.112149994035
12/2009,53637.0139150215
01/2010,52190.28269267047
02/2010,52033.6626526743
03/2010,55943.23739895341
04/2010,55378.8632812587
05/2010,52639.784583370936
06/2010,52376.54203782016
07/2010,55011.84773382976
08/2010,54242.551144280726
09/2010,56098.07514576808
10/2010,57482.51415616822
11/2010,56698.88743905395
12/2010,59753.73156446785
01/2011,60718.62208807898
02/2011,62209.27589661592
03/2011,60060.41404028316
04/2011,62092.17684346665
05/2011,62014.832917295455
06/2011,60326.551612462565
07/2011,58688.13109878341
08/2011,52652.356095544055
09/2011,50229.44036666263
10/2011,54098.94850214326
11/2011,53488.561234833745
12/2011,54504.60338673252
01/2012,56765.10768714685
02/2012,59111.77137249265
03/2012,59057.04312140554
04/2012,58073.06393239631
05/2012,54561.213852446424
06/2012,57309.65760847071
07/2012,59686.75874469303
08/2012,60945.33787143332
09/2012,61540.46651864108
10/2012,62013.69252415593
11/2012,63364.521501512034
12/2012,64292.94437656605
01/2013,66090.78936585174
02/2013,66837.326827009
03/2013,67923.9016313432
04/2013,69039.88665441182
05/2013,70437.4838819949
06/2013,66855.7546491535
07/2013,70325.9333770151
08/2013,69952.80048534309
09/2013,73102.1394284522
10/2013,75964.86717166596
11/2013,76733.33134264486
12/2013,77513.17954315944
01/2014,76216.85721859374
02/2014,80012.40342990041
03/2014,79368.2414445489
04/2014,80597.78797860608
05/2014,82681.60744129139
06/2014,82236.10125441186
07/2014,80878.29055867025
08/2014,82510.71633739374
09/2014,82833.09826901152
10/2014,81380.37208256563
11/2014,84024.40503835882
12/2014,82936.89073794379
01/2015,88938.63057798072
02/2015,95135.77537623979
03/2015,96715.18094973535
04/2015,96796.52618739624
05/2015,98397.07413508777
06/2015,93966.23301296029
07/2015,97723.09206801471
08/2015,89665.5628506515
09/2015,86009.62787785701
10/2015,92947.38810228114
11/2015,95548.55061178716
12/2015,90728.51403914315
01/2016,84935.83623667913
02/2016,83047.64918369842
03/2016,84197.49897900748
04/2016,85658.2703074458
05/2016,87783.49584343084
06/2016,83526.11487676902
07/2016,86626.83028095242
08/2016,87254.575580472
09/2016,87146.93400229047
10/2016,86232.28929400274
11/2016,87127.04746041696
12/2016,92124.79189253555
01/2017,91825.04904434552
02/2017,94612.80575740698
03/2017,97738.71518381605
04/2017,99655.49475544768
05/2017,101089.00303569506
06/2017,98520.13447628183
07/2017,98158.04928413844
08/2017,97366.2452754558
09/2017,101145.56858100368
10/2017,103062.5495143402
11/2017,100964.76842347528
12/2017,101677.11249509452
01/2018,103349.49959315149
02/2018,99395.2307979759
03/2018,97403.17480256902
04/2018,101761.34868112908
05/2018,101881.04980831036
06/2018,101226.94027426215
07/2018,104386.15566815696
08/2018,102136.16625441902
09/2018,102450.350120553
10/2018,96769.04334971377
11/2018,95797.53862730517
12/2018,90555.54834454926
01/2019,96268.76517050267
02/2019,100249.15487410409
03/2019,102297.94111194977
04/2019,106129.0735326873
05/2019,100872.8908779986
06/2019,105362.77629904388
07/2019,105675.92782720191
08/2019,104232.69732384884
09/2019,108069.42197537805
10/2019,109179.35188529851
11/2019,112250.08216361461
12/2019,114627.48521783322
01/2020,113260.58187545548
02/2020,103796.49856119545
03/2020,88715.05456354986
04/2020,94468.5397280165
05/2020,97670.05391169206
06/2020,100639.5797011608
07/2020,99664.10351549431
08/2020,102692.32687763656
09/2020,101232.11647862992
10/2020,96046.96759142078
11/2020,109325.39190619736
12/2020,112129.63748699964
01/2021,111271.7941416756
02/2021,113966.5057517439
03/2021,121269.8545284508
04/2021,123934.1279161233
05/2021,127121.18065645648
06/2021,129002.85203313656
07/2021,131636.6332934194
08/2021,134479.69908373317
09/2021,130033.97827441058
10/2021,136086.9121349962
11/2021,132627.48975599575
12/2021,139799.27634145436
01/2022,134425.35199501953
02/2022,130040.39330445461
03/2022,131317.2437481649
04/2022,130350.23208669244
05/2022,129134.29124684283
06/2022,118757.0635202613
07/2022,127927.59069957801
08/2022,121445.62712513989
09/2022,113564.10023669766
10/2022,120754.01736050031
11/2022,129059.65101756594
12/2022,124681.21306281458
01/2023,133059.8264786382
02/2023,135533.89231305165
03/2023,135083.31110220889
04/2023,138366.14275415623
05/2023,134855.22344929786
06/2023,138086.28444932477
07/2023,141024.5091948155
08/2023,137420.939741923
09/2023,135113.54660543302
10/2023,130207.11048397864
11/2023,138812.52998633526
12/2023,144108.9049612918
01/2024,146192.84101611644
02/2024,149070.762859678
03/2024,155063.80844729923
04/2024,153540.40100995704
