Data,FR0007056841
02/1990,9999.999999999998
03/1990,10491.605701784762
04/1990,10178.310790306883
05/1990,10907.408744977647
06/1990,11000.570451391995
07/1990,10772.229123177796
08/1990,9322.388219117061
09/1990,8765.562973222588
10/1990,8480.147142031148
11/1990,8775.75643032785
12/1990,9147.091949381695
01/1991,9539.829072965294
02/1991,9936.236243169571
03/1991,10942.062986121126
04/1991,11441.662022000295
05/1991,12210.111301212235
06/1991,12171.956499613505
07/1991,12690.343853540742
08/1991,12551.523383996711
09/1991,12109.307103766514
10/1991,12310.115379121115
11/1991,11228.536991965924
12/1991,11917.520987845655
01/1992,12215.909554987677
02/1992,12706.603315196491
03/1992,12934.978555496304
04/1992,13320.030163988025
05/1992,13263.730284843266
06/1992,12599.27960530724
07/1992,12279.266928944011
08/1992,11542.997536235169
09/1992,11876.238092111167
10/1992,12206.439934860802
11/1992,13388.955460036774
12/1992,13379.813726350942
01/1993,13681.452415810794
02/1993,14342.612941629111
03/1993,14708.972005205213
04/1993,14178.012683650413
05/1993,14692.507590584988
06/1993,15092.472557522762
07/1993,15841.60704470814
08/1993,16536.279092893885
09/1993,15479.43563045523
10/1993,16215.522516420297
11/1993,16736.235544788557
12/1993,17067.447266466796
01/1994,18341.37046112028
02/1994,17660.53173733355
03/1994,16431.282102507215
04/1994,16690.890613426254
05/1994,16738.504753663536
06/1994,15903.507013426579
07/1994,16012.355587138258
08/1994,16731.275290641825
09/1994,16278.06862113753
10/1994,16245.668090847244
11/1994,15836.877937297606
12/1994,16599.401302365895
01/1995,16308.261485607447
02/1995,16893.892916137625
03/1995,16857.06275027508
04/1995,17188.434663729495
05/1995,18101.947795559405
06/1995,18340.98866174485
07/1995,18738.46959805741
08/1995,18967.616050909055
09/1995,19983.476393812987
10/1995,19538.87722280356
11/1995,20966.485723724065
12/1995,21505.47725719085
01/1996,22957.702084564986
02/1996,23542.399563290244
03/1996,23992.37093167883
04/1996,24122.238651689953
05/1996,24815.55056098422
06/1996,24696.252026172686
07/1996,23793.910694713122
08/1996,24011.33917067525
09/1996,25393.66855073524
10/1996,26119.91790105017
11/1996,27955.011969537398
12/1996,28276.171097997867
01/1997,30690.123328415637
02/1997,32412.110491098654
03/1997,31422.88699822033
04/1997,33646.004523267016
05/1997,35159.097632378514
06/1997,37238.35630987608
07/1997,41026.256822196774
08/1997,39194.65878743213
09/1997,39818.31958624168
10/1997,36621.36227064275
11/1997,37791.0859497611
12/1997,39273.9763995368
01/1998,40165.08092201041
02/1998,43412.75199893283
03/1998,44907.70198199746
04/1998,45941.11059076344
05/1998,44512.91517273053
06/1998,45135.439762937196
07/1998,44897.479942402155
08/1998,38029.38720483835
09/1998,37757.20520860516
10/1998,39842.203647291215
11/1998,43592.6804405395
12/1998,43662.41252212715
01/1999,45962.43994602155
02/1999,47320.318985814214
03/1999,51088.924938742464
04/1999,57093.476163399864
05/1999,56738.94696704748
06/1999,59725.614649116076
07/1999,56026.047004998625
08/1999,57704.54054403562
09/1999,54651.49116858597
10/1999,57885.23389181275
11/1999,60843.05748847607
12/1999,64681.87407862391
01/2000,63150.47680387005
02/2000,59011.467590643566
03/2000,64756.91266427248
04/2000,66933.69596952446
05/2000,64174.80448574072
