Data,FR0013041530
03/2006,10000
04/2006,10109.687579214524
05/2006,9801.128137666961
06/2006,9793.830684185094
07/2006,9831.35714274299
08/2006,10041.580788941681
09/2006,10283.333004093676
10/2006,10596.792736076386
11/2006,10771.264599018237
12/2006,10905.739204734335
01/2007,11055.06295588971
02/2007,10826.463517103748
03/2007,10931.055766110234
04/2007,11388.839991597475
05/2007,11775.803207410421
06/2007,11566.29502040819
07/2007,11198.883061596192
08/2007,11353.460429033588
09/2007,11743.925273750534
10/2007,11916.847335973622
11/2007,11418.307482392696
12/2007,11329.497769210562
01/2008,10650.606620282424
02/2008,10320.035210888722
03/2008,10285.374243368391
04/2008,10804.440726231522
05/2008,10956.70255938022
06/2008,10062.936151289123
07/2008,9989.023833009436
08/2008,10157.123166594443
09/2008,9223.114835699294
10/2008,7475.335703975695
11/2008,6948.406951109069
12/2008,7017.272963296506
01/2009,6384.642183173117
02/2009,5700.783298673148
03/2009,6178.961768917537
04/2009,6771.106830126053
05/2009,7125.631724955775
06/2009,7140.71605605727
07/2009,7674.02339503188
08/2009,7946.355726063545
09/2009,8236.198585716938
10/2009,8083.759607286331
11/2009,8559.878937590205
12/2009,8732.563682179858
01/2010,8407.508370184343
02/2010,8672.260494714534
03/2010,9199.435039659646
04/2010,9345.88122283971
05/2010,8539.193774463292
06/2010,8085.611502319824
07/2010,8615.975503522011
08/2010,8216.322226403445
09/2010,8898.25858018795
10/2010,9231.722322908976
11/2010,9235.221009201168
12/2010,9834.022886303062
01/2011,10061.308494494244
02/2011,10406.013961305765
03/2011,10413.038318568482
04/2011,10712.440864688473
05/2011,10594.995357278458
06/2011,10426.593312355013
07/2011,10220.514158993052
08/2011,9671.950938610136
09/2011,8944.797747500963
10/2011,9886.200095654727
11/2011,9865.30520889159
12/2011,9965.419559650545
01/2012,10405.063900223113
02/2012,10843.50566181679
03/2012,11199.313689824487
04/2012,11125.670763069284
05/2012,10407.171602507287
06/2012,10822.306722907693
07/2012,10973.198552420925
08/2012,11209.289965904489
09/2012,11488.412704735705
10/2012,11272.891093918124
11/2012,11333.592279485096
12/2012,11430.250151097232
01/2013,12000.720264413398
02/2013,12166.421097639024
03/2013,12626.743882881594
04/2013,12859.556223200067
05/2013,13161.420185943289
06/2013,12981.52617602249
07/2013,13624.931030504002
08/2013,13224.423701539088
09/2013,13625.440372895791
10/2013,14246.26522488202
11/2013,14677.028111934549
12/2013,15042.552015464356
01/2014,14509.469237869582
02/2014,15155.601316867736
03/2014,15281.69743135626
04/2014,15393.071437406084
05/2014,15759.532671238767
06/2014,16083.176862005046
07/2014,15852.204304515102
08/2014,16492.865252709205
09/2014,16246.881969062892
10/2014,16641.618055650128
11/2014,17086.166173877034
12/2014,17036.94607278857
01/2015,16480.76847298986
02/2015,17427.6826226117
03/2015,17128.69991670549
04/2015,17289.36779023936
05/2015,17505.95389587673
06/2015,17164.271472702952
07/2015,17517.983426979696
08/2015,16464.751425070328
09/2015,16045.863064111923
10/2015,17406.519758680566
11/2015,17453.62839207393
12/2015,17168.073615577196
01/2016,16296.392760996188
02/2016,16260.615664865227
03/2016,17304.822703388505
04/2016,17353.981339046208
05/2016,17660.58164379268
06/2016,17683.8897472302
07/2016,18308.351288992195
08/2016,18311.2448059031
09/2016,18288.078976326073
10/2016,17920.83856363478
11/2016,18584.625003123627
12/2016,18917.319004055196
01/2017,19233.496757058812
02/2017,19991.397224686047
03/2017,19982.341451439304
04/2017,20156.506317903688
05/2017,20396.968878872172
06/2017,20484.482698060227
07/2017,20854.992544834873
08/2017,20878.771279722656
09/2017,21276.149876319294
10/2017,21744.639271428936
11/2017,22356.06087868091
12/2017,22548.248563059034
01/2018,23746.51748751096
02/2018,22810.088905494515
03/2018,22177.462814738872
04/2018,22218.001397880747
05/2018,22709.91786637773
06/2018,22791.418625617283
07/2018,23583.900013733433
08/2018,24298.404435628174
09/2018,24379.77778843954
10/2018,22606.085774375013
11/2018,23010.86970189116
12/2018,20877.005341997337
01/2019,22485.38845792915
02/2019,23159.952900754488
03/2019,23552.32017129504
04/2019,24446.05747317979
05/2019,22816.064213757374
06/2019,24331.69518426319
07/2019,24628.757521305284
08/2019,24165.523812640487
09/2019,24560.786048212292
10/2019,25016.71044211768
11/2019,25884.058253111554
12/2019,26583.99975870065
01/2020,26520.467512942978
02/2020,24263.604589544462
03/2020,21213.512395399346
04/2020,23907.65320189994
05/2020,25011.8681331354
06/2020,25483.683383136206
07/2020,26810.131332954887
08/2020,28691.790996014104
09/2020,27558.72128779035
10/2020,26801.47504364136
11/2020,29646.27589987949
12/2020,30725.420809144962
01/2021,30386.375004040525
02/2021,31201.93357378946
03/2021,32571.35631530835
04/2021,34239.78535036343
05/2021,34455.992346988096
06/2021,35257.38500606935
07/2021,36067.94190264576
08/2021,37142.08994945214
09/2021,35353.77264717447
10/2021,37808.24048553547
11/2021,37505.13963493395
12/2021,39117.11868251172
01/2022,37035.203820854
02/2022,35901.96447177155
03/2022,37195.47377817372
04/2022,33696.94656646849
05/2022,33726.74775952023
06/2022,30808.009771533092
07/2022,33643.97341803797
08/2022,32186.501954914693
09/2022,29073.296460760168
10/2022,31343.453287226264
11/2022,32970.96844580599
12/2022,31015.32243346458
01/2023,32859.70460611673
02/2023,31986.379044192177
03/2023,33069.39514342332
04/2023,33513.13116349892
05/2023,33610.10045818219
06/2023,35722.987080300154
07/2023,36792.08449078077
08/2023,36132.95468298011
09/2023,34302.2306113103
10/2023,33531.773400856124
11/2023,36449.70299468874
12/2023,38028.94041625569
01/2024,38619.61389059034
02/2024,40631.879768845334
03/2024,41885.97820416185
04/2024,40102.02939048049
