Data,IE00B53L4350
08/1998,38576.221815537014
09/1998,38305.591007192954
10/1998,40426.298596885965
11/1998,44237.48521493762
12/1998,44314.51572150751
01/1999,46655.172211693716
02/1999,48040.12628445368
03/1999,51872.863614764996
04/1999,57976.90087992206
05/1999,57625.09933980767
06/1999,60666.57653765915
07/1999,56917.31757667174
08/1999,58630.57612372646
09/1999,55536.83777456115
10/1999,58830.834401796936
11/1999,61845.31072548518
12/1999,65756.12464870048
01/2000,64208.60904741039
02/2000,60009.34393919137
03/2000,65860.44507586831
04/2000,68083.65350668193
05/2000,65287.00794119943
06/2000,63163.05138538381
07/2000,65788.18097112732
08/2000,72922.09770528231
09/2000,70434.93763538862
10/2000,75577.31712060592
11/2000,69624.3965470141
12/2000,67327.7589734452
01/2001,68086.39213948222
02/2001,66084.75156777423
03/2001,65173.83207361037
04/2001,70515.9724570587
05/2001,75190.80440420125
06/2001,72393.15035624118
07/2001,70313.88417135346
08/2001,63710.673230775225
09/2001,56849.53541290099
10/2001,58939.53359091548
11/2001,65183.123643137274
12/2001,66999.13159325471
01/2002,67727.41806540426
02/2002,69024.57081452709
03/2002,70508.50977151492
04/2002,65324.36944028918
05/2002,62715.42222443673
06/2002,55009.100571855706
07/2002,53065.71543499705
08/2002,52469.297892903145
09/2002,45900.82448058624
10/2002,50845.01083280572
11/2002,53664.24158268345
12/2002,47689.927213688636
01/2003,44687.37480248508
02/2003,44040.12810232364
03/2003,44195.258843901975
04/2003,45951.69033402336
05/2003,45294.164897199094
06/2003,47630.63014233355
07/2003,49480.597814097055
08/2003,52374.10688410546
09/2003,48433.226162980434
10/2003,51397.196451911266
11/2003,49829.369896866636
12/2003,50630.07569903748
01/2004,51859.20512840909
02/2004,52292.240849869384
03/2004,52043.77255921328
04/2004,52627.064163903815
05/2004,51458.073698389824
06/2004,52944.73665716772
07/2004,52003.98425787943
08/2004,51983.31596502809
09/2004,50315.71133755543
10/2004,48828.75357050591
11/2004,48773.34682693997
12/2004,49276.81159957805
01/2005,50142.79272907931
02/2005,50729.9556102001
03/2005,50665.871097126445
04/2005,49255.01956792804
05/2005,53278.04825590524
06/2005,53395.7703619495
07/2005,55362.156160242455
08/2005,54214.8362805523
09/2005,55415.83612944303
10/2005,54884.99342224785
11/2005,58251.01214303771
12/2005,57687.41730285613
01/2006,56988.047317157245
02/2006,58999.030453454354
03/2006,58563.27560683811
04/2006,57929.26462147324
05/2006,55597.135966111964
06/2006,56234.420976111076
07/2006,56234.14540468424
08/2006,57016.208335517316
09/2006,59443.97779404895
10/2006,61373.764537126364
11/2006,59925.95882490196
12/2006,61313.78772279852
01/2007,63194.600755790176
02/2007,60384.50701491392
03/2007,60384.455743104656
04/2007,62560.79656959474
05/2007,66176.06309247493
06/2007,64922.01759137589
07/2007,63084.23462502337
08/2007,63961.57536165169
09/2007,64374.491901293055
10/2007,63399.99173914961
11/2007,59779.712770179445
12/2007,59530.01042680689
01/2008,55505.530116215545
02/2008,53639.09426416497
03/2008,51495.64482069531
04/2008,54846.08141882866
05/2008,54336.95640855161
06/2008,48072.753950011094
07/2008,48739.57363161524
08/2008,52559.48565366618
09/2008,50974.572907322625
10/2008,49201.615131044324
11/2008,46909.43368105804
12/2008,42717.363173760605
01/2009,42364.9108623283
02/2009,38102.13354746603
03/2009,39064.51816228026
04/2009,42111.725131916064
05/2009,41432.88573059314
06/2009,41147.16193309164
07/2009,44724.11521890755
08/2009,46050.47000730109
09/2009,45963.794680881605
10/2009,45528.36895888695
11/2009,47946.23357293165
12/2009,50463.483299672254
01/2010,50309.87071394631
02/2010,53290.41246753134
03/2010,56486.81299804985
04/2010,58041.11200318396
05/2010,58031.799086390696
06/2010,56191.47012935841
07/2010,56737.84680792521
08/2010,55998.36331297229
09/2010,56096.61551542172
10/2010,57008.29279927407
11/2010,60387.61901968803
12/2010,61856.64031499646
01/2011,62070.871375627954
02/2011,63359.721806603215
03/2011,62238.338423721914
04/2011,61944.14191032828
05/2011,62996.126606372345
06/2011,61995.31644102397
07/2011,61527.336183327614
08/2011,58295.82785829415
09/2011,58680.00161861396
10/2011,62080.16931541021
11/2011,65527.34411965718
12/2011,69007.29388756276
01/2012,70153.94421975897
02/2012,70730.01552923728
03/2012,72703.92275060304
04/2012,73582.13004341297
05/2012,73810.80731262425
06/2012,75640.31253645892
07/2012,78397.77545819372
08/2012,77140.45201081935
09/2012,77284.35898989729
10/2012,75053.705349325
11/2012,74979.92508663549
12/2012,74357.4399770638
01/2013,76662.35867384254
02/2013,80492.36064460699
03/2013,85692.7666912216
04/2013,85546.99281228487
05/2013,87880.24309757732
06/2013,86265.97680962144
07/2013,88480.28823954062
08/2013,85078.39251139811
09/2013,85248.2558648543
10/2013,86804.67899686193
11/2013,90296.24806659455
12/2013,91935.31467657759
01/2014,88916.30902542388
02/2014,90754.89570762678
03/2014,91741.02367333365
04/2014,92097.85028094419
05/2014,94834.03070910925
06/2014,95158.13019711482
07/2014,95720.91702975635
08/2014,100572.52849591906
09/2014,105138.77767609061
10/2014,107885.26867604541
11/2014,111307.68929118845
12/2014,114544.43613237122
01/2015,118580.35597360398
02/2015,126403.50116714479
03/2015,129576.2987294882
04/2015,124829.5898877936
05/2015,129308.18487745563
06/2015,124126.67666300014
07/2015,127267.89709375951
08/2015,116707.65696418416
09/2015,115221.264672691
10/2015,127202.19923773463
11/2015,133368.12380399133
12/2015,127590.60136505886
01/2016,120318.22657204831
02/2016,121540.50080049998
03/2016,124589.03728199398
04/2016,125124.73221686523
05/2016,128514.94604309702
06/2016,130302.24300483195
07/2016,133958.12795543723
08/2016,134040.1442965545
09/2016,133105.26084672756
10/2016,134610.19682102342
11/2016,146656.17742399397
12/2016,153019.43310946145
01/2017,150862.63131373984
02/2017,160982.83355111894
03/2017,158573.66514166133
04/2017,157308.65822257247
05/2017,154277.8027849906
06/2017,154297.76663416318
07/2017,154130.94312344323
08/2017,153809.36825966524
09/2017,157347.9733263362
10/2017,166664.72117734456
11/2017,170586.78805902062
12/2017,171733.85255164094
01/2018,175009.36751386963
02/2018,171375.8194373998
03/2018,163740.1366962596
04/2018,167548.87769922632
05/2018,175384.19684935972
06/2018,175098.2030271042
07/2018,182295.37339109366
08/2018,188269.3234067487
09/2018,193166.57750886568
10/2018,187672.2640397402
11/2018,190880.36191599298
12/2018,173047.22696704185
01/2019,185005.25305682502
02/2019,193626.40267556114
03/2019,197035.23336144004
04/2019,202529.8487739231
05/2019,190821.0564709735
06/2019,200599.21136379326
07/2019,206946.91330425013
08/2019,206278.15671247008
09/2019,213299.06462324082
10/2019,209391.84109237356
11/2019,221347.2414677349
12/2019,220360.58345188425
01/2020,221943.27258607754
02/2020,201601.42538584548
03/2020,174426.4702331671
04/2020,195374.072381573
05/2020,199645.6050316949
06/2020,202091.31276258346
07/2020,195733.6962505688
08/2020,209552.7229043946
09/2020,208998.819464743
10/2020,199673.85018434533
11/2020,218594.26682107654
12/2020,220624.75069170078
01/2021,218664.2595950921
02/2021,226391.59112602498
03/2021,249837.96579713287
04/2021,249138.42309404386
05/2021,252091.60072698715
06/2021,258796.64880621462
07/2021,262034.02648828406
08/2021,267173.5046605827
09/2021,261520.27069152484
10/2021,275374.898448532
11/2021,272250.5118508123
12/2021,288167.5164648115
01/2022,282997.3223320454
02/2022,272548.1084501087
03/2022,281712.29293347785
04/2022,282320.6587657131
05/2022,278588.545634708
06/2022,268403.32578851475
07/2022,291941.22633423214
08/2022,286563.0791721994
09/2022,268134.7022193161
10/2022,300655.8632428109
11/2022,304547.4377093896
12/2022,284058.8304455543
01/2023,287790.0623897901
02/2023,281937.04230792064
03/2023,280956.3392150045
04/2023,285324.97339883767
05/2023,283917.5656193755
06/2023,292110.6853035205
07/2023,297787.4698795427
08/2023,295880.75912737346
09/2023,293081.411830842
10/2023,288626.87830563105
11/2023,305977.72167488985
12/2023,317517.9958235591
01/2024,327913.9200355926
02/2024,336365.83562361985
03/2024,344172.7682842272
04/2024,329992.0535257351
