Data,DE000A0H0744
03/2006,10000
04/2006,10384.188798317278
05/2006,9583.872273374105
06/2006,9496.178291562263
07/2006,9905.234662454011
08/2006,10189.244100025506
09/2006,10634.04741202544
10/2006,11438.738196840643
11/2006,11937.881668182323
12/2006,12535.181320751693
01/2007,12896.238955850658
02/2007,12886.833872615807
03/2007,13472.517739666211
04/2007,13960.862285550653
05/2007,14319.108536887285
06/2007,14402.921558172415
07/2007,14268.194581151782
08/2007,13601.16148306365
09/2007,14216.51189691392
10/2007,14820.560711900622
11/2007,13510.052052565352
12/2007,13161.19665697138
01/2008,12342.48656494213
02/2008,12343.58682769009
03/2008,11132.43189477756
04/2008,11855.219941923508
05/2008,11964.977407131157
06/2008,10305.930297506588
07/2008,10376.315350818668
08/2008,10097.174890157909
09/2008,9069.265592422598
10/2008,6890.348698319082
11/2008,6327.689273914559
12/2008,6181.676541994536
01/2009,6005.7907966146495
02/2009,5239.371367712929
03/2009,5763.142340418289
04/2009,6836.172838923359
05/2009,7605.691999830264
06/2009,8246.780385651162
07/2009,9211.910648256695
08/2009,9559.887136175212
09/2009,10154.714599243849
10/2009,9758.485885783732
11/2009,9827.053340824314
12/2009,10211.521960539401
01/2010,10078.208376885928
02/2010,10568.465675519976
03/2010,11258.480895869747
04/2010,11687.428135113381
05/2010,10980.679820788375
06/2010,11072.574161610555
07/2010,11489.834483769842
08/2010,11564.289888670204
09/2010,11755.075252934199
10/2010,11928.33021988102
11/2010,12573.925584364944
12/2010,12814.788260799194
01/2011,12450.816663183083
02/2011,12460.870898605079
03/2011,12369.836186255476
04/2011,12496.061817516478
05/2011,12906.113818083275
06/2011,12893.022002421229
07/2011,13233.176164520493
08/2011,12616.296083784202
09/2011,12277.814412091879
10/2011,13034.3897947946
11/2011,12959.522291990757
12/2011,13046.76481557227
01/2012,13551.965021969672
02/2012,14387.111288405082
03/2012,14362.615116663079
04/2012,14917.357794739592
05/2012,14314.377322929091
06/2012,14769.93435306359
07/2012,15996.173186384227
08/2012,15603.020998502538
09/2012,15707.161250932097
10/2012,16016.15660277169
11/2012,16275.636013359466
12/2012,15768.679775433771
01/2013,16081.89258643028
02/2013,17034.26812060039
03/2013,17876.000316827656
04/2013,18579.48248207492
05/2013,16670.772326072325
06/2013,16074.619048639359
07/2013,16185.54747345562
08/2013,15855.757935819582
09/2013,16425.280129101597
10/2013,16902.674041418126
11/2013,16285.020404980849
12/2013,16146.29743548558
01/2014,15720.396971088294
02/2014,16001.739563563486
03/2014,16425.37108005984
04/2014,17213.795608391854
05/2014,17844.135964007906
06/2014,17974.359018244824
07/2014,18473.343306149967
08/2014,18778.484585750077
09/2014,17776.52250090031
10/2014,18424.684367054902
11/2014,17604.830433930234
12/2014,17777.708866642017
01/2015,18890.88254213042
02/2015,19729.531268078288
03/2015,19901.185865568747
04/2015,19523.556077049074
05/2015,20025.403277812427
06/2015,18471.34974777502
07/2015,18157.481446692687
08/2015,15889.642282387258
09/2015,14924.217012988833
10/2015,16431.347862097096
11/2015,16946.656939031964
