Data,LU0259322260
12/2008,10000
01/2009,10771.48695079597
02/2009,10543.168541317771
03/2009,11225.57326029297
04/2009,10341.114838565576
05/2009,12988.707487155163
06/2009,11053.506834050022
07/2009,11717.551267349549
08/2009,11505.194293247228
09/2009,13144.277073642283
10/2009,12136.07213839229
11/2009,14525.799901622766
12/2009,13717.762024291716
01/2010,12304.19316409614
02/2010,13686.478187644474
03/2010,13875.776455350062
04/2010,16006.381615641669
05/2010,16945.19636038674
06/2010,17801.804223500905
07/2010,15609.059888172893
08/2010,17684.26237660055
09/2010,17174.302322798216
10/2010,17316.243910644986
11/2010,19444.815344425406
12/2010,19718.621235126764
01/2011,16980.702706808894
02/2011,18728.444099739583
03/2011,18541.72162303455
04/2011,18323.398513751195
05/2011,17654.797910259065
06/2011,16590.854701575074
07/2011,17518.94507371962
08/2011,19041.896752680655
09/2011,17930.409228533244
10/2011,18596.179137215127
11/2011,20057.851960330685
12/2011,17749.412725019894
01/2012,18913.364469410863
02/2012,18148.10814631366
03/2012,16338.623860304762
04/2012,15480.456707811096
05/2012,15511.322582285902
06/2012,15710.976014839847
07/2012,15400.924960698405
08/2012,16819.529709366758
09/2012,18417.588429169264
10/2012,18053.957225887552
11/2012,16079.601043791263
12/2012,15626.05292457722
01/2013,13485.451514124718
02/2013,12529.262147797037
03/2013,12979.329697974588
04/2013,10105.342162956305
05/2013,9844.861982780863
06/2013,8140.2909690049555
07/2013,8758.704013610359
08/2013,8969.279781143317
09/2013,7967.577438937521
10/2013,8132.862640557697
11/2013,7198.982333524683
12/2013,6728.821820722974
01/2014,7530.513098444771
02/2014,8083.954091059022
03/2014,7485.748690236942
04/2014,7675.01048580526
05/2014,7139.802704560533
06/2014,8298.048232200199
07/2014,8237.129193649085
08/2014,8781.318317182806
09/2014,7332.7794709894115
10/2014,5885.855705549277
11/2014,6157.636793691381
12/2014,6380.22357254694
01/2015,8430.965316850003
02/2015,8079.59633977504
03/2015,7025.388661022996
04/2015,7599.11290635089
05/2015,7208.07251293199
06/2015,6344.248716406463
07/2015,4828.565416250586
08/2015,4862.889905617681
09/2015,4592.024547845156
10/2015,5283.548982819597
11/2015,4968.702669481158
12/2015,4846.835604778343
01/2016,5249.036586657264
02/2016,7299.997436576549
03/2016,7442.560033844854
04/2016,9729.366619701685
05/2016,8574.367900548697
06/2016,10550.225170577802
07/2016,11718.596076459078
08/2016,9449.489090827803
09/2016,9840.724236283757
10/2016,9210.322658440062
11/2016,7951.2869535561695
12/2016,8213.407881478193
01/2017,9155.760942581785
02/2017,8781.412162373252
03/2017,8784.265089680528
04/2017,8358.99788423346
05/2017,8163.306103440202
06/2017,7743.081389595205
07/2017,7954.502899608382
08/2017,8546.064660446958
09/2017,7917.325165841593
10/2017,7604.158595505906
11/2017,7434.957984068073
12/2017,7625.242862405393
01/2018,7494.756247743602
02/2018,6686.496101629242
03/2018,6777.705146115372
04/2018,7031.301645920844
05/2018,7323.18111709344
06/2018,7125.769661746261
07/2018,6743.883425422761
08/2018,5848.222433467196
09/2018,5802.0322143498515
10/2018,6005.095142353441
11/2018,6077.341265874618
12/2018,6684.016956994641
01/2019,7065.470289666557
02/2019,7019.846452443076
03/2019,7209.561436417986
04/2019,6656.500473947915
05/2019,6713.7033129845
06/2019,8133.553650943157
07/2019,8521.821900140909
08/2019,9856.98364344428
09/2019,8900.224512092598
10/2019,9406.123942265987
11/2019,9324.396115468311
12/2019,10269.026623484982
01/2020,10117.706997980558
02/2020,9360.609606831928
03/2020,8102.481313666469
04/2020,11727.226564390829
05/2020,11709.415361187655
06/2020,12564.21167914906
07/2020,14121.737341676951
08/2020,14062.782042781946
09/2020,13334.504651179343
10/2020,12836.147344415358
11/2020,11307.723156870488
12/2020,11675.26086727111
01/2021,11167.713871905362
02/2021,9864.754465496932
03/2021,10841.772646681407
04/2021,10925.622379367993
05/2021,12563.515925502503
06/2021,10816.890326374498
07/2021,11077.35043472706
08/2021,10339.653178728013
09/2021,9578.15342531298
10/2021,10324.265668785118
11/2021,10822.4066914314
12/2021,11060.157034862272
01/2022,10714.857995316295
02/2022,12098.038027190503
03/2022,13620.575329710624
04/2022,12992.98144744179
05/2022,11525.829250003513
06/2022,10335.396720310895
07/2022,9881.321154365838
08/2022,9103.229731476422
09/2022,9743.96979530437
10/2022,9647.201983645806
11/2022,10816.394630960853
12/2022,10561.726731303737
01/2023,11606.309766027402
02/2023,10037.937878287543
03/2023,11587.750008721992
04/2023,11673.786553290274
05/2023,11110.963386722457
06/2023,10614.251038729932
07/2023,10822.817462014438
08/2023,10323.784077123968
09/2023,9662.532275138085
10/2023,10139.568047421344
11/2023,10948.335183731844
12/2023,10927.959500844623
01/2024,10010.893720079608
02/2024,9361.584695602163
03/2024,11384.889741627489
04/2024,12005.021361320863
