Data,IE00BDDRF478
09/2018,10000
10/2018,9630.27616180296
11/2018,9531.259562207011
12/2018,8762.169410707853
01/2019,9629.5840876237
02/2019,9768.552456719462
03/2019,10164.630692328292
04/2019,10834.043512354772
05/2019,10250.494307837958
06/2019,10471.38000618607
07/2019,11033.808715604406
08/2019,10977.050333766356
09/2019,11170.405474096702
10/2019,11223.438822266911
11/2019,11824.680510091193
12/2019,11784.194110829825
01/2020,12077.681190315325
02/2020,11387.85154617796
03/2020,10020.859855001478
04/2020,11478.880634577414
05/2020,11882.910269475562
06/2020,11757.48464732429
07/2020,11851.942485356152
08/2020,12812.778662233488
09/2020,12226.768911673205
10/2020,12309.866311634394
11/2020,13183.055855303313
12/2020,13281.923355084085
01/2021,13246.438119006152
02/2021,14083.380910630938
03/2021,15007.232183526707
04/2021,15696.117916736168
05/2021,15530.431831815886
06/2021,16381.368688166593
07/2021,16890.854432687047
08/2021,17783.00054795079
09/2021,17032.42339882122
10/2021,17313.360956636476
11/2021,16755.95785565897
12/2021,17246.179799146863
01/2022,16420.590797517187
02/2022,15211.070216123166
03/2022,15401.368068483938
04/2022,13754.639216837693
05/2022,13839.887559122024
06/2022,13071.083184254345
07/2022,13704.881835294746
08/2022,13472.484610454918
09/2022,12128.860851458969
10/2022,11969.54144034322
11/2022,12214.496690343132
12/2022,11065.689859224987
01/2023,12507.203657159527
02/2023,12264.906472825684
03/2023,13104.89838787372
04/2023,13457.538064912147
05/2023,14519.37152362544
06/2023,14771.49311228645
07/2023,15386.707823714276
08/2023,15515.297134857805
09/2023,15365.209320606811
10/2023,15199.594807812233
11/2023,15946.95003939138
12/2023,16434.308555342886
01/2024,17722.04354542737
02/2024,18530.74100540875
03/2024,19357.287705303737
04/2024,18926.939147430563
