Data,LU2008760592
10/2019,10000
11/2019,9989.462251061297
12/2019,9995.676987503595
01/2020,10014.516706592402
02/2020,9998.652982937967
03/2020,9685.746096814495
04/2020,9836.962238634529
05/2020,9870.04215219736
06/2020,9930.18243147813
07/2020,9989.024004940893
08/2020,9998.34401825399
09/2020,10004.166051572867
10/2020,10029.452527231417
11/2020,10059.521304941183
12/2020,10055.449617697717
01/2021,10054.871280756824
02/2021,10047.908051943332
03/2021,10055.709265642634
04/2021,10062.809495942818
05/2021,10059.93580824188
06/2021,10065.437272288442
07/2021,10087.782460631197
08/2021,10074.839252074848
09/2021,10066.683102413883
10/2021,10038.404195736697
11/2021,10032.846219925768
12/2021,10035.954707454719
01/2022,10008.490870566446
02/2022,9931.08506437802
03/2022,9889.740703092173
04/2022,9799.79951009295
05/2022,9765.575675894634
06/2022,9609.937539054943
07/2022,9778.087859377032
08/2022,9603.45171349286
09/2022,9457.912383366345
10/2022,9447.069226110718
11/2022,9530.333777354863
12/2022,9495.954453782317
01/2023,9568.48937290108
02/2023,9518.78280327698
03/2023,9575.195051564835
04/2023,9611.940731137036
05/2023,9623.259484542696
06/2023,9587.874629288777
07/2023,9669.513674177024
08/2023,9703.240213943925
09/2023,9700.809174352473
10/2023,9742.73509824351
11/2023,9836.31396420695
12/2023,9957.659924233258
01/2024,9981.85810592574
02/2024,9947.770249510466
03/2024,10010.576079075556
04/2024,10000.98000661238
