Data,GB00B00FHZ82
11/1986,22340.120020518018
12/1986,22097.3724548797
01/1987,21277.302814809544
02/1987,21176.83569174926
03/1987,21927.30707712654
04/1987,23295.122565984868
05/1987,22894.20219081678
06/1987,23108.911281583467
07/1987,24235.121755313517
08/1987,23937.67664786931
09/1987,23622.427758841513
10/1987,23921.27188798255
11/1987,23607.13310174577
12/1987,22605.849598693494
01/1988,21500.081107108963
02/1988,20578.120364317725
03/1988,21761.572698812866
04/1988,21249.899201447333
05/1988,21764.526196196384
06/1988,21628.47702419285
07/1988,22725.773386220702
08/1988,22747.86467721444
09/1988,20937.082503873084
10/1988,21221.64932420892
11/1988,20879.27886505654
12/1988,20279.44746265675
01/1989,20247.11149937099
02/1989,20128.085752660612
03/1989,20057.473717223318
04/1989,19865.287242174567
05/1989,19848.083217900527
06/1989,20825.342065986995
07/1989,19659.82549929613
08/1989,19497.132235973644
09/1989,20158.664006208666
10/1989,19859.298133724737
11/1989,21282.14964549218
12/1989,20042.209670398446
01/1990,20130.366052054334
02/1990,19505.858566352752
03/1990,17933.11283567243
04/1990,17661.911393468232
05/1990,17146.034855709204
06/1990,16740.636448927715
07/1990,17156.491971694453
08/1990,17076.739965565466
09/1990,18010.494757141616
10/1990,16239.646357028427
11/1990,16137.555092389894
12/1990,16583.987781037154
01/1991,15556.735465546588
02/1991,15154.953387338695
03/1991,16169.755172504723
04/1991,17126.92784931268
05/1991,17478.943597070655
06/1991,18525.03706108134
07/1991,18266.031789590445
08/1991,17097.41743062465
09/1991,16978.938435202595
10/1991,17072.702776853857
11/1991,16835.3516526734
12/1991,15721.076270288762
01/1992,15857.966787893876
02/1992,16157.048408205379
03/1992,16048.002376561892
04/1992,15648.927391943596
05/1992,15397.082300548303
06/1992,15212.785545810688
07/1992,15093.72755079912
08/1992,13974.191654044951
09/1992,14670.810086073485
10/1992,14849.275984848893
11/1992,15581.61940264804
12/1992,15505.778585327784
01/1993,15687.09771891308
02/1993,15934.055270646784
03/1993,16505.7410373581
04/1993,16717.434127391087
05/1993,17848.09384475226
06/1993,18411.669172868053
07/1993,20368.042986583572
08/1993,18974.098986235564
09/1993,17426.362387670295
10/1993,18324.41328046891
11/1993,18876.62657151863
12/1993,19866.68571507416
01/1994,19472.249041275612
02/1994,19578.210335399228
03/1994,19551.337126674247
04/1994,18959.15634603138
05/1994,19094.836771133534
06/1994,18809.908627312427
07/1994,18024.365625231796
08/1994,18121.301625475156
09/1994,18343.980786657103
10/1994,17486.01590954775
11/1994,17705.528582773437
12/1994,18033.44181079146
01/1995,17307.877685669286
02/1995,17181.14851993218
03/1995,17192.216051930107
04/1995,16760.76737238767
05/1995,16776.15052185006
06/1995,16749.63385776004
07/1995,16391.161520378657
08/1995,16837.92537786166
09/1995,17121.930472103824
10/1995,16790.609490499886
11/1995,17047.766395757728
12/1995,17262.9459973697
01/1996,18318.492520730015
02/1996,18195.045861502276
03/1996,17982.21649593164
04/1996,17898.475997645262
05/1996,18074.90691614324
06/1996,17536.078935975653
07/1996,17412.96227643971
08/1996,17300.796148670008
09/1996,17108.564184221537
10/1996,17178.723392835553
11/1996,16586.091207613492
12/1996,16867.755841473507
01/1997,16193.323888552248
02/1997,17534.17894124298
03/1997,17214.967709010285
04/1997,16905.159501935657
05/1997,17117.794329116252
06/1997,16750.94336563049
07/1997,16789.427119590877
08/1997,17209.8075746161
09/1997,17100.392849010237
10/1997,15737.773220630688
11/1997,14685.96712039383
12/1997,14691.109516487246
01/1998,15837.418114591865
02/1998,15411.059173477439
03/1998,15649.958435640854
04/1998,16039.675638693958
05/1998,14920.702837872457
06/1998,15162.29587832841
07/1998,14810.978417553284
08/1998,13956.664648738375
09/1998,14296.142280164097
10/1998,13690.63226753398
11/1998,14197.882143305185
12/1998,13755.51312956517
01/1999,14099.117439042375
02/1999,14646.987196610999
03/1999,14620.677025822837
04/1999,15195.062792066445
05/1999,14427.704658472228
06/1999,14188.415775627249
07/1999,13414.584003601713
08/1999,13521.16557996687
09/1999,15725.295391158772
10/1999,16044.348375480049
11/1999,16174.308002306709
12/1999,16189.651263845315
01/2000,16208.147775891495
02/2000,16928.059761576413
03/2000,16217.057025804128
04/2000,16942.299854882025
05/2000,16371.207939533113
06/2000,16863.11574395381
07/2000,16738.795326075113
08/2000,17382.299060383113
09/2000,17442.52806444418
10/2000,17550.53652307015
11/2000,17300.916200124524
12/2000,16353.51899548966
01/2001,15879.717637643502
