Data,IE00BG13YJ64
10/2003,27615.07672901705
11/2003,27763.870161054965
12/2003,27837.925775783882
01/2004,29619.088824638406
02/2004,30494.75705558401
03/2004,30319.030142999523
04/2004,30556.953073952885
05/2004,30687.003429032204
06/2004,31557.986635654044
07/2004,31113.61139035918
08/2004,31097.338883869485
09/2004,31933.50163392854
10/2004,32343.666289494377
11/2004,33695.76615469618
12/2004,34432.98836967083
01/2005,35576.97100223009
02/2005,37000.832068405085
03/2005,36366.32527520821
04/2005,35693.866408155875
05/2005,38196.359423340255
06/2005,40017.91378748986
07/2005,41325.027971752395
08/2005,42069.107474028926
09/2005,43723.43640782475
10/2005,41688.176797590546
11/2005,43244.05130134679
12/2005,44904.69293509178
01/2006,47656.06878090769
02/2006,49101.76896215476
03/2006,50603.04178750046
04/2006,51931.86780429547
05/2006,48750.14932288891
06/2006,49009.69920513631
07/2006,49356.74717438864
08/2006,50242.418048985775
09/2006,51321.084480530364
10/2006,55039.09734147785
11/2006,55168.33264793467
12/2006,57923.2825462778
01/2007,59499.977578035294
02/2007,58920.62795148432
03/2007,61608.20235945086
04/2007,63494.21976632913
05/2007,66799.30504698605
06/2007,66703.89832781543
07/2007,65048.69938426255
08/2007,63970.79642834646
09/2007,67095.75508550915
10/2007,70290.98443717296
11/2007,67231.97215044082
12/2007,66991.91761600948
01/2008,59652.38835076823
02/2008,59815.361449916694
03/2008,56403.70994553205
04/2008,59834.31981612722
05/2008,61434.67698037584
06/2008,58311.94505109271
07/2008,54419.02014506002
08/2008,54104.95035781249
09/2008,45105.956797598155
10/2008,42851.93300789398
11/2008,39236.50143876526
12/2008,37019.83758854812
01/2009,37165.83515823597
02/2009,34249.80748479232
03/2009,33968.78784995718
04/2009,36150.03138084077
05/2009,38013.39185176899
06/2009,37059.14129433208
07/2009,40671.560249676906
08/2009,41504.4782122854
09/2009,41903.38822548231
10/2009,41638.306659614966
11/2009,42062.09143315913
12/2009,44698.78881226179
01/2010,43333.91433774131
02/2010,43619.57151073933
03/2010,47724.52887933199
04/2010,47846.34143767326
05/2010,45816.66487471534
06/2010,46634.97261726087
07/2010,48284.4631707064
08/2010,47339.16162281546
09/2010,50476.55808229383
10/2010,51851.22008261893
11/2010,53543.857809347755
12/2010,56258.86606072298
01/2011,54504.33752519029
02/2011,55929.40882357626
03/2011,55195.58105464541
04/2011,58417.1993778038
05/2011,58460.33302938149
06/2011,58177.34443796861
07/2011,57596.29389336432
08/2011,51152.60916135146
09/2011,49724.2634694947
10/2011,52926.94968311494
11/2011,53955.25275921016
12/2011,56173.47555396936
01/2012,55786.33494290676
02/2012,57822.26128347524
03/2012,58751.625165499216
04/2012,59862.04101919354
05/2012,57964.676034870216
06/2012,60730.85620810658
07/2012,63929.09679131131
08/2012,63880.817675895625
09/2012,63707.01652570164
10/2012,64016.9582848254
11/2012,66427.10331846199
12/2012,66461.32721572324
01/2013,68374.04497031239
02/2013,70793.76454806657
03/2013,74553.54791359017
04/2013,75591.52970945285
05/2013,74716.17968360768
06/2013,72024.45675313716
07/2013,75392.94329383258
08/2013,73381.04667128855
09/2013,76770.14508338255
10/2013,79044.34148828112
11/2013,80649.79238161487
12/2013,82324.43747916404
01/2014,81555.4112535384
02/2014,86578.62579915891
03/2014,83825.26789665308
04/2014,84314.33603429844
05/2014,87775.94699904788
06/2014,88479.5245897889
07/2014,86499.97087501333
08/2014,88091.51782118443
09/2014,89803.18616552083
10/2014,87765.76014018965
11/2014,91264.70937928231
12/2014,90206.6270589568
01/2015,98770.30203689427
02/2015,103945.32148860925
03/2015,107343.195489375
04/2015,105787.60907019443
05/2015,108657.2498122618
06/2015,103700.49106435444
07/2015,110462.70063542273
08/2015,100921.51894360382
09/2015,97983.93776137436
10/2015,104580.21600718783
11/2015,107183.84645448072
12/2015,103623.47601119571
01/2016,98711.63965336568
02/2016,96975.05145252014
03/2016,98597.39706799689
04/2016,98401.57538854651
05/2016,101936.6856868312
06/2016,100882.92505516202
07/2016,104797.72154993346
08/2016,102893.94678192402
09/2016,105628.75004720376
10/2016,102398.37681816306
11/2016,102642.01101725163
12/2016,107344.17081074716
01/2017,108800.9263264823
02/2017,112318.64518283593
03/2017,114562.38113695815
04/2017,115468.13860523599
05/2017,117454.81344099728
06/2017,115079.06913027543
07/2017,115885.66231359329
08/2017,115910.31948316496
09/2017,120742.56087073513
10/2017,124592.19865572023
11/2017,120207.06354639037
12/2017,119389.26911538883
01/2018,123014.92965489512
02/2018,118542.24538981383
03/2018,116041.11860559415
04/2018,121810.82974143633
05/2018,123708.84780546952
06/2018,123206.18927875992
07/2018,125636.56869144372
08/2018,126001.05678354515
09/2018,127842.99327831283
10/2018,118496.67613767875
11/2018,113096.392093595
12/2018,107946.16510304966
01/2019,114779.18564132281
02/2019,118996.64097929711
03/2019,123986.13991167962
04/2019,125669.7853503714
05/2019,123344.5447183526
06/2019,129688.20906932805
07/2019,129629.09247737375
08/2019,130200.84631251493
09/2019,133446.79150514523
10/2019,134376.83217489216
11/2019,138767.1166091419
12/2019,140866.99125818966
01/2020,144110.6175618957
02/2020,134825.3190883781
03/2020,122440.14955794442
04/2020,131512.05601731563
05/2020,137321.60656657733
06/2020,141524.93626753334
07/2020,142770.39385470757
08/2020,145815.09178518289
09/2020,147149.46390835172
10/2020,141352.22646674217
11/2020,150946.0855399428
12/2020,156527.60204001746
01/2021,157653.68306902028
02/2021,157351.14555670807
03/2021,166951.32976557416
04/2021,171934.99931964275
05/2021,174642.52942067027
06/2021,174863.04206732544
07/2021,181055.05293220968
08/2021,184546.70467209755
09/2021,179209.69156062807
10/2021,187769.37568085993
11/2021,183021.84658228589
12/2021,193435.34519048355
01/2022,179806.96767940716
02/2022,173073.81084772956
03/2022,177439.98258456698
04/2022,172140.75040633898
05/2022,169395.8514175671
06/2022,161083.7390525591
07/2022,167293.27189786485
08/2022,162114.8336331769
09/2022,152945.948607659
10/2022,160684.97202367522
11/2022,167821.62446872832
12/2022,163853.66134213857
01/2023,169430.91482633632
02/2023,173846.43791855554
03/2023,173066.41318415134
04/2023,181459.0225399466
05/2023,173233.68838736656
06/2023,180010.19519152812
07/2023,181061.48485013103
08/2023,176873.16059384707
09/2023,174918.8248138045
10/2023,170354.36626828788
11/2023,182335.14133001908
12/2023,186259.14639129024
01/2024,192070.34935349412
02/2024,199926.01562273767
03/2024,212725.78008865766
04/2024,210346.46741805944
