Data,IE00BJ38QD84
05/2021,46075.27334432387
06/2021,48209.28739343613
07/2021,46429.10374424076
08/2021,47684.67209345964
09/2021,47285.9543095882
10/2021,49006.246394521804
11/2021,48117.44432704133
12/2021,49340.982682364214
01/2022,45257.9025985862
02/2022,45554.08732688414
03/2022,46516.82725447113
04/2022,44125.459547654384
05/2022,43467.46930359689
06/2022,41133.74720136531
07/2022,46259.86636526668
08/2022,46198.8986355104
09/2022,42839.706787718824
10/2022,46748.90196621711
11/2022,45699.010680912696
12/2022,41559.73433889172
01/2023,44896.88512304304
02/2023,45016.81726895357
03/2023,41845.59656440138
04/2023,40686.14327256041
05/2023,41424.58414249601
06/2023,44027.74347069396
07/2023,46043.75554565502
08/2023,44352.5836828024
09/2023,42809.95018318075
10/2023,39785.74371330544
11/2023,42138.41319256892
12/2023,46767.25714160794
01/2024,45820.074885230024
02/2024,48448.55408068333
03/2024,50240.47559934735
04/2024,47097.11449427405
