Data,IE00BL977C92
06/2016,10075.162034904459
07/2016,10414.453430492655
08/2016,11159.496882216703
09/2016,11410.330417733707
10/2016,11405.42792000659
11/2016,11594.765704429412
12/2016,11215.66632473732
01/2017,11734.855070099167
02/2017,12327.322711073397
03/2017,12475.81146572727
04/2017,12524.288374909755
05/2017,12840.298345393508
06/2017,12920.313579097017
07/2017,13693.635082774385
08/2017,14152.048946551062
09/2017,14319.131049637896
10/2017,15098.4177093778
11/2017,15055.702806231517
12/2017,15154.715455143587
01/2018,16407.25085627544
02/2018,15656.572745376614
03/2018,15004.51427451986
04/2018,15296.885187030672
05/2018,16083.184988907396
06/2018,15296.740050540717
07/2018,14821.095745888937
08/2018,14358.972181273608
09/2018,14247.05000522546
10/2018,12895.970644689463
11/2018,13786.88511609355
12/2018,12844.975116125519
01/2019,14214.084127369824
02/2019,14792.690036097581
03/2019,15392.326836664082
04/2019,15754.280975502028
05/2019,13774.907229221279
06/2019,14585.46806524635
07/2019,14805.31687492663
08/2019,14329.70160142869
09/2019,14516.638461527818
10/2019,14739.007743635077
11/2019,15231.901652496426
12/2019,16125.937899983619
01/2020,15598.840307496741
02/2020,15852.89244596547
03/2020,14830.7752140178
04/2020,15878.516665629902
05/2020,15429.416051218961
06/2020,16724.26872535349
07/2020,17302.74890954736
08/2020,18139.236049159274
09/2020,17988.333517739517
10/2020,18950.23889796846
11/2020,19011.15474370858
12/2020,19067.65731086016
01/2021,20693.01768600012
02/2021,20497.298074562023
03/2021,19851.081989554932
04/2021,19526.371739267794
05/2021,19480.671381255735
06/2021,20019.92060224894
07/2021,17238.134532813416
08/2021,17316.443704933114
09/2021,16804.592133444414
10/2021,17231.190162237603
11/2021,16598.846096317033
12/2021,16122.627964875055
01/2022,15880.166245680477
02/2022,15196.979420071892
03/2022,14100.315784382516
04/2022,14239.837023909204
05/2022,14172.074021836508
06/2022,15581.452438206208
07/2022,14366.519591077446
08/2022,14679.480768670566
09/2022,12863.885333262882
10/2022,10518.088216585675
11/2022,13032.581691300991
12/2022,13333.831060871822
01/2023,14670.410115700031
02/2023,13408.477528819107
03/2023,13679.746031648516
04/2023,12844.694266132967
05/2023,12087.29499767411
06/2023,12357.477212466165
07/2023,13500.238802599584
08/2023,12462.329774129952
09/2023,12430.132716488928
10/2023,11868.316776409016
11/2023,11816.533970044344
12/2023,11403.774436257736
01/2024,10390.322473184728
02/2024,11270.47775030376
03/2024,11389.198000448541
04/2024,12242.517917187452
