Data,DE0002635281
12/1998,10000
01/1999,10098.516666666668
02/1999,10266.964124758897
03/1999,10879.498097260195
04/1999,11789.999027402358
05/1999,11594.843936374858
06/1999,11671.248923236064
07/1999,11696.690813554915
08/1999,11963.990559889553
09/1999,11870.482823512913
10/1999,11772.533035368244
11/1999,12353.60493857078
12/1999,14458.925976071932
01/2000,13451.216372703811
02/2000,13786.825155626495
03/2000,14372.47478187216
04/2000,14578.466331562598
05/2000,14664.436850576594
06/2000,14815.382064338835
07/2000,15149.412761245387
08/2000,16061.685138090794
09/2000,16311.649378955513
10/2000,16582.47279918111
11/2000,17046.081062147063
12/2000,17441.945331887502
01/2001,17852.51565116147
02/2001,17863.504927740105
03/2001,17039.692124121157
04/2001,18022.01458103103
05/2001,18220.315323081177
06/2001,17628.038826836677
07/2001,17119.53460991232
08/2001,17023.040083233936
09/2001,14682.526021684313
10/2001,15622.934811848962
11/2001,16403.460861380066
12/2001,16732.33729694224
01/2002,17392.58778851058
02/2002,17506.275501243257
03/2002,18543.517367918055
04/2002,18580.21311019592
05/2002,18775.861435742478
06/2002,17480.949234260133
07/2002,15790.10290918358
08/2002,16005.990155687154
09/2002,13854.664431324563
10/2002,14962.764042776806
11/2002,15684.98353107285
12/2002,14578.190782094438
01/2003,14506.368366893943
02/2003,14013.709861956058
03/2003,13711.450900696082
04/2003,14992.456683171535
05/2003,15459.160810348114
06/2003,16011.451543101924
07/2003,16445.209668050902
08/2003,16982.177099636283
09/2003,16619.172700570263
10/2003,17444.665311529534
11/2003,17918.892457708287
12/2003,18579.1409320495
01/2004,19529.359997776985
02/2004,20047.09313299946
03/2004,20021.73679186851
04/2004,20260.895234070016
05/2004,20295.601949476102
06/2004,20891.283171906933
07/2004,20806.930266392214
08/2004,21352.334343379727
09/2004,21785.129408879668
10/2004,22465.687620753706
11/2004,22913.29771315812
12/2004,23772.633368533538
01/2005,24636.342322329732
02/2005,25363.277190829238
03/2005,25268.115304950974
04/2005,24477.256650822783
05/2005,26015.24657939629
06/2005,27311.058154389062
07/2005,28425.743907668108
08/2005,28217.197842505626
09/2005,29615.31577370367
10/2005,28505.969173764457
11/2005,29472.306912945875
12/2005,30811.459381871304
01/2006,32874.53676397523
02/2006,34949.986139322355
03/2006,35423.85740405422
04/2006,35590.95504270858
05/2006,34637.38037570932
06/2006,34647.59260793052
07/2006,35587.12129344718
08/2006,36651.52611088698
09/2006,38087.65252860918
10/2006,40154.307674224794
11/2006,40066.60857283463
12/2006,42241.61357523775
01/2007,43185.175511969435
02/2007,43918.498819531036
03/2007,44235.260337156105
04/2007,46436.82556286139
05/2007,48274.43332672988
06/2007,46950.90509207618
07/2007,43870.61361750735
08/2007,44575.821555274
09/2007,44189.668660898584
10/2007,44508.201496981645
11/2007,43085.36078946345
12/2007,42639.26455024996
01/2008,38316.48908722901
02/2008,37548.97684196758
03/2008,36037.96321670613
04/2008,37617.23987710925
05/2008,37464.08615598922
06/2008,31312.939216676983
07/2008,29795.743582184907
08/2008,30766.495204039158
09/2008,26261.93396120419
10/2008,20438.74554172688
11/2008,18949.67647842502
12/2008,18908.4120115585
01/2009,17322.024942112017
02/2009,15322.788099111483
03/2009,15534.246460714408
04/2009,18624.74036297235
05/2009,19345.589590880918
06/2009,19161.836451008272
07/2009,21296.068870149058
08/2009,23670.831264233948
09/2009,24559.29712744303
10/2009,23188.149538897385
11/2009,23796.09464148344
12/2009,25014.220659805993
01/2010,24459.668494362362
02/2010,24083.800030259416
03/2010,25857.69542216061
04/2010,25452.67431131873
05/2010,23611.834742380786
06/2010,23526.95939469446
07/2010,25123.68514230262
08/2010,24432.981505676766
09/2010,25311.54094028609
10/2010,26192.738914256508
11/2010,24996.19007959786
12/2010,26125.214411394092
01/2011,27156.52689624878
02/2011,27327.939272423806
03/2011,26816.365531005646
04/2011,27687.146064388595
05/2011,26907.341547633143
06/2011,26472.975125436144
07/2011,25111.67858409237
08/2011,22350.072067259236
09/2011,21572.584833879147
10/2011,22904.963639601363
11/2011,22770.156904883537
12/2011,22825.09932199297
01/2012,23209.994560434723
02/2012,23680.6472968557
03/2012,23542.41161747696
04/2012,22265.406670718578
05/2012,20716.34625183091
06/2012,22338.68414952842
07/2012,22613.273879977736
08/2012,23591.080716129753
09/2012,23543.66761795669
10/2012,23340.917048898187
11/2012,23244.7231770543
12/2012,23886.467245026713
01/2013,24149.214339303708
02/2013,23833.14830511366
03/2013,24078.444997543815
04/2013,24920.843075622866
05/2013,25175.394495424844
06/2013,23874.320789101046
07/2013,25278.835991268756
08/2013,24989.817271571814
09/2013,26742.74211143382
10/2013,28186.453860610807
11/2013,28546.084967559964
12/2013,28338.254127887256
01/2014,28302.195113351077
02/2014,29782.493569111626
03/2014,30404.338006606547
04/2014,31511.277160245187
05/2014,32432.901408328496
06/2014,32459.804669335594
07/2014,31274.17049335259
08/2014,31642.263911645798
09/2014,31502.696305480073
10/2014,30887.29534954059
11/2014,32137.32836439239
12/2014,31580.53193684162
01/2015,33576.26449908581
02/2015,35527.22110017552
03/2015,35757.69283706655
04/2015,35404.62414715885
05/2015,34811.925476225726
06/2015,33561.89010412836
07/2015,35378.12307333911
08/2015,32854.25208105684
09/2015,32023.553543711536
10/2015,34655.04172697509
11/2015,35551.52811505901
12/2015,33932.76360038048
01/2016,33222.66554909488
02/2016,32163.643075060834
03/2016,33192.0266282746
04/2016,33495.77572911395
05/2016,34361.48106046544
06/2016,32304.766743967713
07/2016,33747.960104472186
08/2016,34051.338857976734
09/2016,34268.103630540245
10/2016,35341.04292932194
11/2016,35305.60154417512
12/2016,37832.813756505035
01/2017,37318.73393990281
02/2017,37806.836531571076
03/2017,39693.45806118415
04/2017,40190.62318273776
05/2017,40881.92224316067
06/2017,39459.56761018634
07/2017,40017.41605455892
08/2017,39995.085707438724
09/2017,41635.044784421785
10/2017,42425.96489781971
11/2017,41821.401793986755
12/2017,41047.540048134346
01/2018,42025.28353211959
02/2018,40791.08988203991
03/2018,39522.664708283824
04/2018,42094.55939478068
05/2018,40150.56724104956
06/2018,39671.621657646116
07/2018,41380.65849124084
08/2018,39613.64111942943
09/2018,39901.650316344596
10/2018,38368.71405091957
11/2018,38425.11645485461
12/2018,36254.08866874735
01/2019,37948.048190146306
02/2019,39339.818936520984
03/2019,39813.77030291491
04/2019,41709.5738766297
05/2019,38780.638012227886
06/2019,40065.49845183946
07/2019,39718.62583401416
08/2019,39081.949129309745
09/2019,41431.71926069097
10/2019,42297.367173945335
11/2019,43309.88853322784
12/2019,43679.13858774349
01/2020,41969.160720928056
02/2020,37665.96811459574
03/2020,27855.02631287929
04/2020,28251.89288730379
05/2020,29024.802829851156
06/2020,30391.825913680957
07/2020,29961.221399258728
08/2020,30951.808375097433
09/2020,30380.149417013035
10/2020,29199.08348935185
11/2020,34784.32595909389
12/2020,35422.782353563576
01/2021,35260.313997419595
02/2021,37105.2019744449
03/2021,40780.288488225
04/2021,40507.3181034252
05/2021,41780.40914225951
06/2021,41426.78467059826
07/2021,42005.01230060684
08/2021,42880.17348584797
09/2021,42032.63220938018
10/2021,42625.25616725639
11/2021,41628.73322037138
12/2021,43601.15158152576
01/2022,43816.23018172619
02/2022,40590.1873829242
03/2022,39695.67097180285
04/2022,39232.25615354162
05/2022,39502.28309975314
06/2022,35340.77307383649
07/2022,36844.120996170706
08/2022,35792.47542364753
09/2022,34038.787126333016
10/2022,36706.81022212661
11/2022,38054.32049221555
12/2022,37307.32479122547
01/2023,39804.242047570704
