Data,JE00B78NNS84
08/2015,6127.208120646708
09/2015,5915.3147435757355
10/2015,5886.48569775332
11/2015,5456.958406564719
12/2015,5286.361183938443
01/2016,5195.378628718433
02/2016,5108.809331942903
03/2016,5301.906976908913
04/2016,5750.98944552225
05/2016,5737.972622672186
06/2016,5972.573428005825
07/2016,5664.993388969001
08/2016,5562.786101357232
09/2016,5734.590926124228
10/2016,5704.301654838226
11/2016,5778.131742951248
12/2016,5879.825916944815
01/2017,5885.400336847914
02/2017,5895.287447347764
03/2017,5736.159524874972
04/2017,5647.192389285357
05/2017,5569.909041984272
06/2017,5557.022785265207
07/2017,5680.386669036594
08/2017,5700.9305436282275
09/2017,5689.990986097895
10/2017,5809.8371689381665
11/2017,5780.657822994174
12/2017,5950.982713549287
01/2018,6066.606786995106
02/2018,5959.344848228956
03/2018,5919.905093848527
04/2018,6070.406570661747
05/2018,6153.765951968069
06/2018,5936.084214738848
07/2018,5806.988663867341
08/2018,5702.069440121699
09/2018,5808.8384930587135
10/2018,5681.268965320845
11/2018,5646.674790100428
12/2018,5255.590254609024
01/2019,5539.717920989458
02/2019,5593.372746750526
03/2019,5581.225091032248
04/2019,5555.28290585244
05/2019,5366.4148126502605
06/2019,5508.054739913524
07/2019,5469.041485805116
08/2019,5339.82730904347
09/2019,5400.290882754528
10/2019,5507.258715893216
11/2019,5364.092260278121
12/2019,5632.1538990772015
01/2020,5215.628830673102
02/2020,4950.6720085053985
03/2020,4314.603276034025
04/2020,4246.457936795378
05/2020,4428.755666757215
06/2020,4528.239441806594
07/2020,4784.745676026423
08/2020,5106.345843117766
09/2020,4933.24418397099
10/2020,5000.716683162756
11/2020,5174.441681282792
12/2020,5429.5188111327925
01/2021,5570.020910188382
02/2021,5927.985250357832
03/2021,5798.259651004104
04/2021,6276.585197629233
05/2021,6445.470991330488
06/2021,6562.187620131714
07/2021,6680.109021551509
08/2021,6657.559992617214
09/2021,6986.1441767844435
10/2021,7163.813700543454
11/2021,6637.063200818282
12/2021,6868.251232169418
01/2022,7468.607569329648
02/2022,7930.725069415403
03/2022,8613.142021856103
04/2022,8966.252019290063
05/2022,9099.5518210993
06/2022,8115.162437251779
07/2022,8458.00078131727
08/2022,8461.984834922412
09/2022,7772.274126612556
10/2022,7923.867411496511
11/2022,8137.6709983801775
12/2022,7935.151773677017
01/2023,7892.863501599065
02/2023,7518.997286466313
03/2023,7500.4498702826295
04/2023,7440.983133158608
05/2023,7018.471228102743
06/2023,7298.997785164447
07/2023,7752.808304755366
08/2023,7690.112024895585
09/2023,7633.577274933163
10/2023,7650.716122056083
11/2023,7475.326427826004
12/2023,7271.167193644584
01/2024,7297.099120653608
02/2024,7186.908320379052
03/2024,7421.729774251311
04/2024,7618.5150362079485
