Data,FR0010655712
01/1975,10000
02/1975,10932.559703720286
03/1975,11178.13160407827
04/1975,11540.290700136697
05/1975,10744.936556332994
06/1975,10857.291809373904
07/1975,11901.967018842475
08/1975,11254.922114452469
09/1975,11000.239961293519
10/1975,11952.908603930047
11/1975,12561.113309250757
12/1975,12599.215166533499
01/1976,12793.668366522175
02/1976,12699.332070516166
03/1976,13053.431049156883
04/1976,12237.202674334681
05/1976,12127.283543308087
06/1976,12125.378560923502
07/1976,11939.024254115746
08/1976,11853.301497354505
09/1976,11870.420262818978
10/1976,10893.54737597652
11/1976,11386.348083542585
12/1976,11374.67214155538
01/1977,11446.126000154612
02/1977,11086.09816104058
03/1977,11388.361308473572
04/1977,12329.740197368408
05/1977,12059.528805226748
06/1977,11722.798570932518
07/1977,11843.994647050922
08/1977,12079.737907635545
09/1977,12086.326181971128
10/1977,12375.156802599666
11/1977,12447.137290086685
12/1977,12263.474144313606
01/1978,12264.014869152317
02/1978,12341.790073075317
03/1978,12269.559814005568
04/1978,11875.063336097615
05/1978,12173.561363006134
06/1978,12339.460854530962
07/1978,12988.18320820797
08/1978,13008.74262569785
09/1978,13346.089778560596
10/1978,13062.119380182678
11/1978,12977.162070935341
12/1978,12826.869149193675
01/1979,12937.755182367087
02/1979,12574.303039319111
03/1979,12374.133805109861
04/1979,12367.30563133009
05/1979,11726.87508831345
06/1979,11424.951524813945
07/1979,11856.87927892551
08/1979,11989.400063070472
09/1979,11936.91846787655
10/1979,11282.752660928785
11/1979,11333.954551907269
12/1979,11090.368778132546
01/1980,11227.798485216586
02/1980,11616.271401853899
03/1980,10584.612120197844
04/1980,11048.578988504609
05/1980,11169.262130380617
06/1980,11479.887719353152
07/1980,11682.682200955216
08/1980,11389.354298092794
09/1980,11326.287506627095
10/1980,10902.132851510793
11/1980,11025.438534031317
12/1980,10703.770813896295
01/1981,10424.668038738913
02/1981,10533.071166601332
03/1981,10764.293493631192
04/1981,11355.948841703981
05/1981,11077.773094801141
06/1981,11871.313580918179
07/1981,12071.649894898324
08/1981,11862.661601721582
09/1981,11014.912017643077
10/1981,11036.901531285986
11/1981,11319.965735803464
12/1981,10903.643459512903
01/1982,11163.10241755559
02/1982,11459.425055501015
03/1982,11685.226530685466
04/1982,11518.200595650016
05/1982,11384.099059826654
06/1982,11136.225606875143
07/1982,11299.751927509564
08/1982,11175.479655758125
09/1982,11707.158460922554
10/1982,11365.357291639606
11/1982,11518.812682884944
12/1982,12278.472507325076
01/1983,12195.038242706125
02/1983,13380.523066048743
03/1983,14688.410859919923
04/1983,15699.177516750133
05/1983,15002.607907429992
06/1983,15979.211778266546
07/1983,16376.84982611436
08/1983,15502.35206030926
09/1983,15965.225071887333
10/1983,16729.671417061825
11/1983,16721.84082539644
12/1983,17174.734223111627
01/1984,17911.819895505396
02/1984,16999.237065200145
03/1984,17177.98126841993
04/1984,17215.5961828655
05/1984,16406.45604502695
06/1984,16930.35096672373
07/1984,15911.770509040265
08/1984,16655.620423582655
09/1984,17717.581283813222
10/1984,17788.393419581356
11/1984,17983.58181222468
12/1984,18198.691403778335
01/1985,18579.367095983063
02/1985,18959.758199826243
03/1985,19036.86505110322
04/1985,19350.443118953328
05/1985,21065.693467470617
06/1985,22567.93392791772
07/1985,21846.35401199877
08/1985,23964.228707016715
09/1985,25312.999959782006
10/1985,28703.38414469486
11/1985,27726.558168492287
12/1985,30258.79791053918
01/1986,30718.93875262452
02/1986,30056.877867743427
03/1986,32806.64547691388
04/1986,33372.7464016547
05/1986,30561.44897859562
06/1986,30049.275357213126
07/1986,28522.668994243148
08/1986,33144.21384417736
09/1986,31160.988217157017
10/1986,31563.611347299833
