Data,IE00B3CNHJ55
03/2023,40726.190332136845
04/2023,39592.662654068794
05/2023,40306.30810740324
06/2023,42834.155642778394
07/2023,44790.15955771608
08/2023,43139.43308958479
09/2023,41633.60192356202
10/2023,38687.29156078937
11/2023,40970.16983024062
12/2023,45465.562658656534
01/2024,44539.0605644069
02/2024,47088.48669443569
03/2024,48824.2186073482
04/2024,45763.36444709455
