Data,IE00B52SFT06
01/2014,443231.4235873184
02/2014,453972.06572639896
03/2014,457793.8037545554
04/2014,458357.1775142402
05/2014,477550.93837441574
06/2014,485829.60859924846
07/2014,488850.14737343026
08/2014,515700.3984337588
09/2014,531910.148231985
10/2014,547166.6409721634
11/2014,563371.5378811748
12/2014,577319.0626355316
01/2015,602350.2551149464
02/2015,641110.4846412124
03/2015,659927.6818591808
04/2015,638702.773433729
05/2015,661493.2195175793
06/2015,636080.5660548017
07/2015,661750.5237584792
08/2015,607678.4416815181
09/2015,592051.8555250099
10/2015,651561.8552651159
11/2015,680725.9834555547
12/2015,650166.73988555
01/2016,613570.1828095546
02/2016,613907.4376764575
03/2016,627148.6917429117
04/2016,629080.2229997836
05/2016,654715.0797830332
06/2016,659303.2781982807
07/2016,683465.6033159657
08/2016,683143.4229935886
09/2016,681917.4499883293
10/2016,681946.9806542398
11/2016,727049.8408005262
12/2016,747020.1807359834
01/2017,747116.9070405944
02/2017,787863.6058205513
03/2017,781821.8433360783
04/2017,772777.7050002816
05/2017,762790.1570398338
06/2017,754512.9439863764
07/2017,748997.1737587289
08/2017,745019.3337829709
09/2017,761231.2239058614
10/2017,789693.6279319692
11/2017,799024.6551388295
12/2017,797768.5884851792
01/2018,811914.4146823706
02/2018,797458.2939473705
03/2018,771023.4252447323
04/2018,789417.5228767502
05/2018,834716.3555186385
06/2018,843110.8181275434
07/2018,867341.1233174931
08/2018,902361.2834115016
09/2018,912112.4418493604
10/2018,867886.148843024
11/2018,881362.7383939954
12/2018,795354.3004662348
01/2019,857696.8610276447
02/2019,891764.8039537694
03/2019,922639.4003290266
04/2019,960837.1082369566
05/2019,905231.837963509
06/2019,949067.6528031876
07/2019,983259.8664667314
08/2019,975957.8036410997
09/2019,1006459.4749128727
10/2019,1003661.1448230012
11/2019,1057426.7963495767
12/2019,1063722.9054972944
01/2020,1083064.0181046422
02/2020,1001244.2386935139
03/2020,875651.1765830793
04/2020,997881.0067084001
05/2020,1025003.4291861878
06/2020,1042306.0122662695
07/2020,1043315.6579277935
08/2020,1112719.127985392
09/2020,1092128.1322838392
10/2020,1064320.2215724858
11/2020,1159213.5083515672
12/2020,1178077.6260830597
01/2021,1179809.075566365
02/2021,1211794.5341023642
03/2021,1299516.2424107853
04/2021,1329397.271300936
05/2021,1322394.69867955
06/2021,1395104.9640434622
