Data,LU0484968812
02/2017,10000
03/2017,9967.457105884145
04/2017,10020.166707702763
05/2017,10061.447024476465
06/2017,10006.842147097608
07/2017,10087.674627843582
08/2017,10139.578773095354
09/2017,10114.648182348286
10/2017,10223.572042774134
11/2017,10207.76130825364
12/2017,10180.550140500232
01/2018,10152.585859941064
02/2018,10148.191802741301
03/2018,10134.678816181768
04/2018,10137.12698537759
05/2018,10105.383742047236
06/2018,10098.718534198848
07/2018,10127.755546582928
08/2018,10125.645692446566
09/2018,10096.957729878455
10/2018,10081.944358068908
11/2018,10024.420589596986
12/2018,10043.579180854367
01/2019,10146.979244018517
02/2019,10210.131080167295
03/2019,10343.073623618619
04/2019,10412.251713349546
05/2019,10398.726153364898
06/2019,10553.586015960436
07/2019,10690.96201580625
08/2019,10763.08952360149
09/2019,10680.529439431608
10/2019,10656.363095918756
11/2019,10630.687064415462
12/2019,10621.690907695955
01/2020,10733.182718572245
02/2020,10690.837335096196
03/2020,9993.20444177965
04/2020,10341.81974832672
05/2020,10360.889695358306
06/2020,10499.60213271637
07/2020,10648.1207854825
08/2020,10667.89885915098
09/2020,10693.727189937883
10/2020,10766.474002056106
11/2020,10867.95830520242
12/2020,10882.399178259877
01/2021,10866.57349868366
02/2021,10785.696135105314
03/2021,10804.67976708729
04/2021,10803.995402638684
05/2021,10788.944013448041
06/2021,10829.844721269359
07/2021,10948.597957572927
08/2021,10904.054258865963
09/2021,10834.582303228024
10/2021,10750.77129031174
11/2021,10771.248906737846
12/2021,10757.725492180209
01/2022,10618.817035284777
02/2022,10359.10564350648
03/2022,10237.65606688113
04/2022,9962.209686659437
05/2022,9838.580848745762
06/2022,9505.894402965208
07/2022,9952.939874186111
08/2022,9523.732240157986
09/2022,9208.576130321951
10/2022,9215.64705337078
11/2022,9461.08414199964
12/2022,9295.4001240187
01/2023,9499.283959283664
02/2023,9353.997445540817
03/2023,9441.713871139236
04/2023,9509.053455978268
05/2023,9523.61390515303
06/2023,9477.126329871573
07/2023,9575.328458081502
08/2023,9590.627184403633
09/2023,9507.235610052996
10/2023,9545.889028181406
11/2023,9761.516916754077
12/2023,10023.775584888383
01/2024,10034.485983704828
02/2024,9940.54982461668
03/2024,10061.919376432623
04/2024,9974.777891235592
