Data,IE00B60SWX25
04/1994,19090.040880265853
05/1994,18344.464051545554
06/1994,17435.556687640834
07/1994,18728.793654366924
08/1994,19066.78916011295
09/1994,17812.884938108116
10/1994,18210.340643579784
11/1994,18161.032200180925
12/1994,18136.744741347873
01/1995,17822.671614078783
02/1995,18072.94382580274
03/1995,17900.437824233766
04/1995,18590.018205485907
05/1995,19250.692013553875
06/1995,19161.98097909088
07/1995,20259.007614367812
08/1995,20244.544903668477
09/1995,20107.52120537107
10/1995,19946.245115589885
11/1995,20636.408500012883
12/1995,21383.951438846525
01/1996,22888.965540518006
02/1996,22695.29418017049
03/1996,22941.516803711274
04/1996,23845.03321464591
05/1996,24121.880248154845
06/1996,24133.250632314775
07/1996,23119.850656011473
08/1996,23298.811234646168
09/1996,24714.527953237117
10/1996,24817.558570089874
11/1996,26543.409862427074
12/1996,27029.777072797435
01/1997,29317.577838699235
02/1997,30389.4544937734
03/1997,31291.019258701373
04/1997,31714.887370530163
05/1997,32840.71375870803
06/1997,35680.35614750201
07/1997,39853.51578718456
08/1997,35890.10273292039
09/1997,38554.38928809674
10/1997,34822.76216197722
11/1997,36210.97663279068
12/1997,37846.28144888281
01/1998,40021.10003729443
02/1998,43062.68019739815
03/1998,47213.64348708558
04/1998,47878.73820457306
05/1998,50659.12424219793
06/1998,51819.17800921351
07/1998,52991.74631129719
08/1998,45379.958611460745
09/1998,40748.06271352436
10/1998,44050.28524053753
11/1998,48533.811136345525
12/1998,51028.32765652685
01/1999,54172.2743252623
02/1999,53229.96485878973
03/1999,54409.745215972645
04/1999,57455.65871906813
05/1999,55843.1622508859
06/1999,58402.999376898195
07/1999,56153.35569286148
08/1999,58244.29314483889
09/1999,56707.52524570615
10/1999,60620.54230041815
11/1999,66687.54531162366
12/1999,75811.0146626036
01/2000,72425.1243002437
02/2000,80136.62673564599
03/2000,81196.12669714395
04/2000,82127.6920946784
05/2000,80849.80822805635
06/2000,80135.62172158163
07/2000,79862.04748261267
08/2000,80744.72842851332
09/2000,76688.17174921735
10/2000,78918.82709177825
11/2000,74759.94703268122
12/2000,74482.33202868824
01/2001,74621.47366457692
02/2001,67441.09048042132
03/2001,65393.68566907581
04/2001,70851.24915646593
05/2001,69705.34378064085
06/2001,66959.49123918574
07/2001,64595.69041929539
08/2001,59184.72985298987
09/2001,52115.16143125223
10/2001,55007.26185687168
11/2001,57852.967139791894
12/2001,60190.32660900082
01/2002,58089.29267637272
02/2002,57366.28976066707
03/2002,59915.75288412676
04/2002,56750.06791067694
05/2002,54796.98683490964
06/2002,50248.245978807645
07/2002,43110.11617079978
08/2002,43584.550733280805
09/2002,35460.49637293
10/2002,40536.94663565869
11/2002,42764.248727748694
12/2002,38631.79838407654
01/2003,36246.70828206868
02/2003,34522.576790010535
03/2003,32887.149555723
04/2003,37719.20468746106
05/2003,38091.19430531392
06/2003,39700.95407908752
07/2003,41430.3235244519
08/2003,42091.901703974996
09/2003,39442.21787482182
10/2003,42425.74418381955
11/2003,43347.97460459232
12/2003,45493.44569196908
01/2004,46835.641039411705
02/2004,47735.8780691075
03/2004,46035.97510113434
04/2004,46237.8273951478
05/2004,45990.96729985368
06/2004,47174.0999347298
07/2004,45719.417549539314
08/2004,44952.48410639685
09/2004,45886.18141104235
10/2004,47340.25376719036
11/2004,48474.40593929599
12/2004,49736.74943672928
01/2005,50357.7142141009
02/2005,51667.93253243301
03/2005,51621.91437585855
04/2005,49846.24893294794
05/2005,52751.85137931807
06/2005,54703.512356453735
07/2005,57234.65517219533
08/2005,56251.66170570849
09/2005,59088.404616918495
10/2005,57258.908099683926
11/2005,59517.92227097772
12/2005,61793.74936679887
01/2006,63800.88666774767
02/2006,65251.78375223122
03/2006,66679.53085033603
04/2006,66603.23094066838
05/2006,63768.32995635973
06/2006,64233.97913888967
07/2006,65043.87825905987
08/2006,67214.55507056114
09/2006,68818.9198558127
10/2006,70726.39848053131
11/2006,70561.18571993899
12/2006,72908.8025278699
01/2007,74015.68979968698
02/2007,72411.55458430022
03/2007,74104.05799847373
04/2007,78205.30718731252
05/2007,81311.8128120791
06/2007,81094.14093007855
07/2007,78027.15962411126
08/2007,77750.44594540255
09/2007,79325.02664774818
10/2007,81331.66501634817
11/2007,79773.96494622885
12/2007,79862.92857116152
01/2008,68915.86162034789
02/2008,67693.30460451898
03/2008,65965.4275274352
04/2008,69972.79331436235
05/2008,70275.34557753554
06/2008,62442.40810668807
07/2008,62766.77438151813
08/2008,62805.981720134456
09/2008,56766.88986577911
10/2008,48440.33926431035
11/2008,45640.523673746415
12/2008,45978.061888628436
01/2009,42096.85285046565
02/2009,37217.18082226668
03/2009,39023.643222421575
04/2009,45065.70312005068
05/2009,47278.82089685581
06/2009,46426.864498239695
07/2009,51042.424128309525
08/2009,53762.17475342507
09/2009,55679.76645247952
10/2009,53210.75363816006
11/2009,54410.29768493801
12/2009,57742.978607284735
01/2010,54110.37902540621
02/2010,53207.28447998596
03/2010,57186.957962995315
04/2010,55091.63496480019
05/2010,51941.523454397066
06/2010,51324.64482354028
07/2010,54709.92892259298
08/2010,52404.80810298417
09/2010,54934.77959895888
10/2010,56911.36850149056
11/2010,53220.35995614309
12/2010,56089.575770788426
01/2011,59431.19414668026
02/2011,60638.70102267283
03/2011,58588.78318870286
04/2011,60863.85287194318
05/2011,58833.38164948123
06/2011,58664.36888948437
07/2011,55053.36849960907
08/2011,47506.470278443725
09/2011,45092.74613909145
10/2011,49374.636402155964
11/2011,48402.40945254379
12/2011,48155.772957536334
01/2012,50376.86390305774
02/2012,52379.451301637775
03/2012,51690.52485914563
04/2012,48476.54595983314
05/2012,45212.381720464204
06/2012,48494.226813594745
07/2012,49884.60936529055
08/2012,52368.794167988446
09/2012,52782.507352417444
10/2012,53899.422589757996
