Data,IE00BF2B0K52
10/2010,37218.073687196316
11/2010,38533.45774711169
12/2010,39995.091401285186
01/2011,37493.65242044803
02/2011,36779.719404678544
03/2011,38121.82741164847
04/2011,38602.981162889904
05/2011,39127.297199389395
06/2011,38971.33892405167
07/2011,39918.156846493956
08/2011,37270.94689824393
09/2011,35090.34208176809
10/2011,36803.33298263784
11/2011,37033.857164279216
12/2011,38012.596120154696
01/2012,40812.753468519324
02/2012,42962.10740607434
03/2012,42711.68208019402
04/2012,43088.45985521295
05/2012,41253.52048299852
06/2012,42933.89396352026
07/2012,44991.4353766677
08/2012,44051.39094948058
09/2012,44850.108519981055
10/2012,44060.45632941972
11/2012,44541.85004468644
12/2012,45817.80221991034
01/2013,44846.64124180742
02/2013,45665.09267388853
03/2013,46279.341338536724
04/2013,46265.20311028111
05/2013,44961.225929294415
06/2013,42509.94597662286
07/2013,42124.007641966586
08/2013,40971.208916702206
09/2013,42604.12760926549
10/2013,44111.89225475396
11/2013,42696.0834338534
12/2013,41786.36846589086
01/2014,40169.975016077406
02/2014,40956.876520240454
03/2014,42621.0259168406
04/2014,42876.84860160886
05/2014,44787.6834723893
06/2014,46303.20188079032
07/2014,47748.263542101275
08/2014,49607.86012512099
09/2014,48407.51884248277
10/2014,49115.17403285933
11/2014,48740.564504578186
12/2014,47340.58790553119
01/2015,51065.89311057265
02/2015,52863.97269064993
03/2015,53816.47735076355
04/2015,54540.307183678444
05/2015,53841.71183970872
06/2015,51469.21330051861
07/2015,49601.6909077325
08/2015,44808.98573167758
09/2015,43567.07834575386
10/2015,46445.05406717391
11/2015,46295.98530670475
12/2015,44120.96943976538
01/2016,42314.26480545154
02/2016,42296.96947589513
03/2016,44896.25465168895
04/2016,45270.895757535625
05/2016,44456.484189826086
06/2016,46393.5889036753
07/2016,48401.655173894855
08/2016,48306.51910432854
09/2016,48570.668242070446
10/2016,49232.488288078646
11/2016,47968.77865982801
12/2016,49164.388732740816
01/2017,50190.934296849264
02/2017,52383.21783503185
03/2017,53373.91359655668
04/2017,52747.647769916235
05/2017,52436.30998499112
06/2017,51877.28938936675
07/2017,52615.887672788325
08/2017,53376.801348592744
09/2017,52928.69903933082
10/2017,54987.98819269784
11/2017,53901.23950674751
12/2017,55451.323747929775
01/2018,56538.23167230463
02/2018,55704.74602861708
03/2018,54393.71618722794
04/2018,54563.7824673264
05/2018,54425.81761540291
06/2018,52342.99719073317
07/2018,53886.19476552272
08/2018,53061.084441004
09/2018,53867.062322312646
10/2018,51632.770569615226
11/2018,52441.59636079257
12/2018,51357.36820743947
01/2019,54390.74578018242
02/2019,54340.101711843454
03/2019,55218.25700623318
04/2019,55710.78108785539
05/2019,53943.6764821519
06/2019,55358.4386089762
07/2019,55556.864141724174
08/2019,53866.21908730236
09/2019,56170.77335139174
10/2019,56775.182409832385
11/2019,56579.260965965535
12/2019,58928.6554643445
01/2020,56662.026895309195
02/2020,52771.803328527734
03/2020,44928.23544537327
04/2020,49262.51953665293
05/2020,48500.173805298546
06/2020,49543.78134651919
07/2020,49780.64625619465
08/2020,49423.559491025546
09/2020,49098.72954122252
10/2020,49003.85902675751
11/2020,52473.51342284151
12/2020,54853.55453704179
01/2021,55671.86157795854
02/2021,56599.81760655437
03/2021,59884.86728268083
04/2021,59044.53873169415
05/2021,60723.98538947063
06/2021,60770.05443740884
07/2021,58690.8863350093
08/2021,60792.90397017744
09/2021,61290.45842136606
10/2021,60837.79133630305
11/2021,60852.72056455957
12/2021,63754.08733426257
01/2022,64066.34100808322
02/2022,62576.52424860722
03/2022,60818.82934342243
04/2022,60561.451195294394
05/2022,59393.81045669168
06/2022,55241.621574258366
07/2022,56937.19683646874
08/2022,58004.22599596711
09/2022,54357.81858079292
10/2022,53293.26038382044
11/2022,57044.24986999928
12/2022,54384.495624529
01/2023,56663.46059558299
02/2023,55216.709656909654
03/2023,55341.65002656563
04/2023,56262.12126488183
05/2023,55576.96546575278
06/2023,56138.386690005995
07/2023,58456.4706004115
08/2023,56314.13414589284
09/2023,57884.629082218176
10/2023,56586.64533304321
