Data,IE00B02KXM00
10/2002,10121.410611363479
11/2002,10735.79995871308
12/2002,9974.808934455175
01/2003,9857.739223560331
02/2003,9403.09957303302
03/2003,9258.532593202004
04/2003,10344.889636306287
05/2003,10827.902621065783
06/2003,11099.953638301047
07/2003,11755.716899812178
08/2003,12321.824983376386
09/2003,12110.728715601721
10/2003,12959.44735822875
11/2003,13266.694328135363
12/2003,13267.46318616499
01/2004,14075.175504942716
02/2004,14690.417488051567
03/2004,14488.449889843083
04/2004,14605.451956789066
05/2004,14344.908165025981
06/2004,14779.63524238807
07/2004,14406.124171638561
08/2004,14321.935282461807
09/2004,14745.879116199802
10/2004,14966.032504408331
11/2004,15552.409433612935
12/2004,16128.060004191926
01/2005,16726.592432614143
02/2005,17422.04904268207
03/2005,17211.337182615804
04/2005,16733.101614713247
05/2005,17810.714563201902
06/2005,18619.281554974517
07/2005,19436.777354973347
08/2005,19347.782592011623
09/2005,20358.6879782561
10/2005,19442.24179496296
11/2005,20124.422734808668
12/2005,20956.3752751762
01/2006,22276.91582103834
02/2006,23545.986283082322
03/2006,24116.153164213396
04/2006,24289.007027993914
05/2006,22913.095328827625
06/2006,22715.26480320204
07/2006,22862.708051449015
08/2006,23695.829333700898
09/2006,24638.81082179708
10/2006,25831.009441024875
11/2006,26143.148393961237
12/2006,27762.448877626124
01/2007,28396.84520999946
02/2007,28200.243427952155
03/2007,29262.884830530464
04/2007,30161.724835215886
05/2007,31424.48683685786
06/2007,30569.997893730324
07/2007,29153.053557927266
08/2007,28286.2693581025
09/2007,28227.39504339875
10/2007,29192.931263135048
11/2007,27521.897071107946
12/2007,26862.063080590044
01/2008,23967.003778021593
02/2008,24500.27656224701
03/2008,24233.47781245873
04/2008,24984.875514229734
05/2008,25210.352672638815
06/2008,22193.2293626305
07/2008,21206.243783390146
08/2008,21966.94484523386
09/2008,19314.89508496007
10/2008,15340.747210968382
11/2008,14209.870671701647
12/2008,14336.581288184623
01/2009,13918.092317848414
02/2009,12493.083793131498
03/2009,12741.373420498923
04/2009,15521.68168363596
05/2009,16608.68961333223
06/2009,16245.977262744296
07/2009,17649.319404958867
08/2009,19096.591226973218
09/2009,20909.069467783647
10/2009,19643.4135261911
11/2009,19940.229115638434
12/2009,21062.16301646741
01/2010,20971.538825728134
02/2010,20455.49759577817
03/2010,22405.70285682586
04/2010,22539.967781184736
05/2010,20530.288645804485
06/2010,20114.559293407034
07/2010,21264.144520778267
08/2010,20652.975818799136
09/2010,21990.278321957954
10/2010,23052.235826583717
11/2010,22248.311968073143
12/2010,24080.188938703264
01/2011,24374.981541459427
02/2011,24764.585479208465
03/2011,24894.18717413812
04/2011,25420.32634525735
05/2011,25069.958292173702
06/2011,24588.821224105373
07/2011,23247.543321464625
08/2011,21062.15402123071
09/2011,19020.053422089903
10/2011,20071.128419063225
11/2011,19349.3784204259
12/2011,19270.02278428531
01/2012,20752.22399179329
02/2012,21800.504413887207
03/2012,21347.850929766606
04/2012,20707.195574021785
05/2012,18945.063232694894
06/2012,19770.882494782094
07/2012,20091.187289227615
08/2012,20446.380658855596
09/2012,20860.657706484264
10/2012,21321.4319051819
11/2012,21696.73452830989
12/2012,22343.05860937566
01/2013,23367.77895916603
02/2013,23522.63991794832
03/2013,23029.494842191038
04/2013,23574.486207969836
05/2013,24218.280510185865
06/2013,22742.38268607292
07/2013,24266.22780761457
08/2013,24475.41874725799
09/2013,25676.46746372564
10/2013,27167.914176574457
11/2013,27341.82952456163
12/2013,27794.980898410926
01/2014,27868.82989586242
02/2014,30017.29328928258
03/2014,29965.757192954756
04/2014,29554.719514032025
05/2014,30014.675592518888
06/2014,29273.637603313982
07/2014,27966.552665894542
08/2014,28050.10129433247
09/2014,27525.986849569126
10/2014,26942.559341476895
11/2014,28128.908638393856
12/2014,27834.66585613358
01/2015,29808.847644629306
02/2015,31894.302873358203
03/2015,32899.60326954239
04/2015,32916.75605415301
05/2015,33205.8988985246
06/2015,31865.83393858461
07/2015,33229.18803272257
08/2015,30718.819456680387
09/2015,29427.184166789793
10/2015,31813.378797446374
11/2015,32278.84875837628
12/2015,31442.443589021255
01/2016,29257.632830761762
02/2016,28645.352407307277
03/2016,29513.33308964974
04/2016,29823.092667208122
05/2016,30482.602581662257
06/2016,27760.93803062675
07/2016,29478.874381542337
08/2016,29715.006998444394
09/2016,30062.81689978733
10/2016,30127.603626609103
11/2016,29806.1030910717
12/2016,31777.65498029726
01/2017,31905.033329466492
02/2017,32829.4977204014
03/2017,34711.12778374501
04/2017,35858.864935139565
05/2017,36726.159537582724
06/2017,35990.742080042306
07/2017,36501.680566768686
08/2017,36774.657113757836
09/2017,38349.01041533086
10/2017,38651.48308648814
11/2017,38270.24042553161
12/2017,38671.54332752824
01/2018,39938.869534911304
02/2018,38711.99196016817
03/2018,37734.455917383035
04/2018,38647.77139950684
05/2018,37906.99576099434
06/2018,37460.712622851686
07/2018,38320.126539835845
08/2018,38344.07859121469
09/2018,37902.97660230094
10/2018,35351.46104935016
11/2018,35170.09848546898
12/2018,33435.445353166186
01/2019,35625.683604511796
02/2019,37179.21757825931
03/2019,37183.92289105928
04/2019,39197.418804246874
05/2019,36760.39952574639
06/2019,38742.58115321334
07/2019,38859.768394758044
08/2019,38169.699565835734
09/2019,39215.77859212137
10/2019,39993.09842518604
11/2019,41106.09335870657
12/2019,42021.0857505738
01/2020,41482.829564113286
02/2020,38748.85630696966
03/2020,32678.00995282336
04/2020,35758.11606605249
05/2020,37991.00635550643
06/2020,38040.72396128462
07/2020,38245.900583679795
08/2020,40014.29041933259
09/2020,39414.17318510673
10/2020,37468.15080552226
11/2020,43627.5618406257
12/2020,45319.88491242727
01/2021,45848.77381071348
02/2021,46896.86633481366
03/2021,48914.39822201289
04/2021,50698.04379135892
05/2021,52294.04018877719
06/2021,52525.97009292848
07/2021,53775.82088572077
08/2021,55194.21613996195
09/2021,53134.51405596146
10/2021,54639.9973270348
11/2021,53281.96807664998
12/2021,54965.98952298642
01/2022,52877.687168142766
02/2022,51928.047668853644
03/2022,52506.11545965757
04/2022,51967.428957566786
05/2022,51690.402002834184
06/2022,45640.07969913531
07/2022,48801.77069685797
08/2022,45774.24832388343
09/2022,41250.53711373234
10/2022,44285.18830368604
11/2022,47154.997743112035
12/2022,46257.73514870984
01/2023,50162.61244959778
02/2023,51587.19392923551
03/2023,50056.23960635566
04/2023,50085.20770106197
05/2023,48325.15184410236
06/2023,49746.005451344136
07/2023,51882.168010652415
08/2023,50677.642650153815
09/2023,48816.530809418764
10/2023,45695.91069954681
11/2023,49639.85081657718
12/2023,52461.94435207665
01/2024,51175.33882802948
02/2024,51089.61651600194
03/2024,53265.106196547604
04/2024,52637.75106250405
