Data,LU1681038326
07/2007,10000
08/2007,10298.863152337897
09/2007,10464.155439162998
10/2007,10993.261416520852
11/2007,10045.802681576462
12/2007,10054.058710381501
01/2008,8793.583349318596
02/2008,8176.9795874148995
03/2008,8007.226488870761
04/2008,8763.619902991515
05/2008,9309.02941978349
06/2008,8280.243633204995
07/2008,8414.713473646903
08/2008,9031.125965024128
09/2008,7930.4365289688785
10/2008,7452.650025149639
11/2008,6648.0928652260645
12/2008,6209.300178646614
01/2009,6568.783573091317
02/2009,6311.09919220163
03/2009,6632.843366562546
04/2009,7485.145820366432
05/2009,7259.271370508343
06/2009,7448.497824687818
07/2009,8074.673564939873
08/2009,8111.277087881096
09/2009,8356.721032384352
10/2009,8021.002988864051
11/2009,8376.935391518502
12/2009,9187.822014622023
01/2010,8875.511765499723
02/2010,9543.603563235834
03/2010,10336.883528428336
04/2010,10688.640341644656
05/2010,10723.142269954415
06/2010,10106.85488531717
07/2010,10193.251128247073
08/2010,9943.924044251438
09/2010,10426.77143102772
10/2010,10910.715722872845
11/2010,11605.50838486935
12/2010,11817.232739000847
01/2011,11860.19542396121
02/2011,12095.310066594058
03/2011,11718.37028736601
04/2011,11511.991710508742
05/2011,11838.881380290553
06/2011,11554.820700546168
07/2011,11897.804399206041
08/2011,11161.058082075388
09/2011,11415.374131476447
10/2011,12128.018066076063
11/2011,12322.38552813978
12/2011,12682.85257440799
01/2012,13494.769778690323
02/2012,14072.801178914006
03/2012,14878.192907301514
04/2012,14867.959461480103
05/2012,14699.440197011192
06/2012,15007.312740959715
07/2012,15539.588749325138
08/2012,15901.260244887648
09/2012,15663.235034534426
10/2012,14846.715425123131
11/2012,14950.747554911171
12/2012,14629.723030981011
01/2013,14621.694372725891
02/2013,15151.111949603686
03/2013,15993.134103999308
04/2013,16051.640403415955
05/2013,16683.679242221027
06/2013,16195.05231349235
07/2013,16953.22087896865
08/2013,16940.187526287744
09/2013,17384.031433819233
10/2013,18067.136269058716
11/2013,18729.08060322415
12/2013,19039.283070848807
01/2014,19049.6787794926
02/2014,19587.072661668484
03/2014,19093.89274352034
04/2014,18939.786294732956
05/2014,20138.611513251693
06/2014,20674.622117161307
07/2014,21345.306931738625
08/2014,22740.300805134128
09/2014,23646.060644990295
10/2014,24395.06006882346
11/2014,25560.735542686005
12/2014,25665.890275013593
01/2015,26996.664539403326
02/2015,29094.316814459773
03/2015,29674.366626123516
04/2015,28996.991003884723
05/2015,30308.649642588538
06/2015,28990.228998614926
07/2015,30874.597436628173
08/2015,28157.455126262645
09/2015,27574.33261145446
10/2015,31182.369479844507
11/2015,32626.5392671444
12/2015,31222.907356195956
01/2016,29003.877908800852
02/2016,28599.086199005873
03/2016,29191.344781516847
04/2016,28225.078275327072
05/2016,30113.257998493624
06/2016,29547.681108412868
07/2016,31612.709685650447
08/2016,31872.507797599028
09/2016,32490.30615807723
10/2016,32626.133290506827
11/2016,33695.46133663235
12/2016,34374.129947276924
01/2017,35446.76412476226
02/2017,37519.146985537926
03/2017,37936.72455689951
04/2017,38117.90351871733
05/2017,38534.36047246672
06/2017,36967.59714490056
07/2017,37463.93955312475
08/2017,37880.355936398926
09/2017,37885.77649997066
10/2017,40169.295239173785
11/2017,40237.69260541897
12/2017,39948.42036692843
01/2018,41793.65388547979
02/2018,42078.51075910284
03/2018,40056.995031761806
04/2018,41014.72655048274
05/2018,44718.57245453384
06/2018,45351.56585742382
07/2018,46278.750624133056
08/2018,49383.86178279389
09/2018,49540.94947002939
10/2018,46286.9561254177
11/2018,46050.9182997708
12/2018,41626.04397610617
01/2019,45274.24552787648
02/2019,46859.79802586551
03/2019,49514.761234646416
04/2019,52300.449493621774
05/2019,48242.0355130216
06/2019,50888.820467505226
07/2019,53144.169903624264
08/2019,52664.24997793157
09/2019,53795.92570617064
10/2019,54793.81189347745
11/2019,57900.34343539972
12/2019,58836.105118118714
01/2020,61582.82957549766
02/2020,58388.857403470516
03/2020,54044.01739106517
04/2020,62717.37417904705
05/2020,65079.873815761894
06/2020,68813.704474229
07/2020,69836.6055048968
08/2020,77001.17705212894
09/2020,74048.03228856587
10/2020,71746.0790734591
11/2020,77800.36230219972
12/2020,79797.9421318608
01/2021,80921.83228005795
02/2021,80954.75612766478
03/2021,84890.09068828687
04/2021,87229.39828162681
05/2021,85331.5670110944
06/2021,93183.06651990773
07/2021,95724.37244188364
08/2021,100230.85245029969
09/2021,96580.76920774467
10/2021,103628.08783708794
11/2021,108153.98052537216
12/2021,109760.29580321911
01/2022,101942.9947389157
02/2022,96886.6386308714
03/2022,101890.18437031256
04/2022,92967.48414925963
05/2022,90011.42833941424
06/2022,84498.5180658762
07/2022,96882.53520482658
08/2022,93700.25775192566
09/2022,85951.02196775265
10/2022,87869.54320830677
11/2022,88624.9613335816
12/2022,78412.43886111578
01/2023,85413.95664553696
02/2023,86762.64413335393
03/2023,92765.21174609967
04/2023,92320.84848535316
05/2023,102183.1296233168
06/2023,107003.47922990767
07/2023,109498.51213751284
08/2023,109330.68520421296
09/2023,106488.19092718659
10/2023,104041.26140716588
11/2023,111942.6043725856
12/2023,116828.86115842267
01/2024,121339.70250960441
02/2024,127965.58666982093
03/2024,129671.3755671718
04/2024,124965.9313881293
