Data,IE00B3F81K65
06/1999,27810.53260659639
07/1999,27447.573369729565
08/1999,28031.309228489812
09/1999,28279.23561214953
10/1999,28703.144424569517
11/1999,29762.116734799398
12/1999,29841.445407027262
01/2000,29951.52546775032
02/2000,30219.206931890698
03/2000,31433.27954539709
04/2000,31991.476735421053
05/2000,31630.944409711505
06/2000,31270.206808426334
07/2000,31870.20171620097
08/2000,33123.58661509532
09/2000,33302.11239465269
10/2000,34348.31073598107
11/2000,33997.370668690615
12/2000,32351.13015170158
01/2001,32616.02382439561
02/2001,33017.32948874005
03/2001,33368.930132128866
04/2001,33182.15329924098
05/2001,34817.723820526575
06/2001,34448.15737865232
07/2001,34043.521427989486
08/2001,33960.660662652874
09/2001,34114.9208573527
10/2001,34716.04909081426
11/2001,34405.08385983111
12/2001,33635.91000062171
01/2002,34204.82198894967
02/2002,34199.28326068745
03/2002,33793.24759836752
04/2002,33843.274390625804
05/2002,33492.138539255495
06/2002,33072.19773895635
07/2002,33658.36498409934
08/2002,34250.20461908219
09/2002,34244.94382010111
10/2002,34015.92737135485
11/2002,33841.34317765305
12/2002,33534.021877156774
01/2003,33103.09944866713
02/2003,33408.971396421584
03/2003,33063.02179123582
04/2003,32636.29121891604
05/2003,32101.374825315233
06/2003,32398.20019645177
07/2003,32098.337259833905
08/2003,32839.933766456255
09/2003,32586.94763490915
10/2003,32547.07156609127
11/2003,32018.893796467346
12/2003,31478.20214092248
01/2004,32127.068661814268
02/2004,32089.884600638477
03/2004,33000.631960181476
04/2004,32325.374336790464
05/2004,31913.86895646624
06/2004,32118.473370703763
07/2004,32266.03481630734
08/2004,32718.413946714954
09/2004,32376.59740332092
10/2004,32504.627795950084
11/2004,32088.349625015308
12/2004,31835.719053751876
01/2005,32838.28618931899
02/2005,32192.687075436494
03/2005,32465.530677789026
04/2005,33218.043568985704
05/2005,34098.65362353268
06/2005,34475.13333565586
07/2005,33958.18822118912
08/2005,34109.45899504537
09/2005,34119.08021907126
10/2005,33714.17553658731
11/2005,33853.90184371581
12/2005,34213.038485710174
01/2006,33585.585145968245
02/2006,34104.3497176045
03/2006,33128.03332367359
04/2006,32499.165156777515
05/2006,32431.27328566819
06/2006,32222.20732272087
07/2006,32524.204624986796
08/2006,32696.006564127063
09/2006,32962.33165949907
10/2006,33002.30722216513
11/2006,32534.587533419173
12/2006,32072.02821567092
01/2007,32135.39994693503
02/2007,32326.78815736876
03/2007,32130.653226950963
04/2007,31586.47968999206
05/2007,31407.97617584993
06/2007,31069.01759976202
07/2007,31582.08062659576
08/2007,32313.509500996268
09/2007,31594.904222380912
10/2007,31492.66082836716
11/2007,31963.03920874849
12/2007,31924.33521175205
01/2008,32693.11078164406
02/2008,32609.692157604077
03/2008,32220.81211383867
04/2008,31640.20183373939
05/2008,31218.866712179424
06/2008,30938.87760926844
07/2008,31239.54911289299
08/2008,32615.088950410893
09/2008,33972.85706137992
10/2008,37388.99672182184
11/2008,38771.60911559255
12/2008,37729.039932164334
01/2009,39510.68745932132
02/2009,38531.42153539059
03/2009,37567.94787818997
04/2009,37560.83130800438
05/2009,36189.73282197053
06/2009,36546.04244704956
07/2009,36664.95155225835
08/2009,36956.08814914057
09/2009,37107.9418645922
10/2009,36721.59169135808
11/2009,37296.97762468095
12/2009,37057.525124056636
01/2010,38518.070235989915
02/2010,39351.78595743821
03/2010,38861.37528401368
04/2010,39613.31215247909
05/2010,42855.21705646906
06/2010,43904.9952945959
07/2010,42532.92965933941
08/2010,44577.77568571302
09/2010,42273.35116557477
10/2010,42101.59406537582
11/2010,43071.18556436274
12/2010,42402.22164801249
01/2011,41379.328790856394
02/2011,41190.94768929123
03/2011,40109.51359993852
04/2011,39502.890217864275
05/2011,40814.150720167774
06/2011,40540.922967550476
07/2011,41961.96144974923
08/2011,42691.529212932226
09/2011,45249.222345977636
10/2011,43577.246101338416
11/2011,44712.59158160019
12/2011,46764.45090437886
01/2012,46966.31175062406
02/2012,45284.307919654755
03/2012,45015.16842380495
04/2012,46077.88744095976
05/2012,49414.63341575457
06/2012,47970.96425829192
07/2012,49992.87855540441
08/2012,49112.88373994578
09/2012,48580.13526359148
10/2012,47800.00296703546
11/2012,47420.697060587845
12/2012,46118.344108482044
01/2013,44006.130276370415
02/2013,45205.72313420214
03/2013,45897.292037972744
04/2013,44885.20963650208
05/2013,44159.55333258937
06/2013,43866.00646872733
07/2013,43435.334726390385
08/2013,43629.31407980612
09/2013,43184.41162995321
10/2013,43349.83589304369
11/2013,42731.071226793
12/2013,41718.650764512946
01/2014,43332.17837420161
02/2014,42768.491231865075
03/2014,42713.509069157364
04/2014,42899.81232176038
05/2014,43766.63442300868
06/2014,43917.146632251766
07/2014,44540.279249384745
08/2014,45409.00018765122
09/2014,45863.972805669335
10/2014,46102.00667006608
11/2014,45973.69322694206
12/2014,47207.71806307451
01/2015,50767.74150891031
02/2015,50395.68961812875
03/2015,52220.8487913025
04/2015,50450.59341737689
05/2015,50442.352116426264
06/2015,49554.36830087327
07/2015,50206.343568212906
08/2015,49821.60830772077
09/2015,50439.4702945258
10/2015,50896.85096733696
11/2015,52231.29134669056
12/2015,51244.444412083714
01/2016,52173.52436393617
02/2016,53612.5460809977
03/2016,52173.98157031067
04/2016,52703.68923690402
05/2016,53512.820500359536
06/2016,55689.44718082958
07/2016,55492.707769712164
08/2016,55215.97148873672
09/2016,55009.05755164272
10/2016,54462.362059944746
11/2016,53728.46039301723
12/2016,53606.12197438373
01/2017,52787.46725499994
02/2017,53915.076495509486
03/2017,53604.58515928101
04/2017,53300.04187642336
05/2017,52338.457504187645
06/2017,51399.76582118427
07/2017,50499.05231014201
08/2017,50639.21391693793
09/2017,50301.24680353505
10/2017,50825.21514595007
11/2017,50273.43985774802
12/2017,49937.10287738006
01/2018,48722.020312703564
02/2018,49547.09171311062
03/2018,49816.68819723765
04/2018,49805.025315701125
05/2018,51106.82513974982
06/2018,50900.42195371462
07/2018,50473.48154677717
08/2018,50744.3166266773
09/2018,50234.78048561689
10/2018,51085.015812796446
11/2018,51329.50721844306
12/2018,52158.064584648186
01/2019,52596.593942739666
02/2019,52515.06023692023
03/2019,53996.587637266806
04/2019,53788.980296287715
05/2019,55109.14313778946
06/2019,54992.16812776536
07/2019,56016.97638598385
08/2019,58376.11297478161
09/2019,58177.079333490365
10/2019,57060.8216038361
11/2019,57095.5181899552
12/2019,56112.9538905448
01/2020,57886.46390365567
02/2020,59155.59798069614
03/2020,59264.61524284577
04/2020,60012.37032083134
05/2020,58992.52328458674
06/2020,58670.96533059348
