Data,IE00BRKWGL70
12/2021,39734.18430687799
01/2022,37622.73878875532
02/2022,36474.6566989488
03/2022,37791.8390473086
04/2022,34240.36830576953
05/2022,34273.50345880014
06/2022,31310.304948761994
07/2022,34195.11546621579
08/2022,32716.617884420117
09/2022,29554.863870267796
10/2022,31865.086271006352
11/2022,33522.34275174865
12/2022,31536.785952217168
01/2023,33414.805960447164
02/2023,32529.511814128273
03/2023,33633.62845663063
04/2023,34087.73834724232
05/2023,34189.21089637978
06/2023,36341.352184426876
07/2023,37431.98412301693
08/2023,36764.50985202586
09/2023,34904.85090924748
10/2023,34123.76707305778
11/2023,37096.05550944584
12/2023,38706.38844993813
01/2024,39310.80972151231
02/2024,41362.36609641717
03/2024,42642.45777456711
04/2024,40829.84358258334
