Data,FR0012740983
12/1986,10000
01/1987,9535.228502511563
02/1987,9337.504434430475
03/1987,9663.12714605198
04/1987,9795.276741748521
05/1987,9626.678002728706
06/1987,10057.59215818972
07/1987,10630.987631170028
08/1987,10581.946524534993
09/1987,10371.104686213848
10/1987,8144.961034180987
11/1987,7335.189682264413
12/1987,7226.102145392382
01/1988,7096.570187607049
02/1988,7915.958606914594
03/1988,7846.161193067702
04/1988,7956.133050374729
05/1988,8010.629833073896
06/1988,8600.22691535045
07/1988,8878.423486760166
08/1988,8672.404345573304
09/1988,9236.231574619715
10/1988,9569.983486105011
11/1988,9465.31980801977
12/1988,9846.76520806382
01/1989,10073.611439784478
02/1989,9757.84583646097
03/1989,10130.407321108982
04/1989,10345.840547349253
05/1989,10653.450517206966
06/1989,11056.415478704095
07/1989,11631.064550318433
08/1989,12101.092036769825
09/1989,12061.288108376984
10/1989,11339.161953063905
11/1989,11965.00917385618
12/1989,12847.816442507801
01/1990,12524.474347055566
02/1990,12276.65649655418
03/1990,13070.749727083594
04/1990,12765.936460151208
05/1990,13182.388432732572
06/1990,13277.04781588916
07/1990,13324.232340375536
08/1990,11484.212595875257
09/1990,10122.556425431983
10/1990,10652.692696477166
11/1990,10458.590383051443
12/1990,10295.90557256224
01/1991,10459.526240691708
02/1991,11512.73471753708
03/1991,11791.511242955197
04/1991,12050.709473269822
05/1991,12671.059422451364
06/1991,12206.215226491793
07/1991,12275.917853517958
08/1991,12473.847301535909
09/1991,12386.901205036911
10/1991,12347.073389393061
11/1991,12140.486535882013
12/1991,12322.294789248846
01/1992,12890.96869377268
02/1992,13347.72831471076
03/1992,13109.452652121558
04/1992,13442.135389631398
05/1992,13809.078297072658
06/1992,13293.174466325669
07/1992,12554.10028149731
08/1992,12087.168426765154
09/1992,12339.627726714427
10/1992,12495.166226315318
11/1992,12919.743097463877
12/1992,13204.073998301066
01/1993,13337.765161432104
02/1993,14426.634815805734
03/1993,14615.93075024821
04/1993,14307.595360516914
05/1993,14460.464151872455
06/1993,15113.292689244445
07/1993,16231.329946143254
08/1993,17366.491599562094
09/1993,16935.105599147817
10/1993,17911.976606479704
11/1993,17484.443051104972
12/1993,18924.03887085409
01/1994,19240.69383589007
02/1994,18440.29655177652
03/1994,18059.704879330762
04/1994,18909.980326454137
05/1994,18169.387325604715
06/1994,17267.18608262609
07/1994,18546.063986803936
08/1994,18878.752642902626
09/1994,17635.169215775306
10/1994,18026.749105556915
11/1994,17975.984878211024
12/1994,17949.997492039005
01/1995,17637.213674748942
02/1995,17882.970922832912
03/1995,17710.340888173872
04/1995,18390.67952562111
05/1995,19042.27667894159
06/1995,18952.463150668238
07/1995,20035.441671506196
08/1995,20018.968056202295
09/1995,19881.302436500377
10/1995,19719.686968397134
11/1995,20399.874876815244
12/1995,21136.639524316055
01/1996,22621.957876677086
02/1996,22428.095047326955
03/1996,22668.989100967086
04/1996,23559.31661966279
05/1996,23830.294149939014
06/1996,23838.945473313936
07/1996,22835.321364330684
08/1996,23009.605700584794
09/1996,24405.25657884381
10/1996,24504.353993726418
11/1996,26205.769918503713
12/1996,26683.11143716834
01/1997,28938.679747692702
02/1997,29993.568528778276
03/1997,30880.139230863293
04/1997,31295.096213878543
05/1997,32402.630403700616
06/1997,35200.882695486136
07/1997,39314.149890350964
08/1997,35400.11748325317
09/1997,38024.19517849872
10/1997,34339.765534409904
11/1997,35705.005133254715
12/1997,37313.591995110175
01/1998,39453.75753126154
02/1998,42447.945836167004
03/1998,46535.05418994695
04/1998,47185.5483782104
05/1998,49920.56813456874
06/1998,51058.301490926075
07/1998,52208.12130527619
08/1998,44703.23840908368
09/1998,40135.5719474118
10/1998,43383.81020958907
11/1998,47794.80103460325
12/1998,50246.15651354223
01/1999,53336.46888351304
02/1999,52402.919869163714
03/1999,53558.6927515813
04/1999,56551.161270612196
05/1999,54957.92320113926
06/1999,57471.227407018116
07/1999,55251.24889382005
08/1999,57302.60976675241
09/1999,55784.480275112954
10/1999,59627.76068830143
11/1999,65588.94481811396
12/1999,74555.01005158112
01/2000,71217.13888629596
02/2000,78792.30526214608
03/2000,79825.49588790193
04/2000,80732.68823836367
05/2000,79467.76419946688
06/2000,78757.17696643801
07/2000,78479.77655944043
08/2000,79338.67788209861
09/2000,75344.16514052727
10/2000,77527.56461403541
11/2000,73433.60276242533
12/2000,73152.95772341349
01/2001,73281.69103014433
02/2001,66222.28835708677
03/2001,64204.71036875275
04/2001,69556.08998580469
05/2001,68423.59649025668
06/2001,65720.82234290597
07/2001,63393.62919855516
08/2001,58076.49355574982
09/2001,51133.01144903445
10/2001,53965.06862582147
11/2001,56751.01163383355
12/2001,59037.70217727021
01/2002,56970.506583983704
02/2002,56255.256729231056
03/2002,58749.249187723675
04/2002,55638.83263927049
05/2002,53717.96772342667
06/2002,49252.97764357286
07/2002,42250.89722195635
08/2002,42711.29874522777
09/2002,34745.38937636667
10/2002,39715.702337951014
11/2002,41893.578636613885
12/2002,37840.725543334374
01/2003,35500.376106255324
02/2003,33807.89919985296
03/2003,32202.66564113491
04/2003,36930.662047947866
05/2003,37290.87417758858
06/2003,38862.77203383545
07/2003,40551.4202225348
08/2003,41194.57060534787
09/2003,38596.910994218655
10/2003,41512.31445234892
11/2003,42410.19200956916
12/2003,44504.65390856494
01/2004,45812.85554628129
02/2004,46688.47035633894
03/2004,45020.80828144208
04/2004,45213.332155567936
05/2004,44967.043648164996
06/2004,46118.96408339494
07/2004,44691.822134690236
08/2004,43937.28477061026
09/2004,44845.13573994729
10/2004,46261.360513618354
11/2004,47364.65349782484
12/2004,48592.96626909704
01/2005,49194.386642018006
02/2005,50469.00785042007
03/2005,50418.590042872864
04/2005,48678.85394977727
05/2005,51511.133887232616
06/2005,53411.31164926737
07/2005,55876.87784595477
08/2005,54911.15059819749
09/2005,57674.343502791955
10/2005,55882.38112380552
11/2005,58081.03376928712
12/2005,60295.62547450326
01/2006,62247.56983500306
02/2006,63656.39942737435
03/2006,65042.34247572417
04/2006,64960.8697106686
05/2006,62188.83678840297
06/2006,62636.21506986765
07/2006,63419.183067581376
08/2006,65528.76932769818
09/2006,67085.79662712672
10/2006,68937.97002724484
11/2006,68769.4666515999
12/2006,71050.02176848393
01/2007,72120.99230633202
02/2007,70550.10758738968
03/2007,72191.4597489736
04/2007,76179.03647605327
05/2007,79196.80095505595
06/2007,78976.2113104983
07/2007,75980.7743699188
08/2007,75703.08669305714
09/2007,77228.00366974232
10/2007,79173.22851900687
11/2007,77648.29068089812
12/2007,77726.47186374753
01/2008,67063.83549654769
02/2008,65866.86789664735
03/2008,64178.475186953205
04/2008,68070.33187033355
05/2008,68357.28387874215
06/2008,60730.729487575365
07/2008,61039.62503365177
08/2008,61071.14088037393
09/2008,55192.2461283436
10/2008,47090.684644161134
11/2008,44363.77659623907
12/2008,44687.06644819082
01/2009,40909.99487541353
02/2009,36163.46600548877
03/2009,37914.865065831786
04/2009,43781.14456760422
05/2009,45926.43639556116
06/2009,45093.87437419732
07/2009,49572.02867686508
08/2009,52208.06027197611
09/2009,54064.56387168889
10/2009,51661.31713401834
11/2009,52820.3351825287
12/2009,56049.90723201162
01/2010,52517.74636860729
02/2010,51635.543213644916
03/2010,55492.063434849406
04/2010,53452.82952029986
05/2010,50390.633343840236
06/2010,49786.71472861909
07/2010,53065.16607889972
08/2010,50823.59614912278
09/2010,53271.72484451019
10/2010,55182.70485776558
11/2010,51597.83132705343
12/2010,54373.98362023881
01/2011,57607.50257384289
02/2011,58771.715366539196
03/2011,56778.54486415666
04/2011,58977.169906936346
05/2011,57003.25088050655
06/2011,56833.32025045673
07/2011,53328.87046856989
08/2011,46012.594858823366
09/2011,43669.78732819862
10/2011,47811.82621820649
11/2011,46865.19266405117
12/2011,46621.31205872936
01/2012,48766.57835103659
02/2012,50699.8704308361
03/2012,50027.542372854536
04/2012,46911.54363643866
05/2012,43747.676616040844
06/2012,46918.46337648303
07/2012,48258.58423249063
08/2012,50656.56721103394
09/2012,51051.2660171871
10/2012,52126.01640795144
11/2012,53643.57875063316
12/2012,54941.82788148023
01/2013,56471.33879466187
02/2013,55023.70504835183
03/2013,54855.885464729115
04/2013,57067.36584586233
05/2013,58920.138929266395
06/2013,55470.45956751091
