Data,IE00BJ5JP329
09/2010,10000
10/2010,10081.09094287015
11/2010,10464.04075878771
12/2010,10671.54312835955
01/2011,10237.910727387753
02/2011,10442.431277715683
03/2011,10233.630572131091
04/2011,10435.701912291568
05/2011,10963.074650376428
06/2011,10620.097271866967
07/2011,10677.05513812714
08/2011,10496.677219295627
09/2011,10736.564558835753
10/2011,10900.570908160871
11/2011,11340.768557170057
12/2011,11945.332577651687
01/2012,11729.797542012573
02/2012,12007.330622651683
03/2012,12415.443343340474
04/2012,12545.694384429997
05/2012,12840.78195888225
06/2012,13077.818200718142
07/2012,13893.435559089708
08/2012,13692.956081192431
09/2012,13570.575601009321
10/2012,13379.127170948897
11/2012,13660.856063430942
12/2012,13300.096366772777
01/2013,13629.6673844034
02/2013,14487.040659991037
03/2013,15375.411473513828
04/2013,15437.190250929185
05/2013,15163.268797990195
06/2013,14893.264192179338
07/2013,15157.805868993579
08/2013,14726.166214622162
09/2013,14795.93099964203
10/2013,15410.413901050428
11/2013,15469.362178962316
12/2013,15395.23099236618
01/2014,14875.143061608505
02/2014,15248.830607516255
03/2014,15466.87776172206
04/2014,15844.445552648349
05/2014,16424.165777351125
06/2014,16369.274890223602
07/2014,16210.451153030854
08/2014,16942.734679560304
09/2014,17327.758014366365
10/2014,17787.141158372036
11/2014,18625.54595547871
12/2014,18767.541619527543
01/2015,20389.02573933346
02/2015,21274.134097418268
03/2015,21620.130260517148
04/2015,20971.09608394831
05/2015,21458.81850590824
06/2015,20628.257940255848
07/2015,21872.10540730367
08/2015,20227.141168789138
09/2015,20343.244784805724
10/2015,21862.445825033126
11/2015,22603.693138426694
12/2015,22179.23683605658
01/2016,22247.848158776033
02/2016,21968.183452604142
03/2016,22093.50753821771
04/2016,21908.884224772773
05/2016,22672.335999030707
06/2016,23461.15500404383
07/2016,23358.95482695981
08/2016,23247.237879513617
09/2016,23044.35463263688
10/2016,22811.97763830542
11/2016,22365.052144060857
12/2016,23158.170501077137
01/2017,22974.83404813885
02/2017,24378.94363712973
03/2017,24440.82266177209
04/2017,24400.46545136258
05/2017,24702.255848158435
06/2017,23804.750949552465
07/2017,23154.319210803813
08/2017,22915.458517686777
09/2017,22845.653057917105
10/2017,23166.76821707056
11/2017,23466.03695382994
12/2017,23747.504126241023
01/2018,23277.437113724995
02/2018,22125.288256056505
03/2018,21947.98389909775
04/2018,21882.829136302775
05/2018,22350.26214008282
06/2018,22931.04545829754
07/2018,23541.467076385587
08/2018,23529.762431551597
09/2018,23633.655681692446
10/2018,23866.367220806365
11/2018,24222.141957229316
12/2018,22369.94590893977
01/2019,23393.04063009043
02/2019,24109.10824074277
03/2019,25489.84235243711
04/2019,25984.29408872738
05/2019,25303.289585923878
06/2019,25812.301928373294
07/2019,26796.706038536064
08/2019,27582.5609635723
09/2019,28026.93574464495
10/2019,27294.790453140064
11/2019,27821.871115448073
12/2019,27906.221931124117
01/2020,28246.046416687248
02/2020,25993.64552603391
03/2020,24731.890834894864
04/2020,26247.514219820994
05/2020,26342.343061222768
06/2020,26239.50645404736
07/2020,26358.40587804598
08/2020,26829.094401346014
09/2020,27008.08335874447
10/2020,26131.014377440617
11/2020,27454.139803127495
12/2020,27525.382454005023
01/2021,26541.013934096125
02/2021,25887.403816923565
03/2021,28477.01585354143
04/2021,28634.711938752997
05/2021,29034.44922512063
06/2021,29838.604569373016
07/2021,30210.312291093975
08/2021,30608.42257003002
09/2021,29944.883644829755
10/2021,30990.806054021385
11/2021,31117.81350413495
12/2021,33400.30598608872
01/2022,32845.53192570829
02/2022,32526.522849954436
03/2022,32892.361478065155
04/2022,34944.163983279235
05/2022,33092.00120467352
06/2022,32742.165926162095
07/2022,34873.03638658154
08/2022,34371.78626165425
09/2022,33490.304234141295
