Data,DE000A0H08H3
03/2008,77462.57598695093
04/2008,78455.2645450021
05/2008,79200.01355343507
06/2008,69892.80632935291
07/2008,67841.21882249489
08/2008,72572.34496869617
09/2008,71714.90731021302
10/2008,67152.52906834544
11/2008,63510.1554067584
12/2008,61499.91564013716
01/2009,61448.36392503524
02/2009,57473.59988871791
03/2009,55782.32659055622
04/2009,58059.60807499277
05/2009,61933.3492724142
06/2009,64007.772592667454
07/2009,69680.87474122552
08/2009,70703.35927197487
09/2009,73063.05872752753
10/2009,76551.23160379718
11/2009,76480.10515935549
12/2009,82753.94016778044
01/2010,83037.08986883333
02/2010,84664.22704232724
03/2010,88669.85884880275
04/2010,89473.42599823985
05/2010,88556.72636826208
06/2010,91634.29787051566
07/2010,90578.56519405893
08/2010,92471.47071396642
09/2010,93055.19384492523
10/2010,93905.44890956655
11/2010,95827.8011290731
12/2010,100723.21483482525
01/2011,94864.12483136394
02/2011,96676.53828926357
03/2011,96372.99508739864
04/2011,100266.04303906467
05/2011,104484.68254903049
06/2011,101563.2595798641
07/2011,102196.43934394371
08/2011,98960.33295727793
09/2011,97335.78710247975
10/2011,101404.10859478648
11/2011,103457.82241765416
12/2011,108301.96063709991
01/2012,107357.13844105216
02/2012,112397.7042861358
03/2012,115393.23229812486
04/2012,117642.60531412995
05/2012,116239.41903399279
06/2012,120973.00151780032
07/2012,128399.93719818465
08/2012,128452.1593451405
09/2012,127938.85331276852
10/2012,127912.14458258226
11/2012,132743.92203988903
12/2012,131175.43373638185
01/2013,134871.35230636699
02/2013,141388.07277545982
03/2013,149180.85975146104
04/2013,146428.96623308279
05/2013,142085.60473306765
06/2013,137538.3469891671
07/2013,140966.45875546962
08/2013,137828.2508241537
09/2013,141315.17722730857
10/2013,144229.94199773652
11/2013,144017.3730214074
12/2013,144753.39549183572
01/2014,139065.75137511926
02/2014,144777.2509982218
03/2014,145667.407139124
04/2014,150047.96551308664
05/2014,155759.02981773845
06/2014,156175.02900853066
07/2014,152133.70511709902
08/2014,158319.52213441726
09/2014,158725.4804569941
10/2014,159125.99748028984
11/2014,166833.67656211797
12/2014,163915.16151071517
01/2015,182396.34384271182
02/2015,189593.58434400478
03/2015,187855.59908583763
04/2015,186725.33728248946
05/2015,189581.0794947404
06/2015,181057.3471932481
07/2015,187330.0559743966
08/2015,174587.19581554024
09/2015,179280.76873655154
10/2015,195567.60786601025
11/2015,203912.34758630462
12/2015,194736.78785333762
01/2016,193245.26179385884
02/2016,185810.3304334408
03/2016,188338.9017571092
04/2016,187608.9697597133
05/2016,193978.35231277914
06/2016,195858.81454909503
07/2016,199735.80468455248
08/2016,197668.7525614299
09/2016,198237.65428415453
10/2016,186236.3633949473
11/2016,179225.85927705697
12/2016,187264.9997462167
01/2017,184758.39554218444
02/2017,194199.11445786554
03/2017,197094.78745268125
04/2017,199840.11593679982
05/2017,208468.59702164336
06/2017,203613.9136084349
07/2017,202732.25298895504
08/2017,204457.76113675963
09/2017,204433.1425909994
10/2017,211965.18399692277
11/2017,209226.6441341079
12/2017,210161.62331943668
01/2018,203955.38696312072
02/2018,196638.95242867403
03/2018,196062.44442331494
04/2018,198964.42867483862
05/2018,202063.4706845231
06/2018,204016.692390976
07/2018,209005.78564607314
08/2018,209450.94142695775
09/2018,206843.9431915361
10/2018,202346.7179232047
11/2018,207096.39914690098
12/2018,194476.5467913595
01/2019,207610.19416433736
02/2019,216456.41994201136
03/2019,229713.84400440432
04/2019,236135.16363089692
05/2019,236674.8324011501
06/2019,243106.8845614084
07/2019,254128.59812465537
08/2019,261151.97196028227
09/2019,258048.79664365912
10/2019,243574.3426508856
11/2019,246539.8902555189
12/2019,248472.2396538275
01/2020,247484.45050414847
02/2020,221911.26189282406
03/2020,204155.93332853803
04/2020,215868.9893111379
05/2020,216995.97542157277
06/2020,217186.49779067587
07/2020,221392.94948271607
08/2020,219796.39230978556
09/2020,218537.38434504974
10/2020,207144.55669368486
11/2020,226988.7235786288
12/2020,232338.46114577254
01/2021,225423.3261532265
02/2021,219533.88804391405
03/2021,236332.88636453776
04/2021,248636.160158432
05/2021,256156.17244639082
06/2021,263272.50644724624
07/2021,265565.0767855351
08/2021,263417.20652128366
09/2021,258061.18011438366
10/2021,271722.9255301463
11/2021,266459.98016358836
12/2021,285724.55309696496
01/2022,269432.1636206769
02/2022,268583.1365047412
03/2022,266521.8689271432
04/2022,279801.8080361015
05/2022,262183.2993759063
06/2022,253140.8996077553
07/2022,273909.3170003144
08/2022,260672.55744070958
09/2022,246415.08669621733
10/2022,245475.42511239488
11/2022,256986.49596535988
12/2022,247820.7668612998
01/2023,252378.0638175372
02/2023,254270.66381934338
03/2023,265116.9812778286
04/2023,272925.8468762812
05/2023,256582.1865175528
06/2023,257324.82022353748
07/2023,257870.58281768058
08/2023,251488.7456861526
09/2023,239498.0895608162
10/2023,237205.79953318858
11/2023,239595.37518691333
12/2023,243533.84124797926
01/2024,246304.20843500286
02/2024,238771.82947382965
03/2024,241713.00675578965
04/2024,238676.80456638345
