Data,IE00B5VX7566
04/1990,81523.31165411216
05/1990,91659.41632451792
06/1990,87958.74754127448
07/1990,84140.10470028849
08/1990,72599.00290525862
09/1990,60808.19319625828
10/1990,73327.8286319693
11/1990,63229.76029918924
12/1990,66975.08314006536
01/1991,69040.3555549711
02/1991,76443.64687894324
03/1991,78019.87333470215
04/1991,84213.35538521034
05/1991,84934.86073217126
06/1991,81749.14834205624
07/1991,84373.35683020823
08/1991,77945.88846673515
09/1991,82402.60120973343
10/1991,85836.23734562373
11/1991,76776.79759169043
12/1991,76677.61031084215
01/1992,73627.96477416632
02/1992,68958.37291456784
03/1992,63115.45161635515
04/1992,58685.72145094364
05/1992,62159.57356615042
06/1992,54850.11354071599
07/1992,51634.25563619933
08/1992,59240.992285898756
09/1992,59147.17862395016
10/1992,58737.164162157744
11/1992,64192.78231426732
12/1992,63192.820419101656
01/1993,64206.87512493662
02/1993,68645.43576790168
03/1993,78676.86092436995
04/1993,89495.73118849497
05/1993,92173.26489151578
06/1993,93532.81242105096
07/1993,103659.91279875167
08/1993,106713.68086482077
09/1993,97583.01838932082
10/1993,98263.5969020941
11/1993,84140.4143204232
12/1993,86756.89440900763
01/1994,102116.43126303096
02/1994,106358.33787095599
03/1994,99686.66436949983
04/1994,104221.2544147999
05/1994,104197.30814389187
06/1994,107544.26371581094
07/1994,100469.43176801679
08/1994,101253.85443099604
09/1994,97680.0444811383
10/1994,98424.96273301414
11/1994,94846.38090533664
12/1994,97881.97760453515
01/1995,90274.04526593996
02/1995,84959.48537641705
03/1995,89158.66351194188
04/1995,91706.47798866525
05/1995,87333.26145072248
06/1995,82452.32261623142
07/1995,87967.30554468885
08/1995,86973.35559963451
09/1995,88822.6388482676
10/1995,82536.1863286957
11/1995,87597.2740002877
12/1995,93520.00739181525
01/1996,93396.72838974229
02/1996,92246.23052421879
03/1996,95426.18023362834
04/1996,101696.46977103176
05/1996,97616.80082501144
06/1996,97356.74197888267
07/1996,91568.59521487748
08/1996,86668.47891988313
09/1996,90434.77702855397
10/1996,84615.37084745779
11/1996,85109.23304449738
12/1996,80966.16731345782
01/1997,74103.22019575181
02/1997,79126.4239842853
03/1997,77395.30556261318
04/1997,80626.431192303
05/1997,89244.12772531052
06/1997,96977.25543925897
07/1997,96623.44272080317
08/1997,90745.17126237047
09/1997,87014.90140948072
10/1997,77463.35110581596
11/1997,71200.315204507
12/1997,68926.01655219698
01/1998,76791.61535690732
02/1998,77009.45929045309
03/1998,72022.69477990805
04/1998,71233.7833635044
05/1998,66282.22000158193
06/1998,67690.83156650283
07/1998,66946.97544889389
08/1998,59060.36057432149
09/1998,54758.63179083021
10/1998,61570.967934510285
11/1998,66239.51088910762
12/1998,68353.41512705603
01/1999,71088.13432780543
02/1999,71826.5178218013
03/1999,83879.34310111373
04/1999,88563.27751818599
05/1999,84685.27771684925
06/1999,93836.85252953657
07/1999,99658.62653417814
08/1999,100079.33933455277
09/1999,105220.42441411907
10/1999,111939.98933174634
11/1999,120838.01912063164
12/1999,128969.78866396115
01/2000,126577.00471281471
02/2000,124252.71875215603
03/2000,136746.11214577834
04/2000,132956.29620805677
05/2000,123210.87241833011
06/2000,128175.6125591812
07/2000,117235.0872037776
08/2000,129529.98632491041
09/2000,125053.69383759053
10/2000,122652.32871194881
11/2000,113922.517050706
12/2000,99835.4750086833
01/2001,98759.52821039311
02/2001,94760.7783306162
03/2001,96263.60933873347
04/2001,102278.80499064109
05/2001,106782.16619718373
06/2001,100405.14796107024
07/2001,89989.39424094977
08/2001,83862.970680659
09/2001,76239.35799607067
10/2001,76819.15546409474
11/2001,78897.19268166361
12/2001,74269.60864293942
01/2002,69838.89181468316
02/2002,72608.65152604297
03/2002,76118.7502461191
04/2002,77998.41206391409
05/2002,79502.6865387386
06/2002,70904.89425090014
07/2002,67263.09846740455
08/2002,66199.81839632851
