Data,DE000A0F5UH1
07/2023,71452.22599544271
08/2023,69510.75194543709
09/2023,69896.46640314645
10/2023,67266.88160695396
11/2023,70122.78022363127
12/2023,74499.33081020968
01/2024,74283.81327360007
02/2024,73675.41556637909
03/2024,76611.44185018234
04/2024,77815.26077510734
