Data,IE00BWBXM385
07/2003,10000
08/2003,10577.00440528907
09/2003,9857.987642863358
10/2003,10368.460546944318
11/2003,10114.56583832717
12/2003,9792.870426072275
01/2004,9990.132271125827
02/2004,10527.189019136915
03/2004,10667.454013436016
04/2004,11073.364364770421
05/2004,10780.51762885197
06/2004,10870.814278939659
07/2004,10446.409575775911
08/2004,10578.505968296497
09/2004,10043.35241526768
10/2004,9851.869457562436
11/2004,9673.634377316324
12/2004,9801.609434468104
01/2005,10345.67952931134
02/2005,10172.615104802006
03/2005,10320.957211880703
04/2005,10204.89661391252
05/2005,10956.95673860106
06/2005,10980.788835000001
07/2005,11323.959378177637
08/2005,11052.727366869349
09/2005,11342.126729438363
10/2005,11323.509360231636
11/2005,11667.134671784592
12/2005,11651.901940898493
01/2006,11350.178445836485
02/2006,11696.372287572929
03/2006,11564.663649868316
04/2006,11261.191656824207
05/2006,11007.457866844505
06/2006,11331.248867067963
07/2006,11475.247904407208
08/2006,11827.5875765191
09/2006,12002.083158171836
10/2006,12208.107232091532
11/2006,11641.3800276585
12/2006,11960.151909992814
01/2007,12394.289962710009
02/2007,11970.262067826572
03/2007,12098.91625654922
04/2007,12211.232817619526
05/2007,12499.761393065537
06/2007,12224.508510006399
07/2007,11731.138506486965
08/2007,12026.14927696558
09/2007,12090.21422738123
10/2007,12063.161904669294
11/2007,12135.658271655759
12/2007,12048.10938552371
01/2008,11299.666916103335
02/2008,11060.285876577213
03/2008,10944.674441926314
04/2008,11166.95942696217
05/2008,11381.62154057512
06/2008,10476.451810100029
07/2008,10936.510318193961
08/2008,11874.923113841718
09/2008,12023.745507588741
10/2008,12072.11191726906
11/2008,11810.06576450584
12/2008,10823.074654042159
01/2009,10883.797819451624
02/2009,10208.623196215585
03/2009,10058.407455067943
04/2009,10499.384569991596
05/2009,10405.561447831045
06/2009,10430.581104607796
07/2009,11112.756158690196
08/2009,11146.633196323666
09/2009,11226.509721390872
10/2009,11249.533282043834
11/2009,11486.886161771024
12/2009,11956.252637824547
01/2010,12231.707983087497
02/2010,12972.025980681612
03/2010,13572.233550153835
04/2010,13576.54576113415
05/2010,13993.74010445457
06/2010,13688.768732288552
07/2010,13637.87003901151
08/2010,13775.180495942697
09/2010,13558.907169427222
10/2010,13763.714300329915
11/2010,14463.51207553354
12/2010,14686.055795813038
01/2011,14118.745472903782
02/2011,14368.682178955301
03/2011,14187.70533351123
04/2011,14288.895648643505
05/2011,15140.764918318686
06/2011,14659.213600737945
07/2011,14660.72931740586
08/2011,14500.327200016603
09/2011,14996.810953534594
10/2011,15165.228416333364
11/2011,16262.333215416085
12/2011,17306.97583425288
01/2012,16758.30388871251
02/2012,17054.362038147876
03/2012,17692.659911690695
04/2012,17939.333326354816
05/2012,18870.192233098656
06/2012,19281.273387514073
07/2012,20271.8710068118
08/2012,19669.879806604742
09/2012,19493.564590563565
10/2012,19183.372960983557
11/2012,19510.70441739208
12/2012,18805.444954290568
01/2013,19367.232373217892
02/2013,20643.945347168254
03/2013,22218.144534735133
04/2013,22416.449703545066
05/2013,22028.448052629174
06/2013,21834.27615960357
07/2013,22415.319245672046
08/2013,21494.14948950583
09/2013,21360.03295866855
10/2013,22492.79264136373
11/2013,22904.42812224804
12/2013,22746.166222127984
01/2014,22038.794339195665
02/2014,22385.114282221988
03/2014,22916.355327003654
04/2014,23448.99579740332
05/2014,24310.53225942368
06/2014,24158.214944855623
07/2014,23835.105926169934
08/2014,25313.247899967224
09/2014,26670.52015422067
10/2014,27761.65735013353
11/2014,29381.220712147006
12/2014,29952.779089459524
01/2015,31825.612591835754
02/2015,33370.106349757916
03/2015,34195.34866466867
04/2015,32524.828697479734
05/2015,33539.8708435399
06/2015,32302.561388763304
07/2015,34789.70717157421
08/2015,32014.461613797514
09/2015,32190.57023673621
10/2015,34583.817139488136
11/2015,35685.66458956361
12/2015,35689.59448434941
01/2016,35802.80129797998
02/2016,35995.14492173495
03/2016,36046.05733304839
04/2016,35498.5238897081
05/2016,36572.96702189775
06/2016,38661.90206356487
07/2016,38307.6756800649
08/2016,38053.10678275622
09/2016,37340.39880782282
10/2016,37771.68891436257
11/2016,37220.762387253286
12/2016,38702.53829273953
01/2017,38559.72021944014
02/2017,41025.52768636653
03/2017,40502.90698999601
04/2017,40031.91465568314
05/2017,40051.21327417131
06/2017,38479.82187573415
07/2017,37693.03655973116
08/2017,36983.63535209429
09/2017,36770.58674040536
10/2017,36686.89712289767
11/2017,38039.80130258127
12/2017,38411.894650920825
01/2018,37600.30734629768
02/2018,35424.05646356185
03/2018,34787.214705353894
04/2018,34018.53727879798
05/2018,34567.692770855865
06/2018,36245.51788192997
07/2018,37448.6060459899
08/2018,37908.59041216657
09/2018,38493.722975412966
10/2018,40190.149371220185
11/2018,41018.902306090145
12/2018,36972.2689238986
01/2019,38715.30529174116
02/2019,39680.589772507854
03/2019,41870.34662991397
04/2019,43135.85241868274
05/2019,41817.86715059585
06/2019,43138.13710467433
07/2019,45051.34046944364
08/2019,46491.164890436536
09/2019,47934.788534277315
10/2019,46588.585367464904
11/2019,47958.32740843846
12/2019,48044.624764333326
01/2020,48988.78211337953
02/2020,45228.96183840472
03/2020,42851.712148814346
04/2020,46179.78137176297
05/2020,45852.555245637996
06/2020,45492.852318343874
07/2020,45935.611443236994
08/2020,47701.28601637523
09/2020,47839.31665559265
10/2020,46451.68505116375
11/2020,48774.543462203226
12/2020,48435.785719796855
01/2021,46526.19201183254
02/2021,45995.89868469452
03/2021,51491.40851262725
04/2021,50978.3405395682
05/2021,51367.948615214096
06/2021,52463.98601527614
07/2021,53550.1306003269
08/2021,54430.50295535529
09/2021,53298.09435850264
10/2021,54857.56856104832
11/2021,55414.545661847165
12/2021,61474.42762765375
01/2022,61501.858334206416
02/2022,60450.07361140097
03/2022,61905.27237626448
04/2022,66825.38481546889
05/2022,63026.77735831739
06/2022,63466.80913156937
07/2022,66726.96742796713
08/2022,66789.40766123403
09/2022,62905.43047136732
10/2022,67428.30902375956
11/2022,68420.95613739995
12/2022,64727.10336376522
01/2023,63022.347460232166
02/2023,62803.42444171519
03/2023,63918.32264946189
04/2023,65602.27336810845
05/2023,63245.36491490908
06/2023,63937.28676100743
07/2023,64351.98692054232
08/2023,62687.32416835451
09/2023,61225.859638172726
10/2023,60228.77147020566
11/2023,60933.9986236087
12/2023,61888.89682678353
01/2024,63915.90279131972
02/2024,65350.1906835796
03/2024,67589.10643802656
04/2024,67412.42133784127
