Data,LU1681039480
10/2012,10000
11/2012,10117.309106731285
12/2012,10254.737034420821
01/2013,9930.118634703493
02/2013,10070.819163896967
03/2013,10160.062504305939
04/2013,10835.76862206607
05/2013,10984.155413133898
06/2013,10262.437787534805
07/2013,10776.40899666596
08/2013,10302.495638921928
09/2013,10898.621473446592
10/2013,11414.99812807157
11/2013,11396.3111453565
12/2013,11411.694520186293
01/2014,11574.057101809296
02/2014,12250.39067895148
03/2014,11975.730035752607
04/2014,12331.056568057025
05/2014,12852.752306438122
06/2014,12961.90474437823
07/2014,12963.447723595424
08/2014,13311.257544415363
09/2014,13031.155604775202
10/2014,13369.015774115278
11/2014,13862.589277816505
12/2014,14102.16372822774
01/2015,15984.620431505442
02/2015,16858.85202712224
03/2015,16820.781811117453
04/2015,16481.946118318927
05/2015,16344.935838418749
06/2015,15614.438548473609
07/2015,16682.229611325227
08/2015,16116.97252084849
09/2015,16145.385079681597
10/2015,17410.991210881704
11/2015,17182.482745422578
12/2015,16581.243803436904
01/2016,15712.530468066741
02/2016,15214.159187332592
03/2016,16112.739752070314
04/2016,16111.430312190058
05/2016,16625.360252000613
06/2016,15609.376636551819
07/2016,16547.44975470848
08/2016,16565.12277632687
09/2016,16162.422446976818
10/2016,15042.254688730216
11/2016,14895.790269549701
12/2016,15651.147024297474
01/2017,15129.718069053008
02/2017,15806.827235213565
03/2017,15828.94198048323
04/2017,16399.58905670738
05/2017,16726.235577663043
06/2017,16400.807453005244
07/2017,16332.307453464511
08/2017,16389.12034225806
09/2017,16563.08926280886
10/2017,16729.01972117255
11/2017,16839.90208184437
12/2017,17535.92867669369
01/2018,17347.324655969674
02/2018,16375.25073180069
03/2018,16950.4839022548
04/2018,17674.611062759348
05/2018,17749.230158654995
06/2018,17789.18807924601
07/2018,18003.32953496009
08/2018,18079.762607445282
09/2018,17534.0745275311
10/2018,16987.000259109438
11/2018,16825.08287155802
12/2018,15990.182642041951
01/2019,17639.70123054053
02/2019,17422.877812168543
03/2019,18132.006367125156
04/2019,17950.76731881181
05/2019,17876.782988004117
06/2019,17350.12120668038
07/2019,17435.09850494594
08/2019,18005.739004268435
09/2019,18817.62688716729
10/2019,19395.208283209573
11/2019,19880.904059749428
12/2019,20478.431158888303
01/2020,20813.610979781643
02/2020,19251.09165470653
03/2020,15131.537998901535
04/2020,15671.204662653927
05/2020,15900.797031420854
06/2020,16049.508415443
07/2020,16213.591754205298
08/2020,16553.23876386188
09/2020,16272.058585750017
10/2020,15576.083427954902
11/2020,17555.849358803807
12/2020,18214.612585004026
01/2021,17711.66383979334
02/2021,17497.773990737776
03/2021,18107.50718339695
04/2021,18989.81116441194
05/2021,19739.508938948595
06/2021,19822.93091057757
07/2021,21114.086451412655
08/2021,21662.4320597461
09/2021,19813.98838055774
10/2021,20902.201499710987
11/2021,20958.63100027482
12/2021,21337.898096163663
01/2022,20733.584406696864
02/2022,20072.444654286475
03/2022,20224.624780525857
04/2022,19071.283114025744
05/2022,18261.310688643418
06/2022,15352.161162718885
07/2022,17256.279644522474
08/2022,15382.585112447432
09/2022,12814.402210804728
10/2022,13279.899783092977
11/2022,13600.7440611409
12/2022,13384.878836807908
01/2023,14570.00209737969
02/2023,14406.204944943544
03/2023,12747.2185120289
04/2023,13464.297209217732
05/2023,12451.48657844523
06/2023,12276.732824564802
07/2023,13391.292733887947
08/2023,13262.98988495786
09/2023,12785.18658323325
10/2023,12333.637156257659
11/2023,14043.281666453715
12/2023,15518.710318155461
01/2024,15065.15801031964
02/2024,13893.587020982679
03/2024,15066.851161032686
04/2024,14771.032931414587
